categoria,categoria_amplia
Untranslated Fiction - Spanish,Ficción
Adolescence -- Venezuela -- Fiction.,Novela
Adolescencia -- Venezuela -- Ficción.,Novela
Dictatorship -- Venezuela -- Fiction.,Novela
Dictadura -- Venezuela -- Ficción.,Novela
Venezuelan fiction -- 20th century.,Novela
Novela venezolana -- Siglo XX.,Novela
"Montejo, Eugenio -- Criticism and interpretation.",Literatura / Estudios literarios
Venezuelan poetry -- History and criticism.,Literatura / Estudios literarios
Spanish poetry -- 20th century -- History and criticism.,Literatura / Estudios literarios
Social responsibility of business,Economía
Philosophy,Filosofía
Political science,Política
Law and ethics,Derecho
"Pérez Jiménez, Marcos, -- 1914-2001.",No es categoria
"Betancourt, Rómulo, -- 1908-1981.",No es categoria
Dictatorship -- Venezuela -- History -- 20th century.,Historia
"Venezuela -- History -- Revolution, 1958.",Historia
Venezuela -- Politics and government -- 1935-1958,Política
Military government -- Venezuela -- History -- 19th century.,Historia
Military government -- Venezuela -- History -- 20th century.,Historia
Coups d'état -- Venezuela -- History.,Historia
Venezuela -- Armed Forces -- Political activity -- History -- 19th century.,Historia
Venezuela -- Armed Forces -- Political activity -- History -- 20th century.,Historia
"Bolívar, Simón, -- 1783-1830",No es categoria
"Díaz, José Domingo, -- 1772-1831",No es categoria
Venezuela -- Politics and government -- 1810-1830,Política
Boundaries,No es categoria
Venezuelans,No es categoria
Medical care,Salud
Sick,Salud
Medical assistance,Salud
Public health,Salud
International cooperation,No es categoria
Caracas (Venezuela) -- Politics and government -- 21st century,Política
Caracas (Venezuela) -- Social conditions -- 21st century,Sociología
"General Strike, Caracas, Venezuela, 2002",No es categoria
Foreign relations,Política
Catholic Church,Religión
Church and state,Religión
Catholic Church. (1964 March 6.),Religión
Education,Educación
Education and state,Educación
"Gallegos Mancera, Eduardo -- Interviews",Biografía / Autobiografía / Memorias
Partido Comunista de Venezuela,Política
Communists -- Venezuela -- Interviews,Biografía / Autobiografía / Memorias
Venezuela -- Politics and government -- 1935- -- Sources,Política
Short Stories (single author),Cuento
Literary,Literatura / Estudios literarios
Spanish: Adult Fiction,Ficción
Spanish: Kindergarten,Educación
Maracaibo (Venezuela),No es categoria
Congresses,No es categoria
Foreign countries,No es categoria
Spanish American literature,Literatura / Estudios literarios
Exiles' writings,Literatura / Estudios literarios
"Chávez Frías, Hugo.",No es categoria
Venezuela -- Politics and government -- 1974-1999.,Política
"Chavez Frias, Hugo.",No es categoria
Asymmetric warfare -- Venezuela.,Política
Asymmetric warfare -- United States.,Política
Military planning -- Venezuela.,Política
Military planning -- Colombia.,Política
Military planning -- Bolivia.,Política
Venezuela -- Foreign relations -- United States.,Política
United States -- Foreign relations -- Venezuela.,Política
Fuerzas Armadas Revolucionarias de Colombia.,No es categoria
Venezuela -- Foreign relations -- 1999-,Política
"Chávez Frías, Hugo",No es categoria
Venezuela -- Foreign relations -- 1974-,Política
"Law, venezuela",Derecho
Publishers and publishing,No es categoria
Venezuelan poetry -- 20th century,Poesía
Venezuelan poetry -- 21st century,Poesía
"Cela, Camilo José, -- 1916-2002",No es categoria
"Cela, Camilo José, -- 1916-2002. -- Travel -- Latin America",Viajes
Caribbean & Latin American,No es categoria
Literary Collections,Literatura / Estudios literarios
Music/Songbooks,Arte
"Fiction, historical, general",Ficción
Politics / Current Events,Política
Interpersonal Relations,Psicología
Psychology,Psicología
Officials and employees,No es categoria
Universities and colleges,Educación
Higher Education,Educación
Novela venezolana,Novela
Horror - General,Ficción
Communities,No es categoria
"Civilization, Modern -- 21st century",No es categoria
Globalization,No es categoria
Intellectuals -- Interviews,Biografía / Autobiografía / Memorias
Venezuelan drama,Teatro
Television plays,Teatro
Television adaptations,Teatro
Presidents,No es categoria
Succession,No es categoria
Politicians,No es categoria
Political violence,No es categoria
Military government -- Latin America -- History -- 20th century,Historia
Militarism -- Latin America -- History -- 20th century,Historia
Dictatorship -- Latin America -- History -- 20th century,Historia
Militarismo -- América Latina,Historia
Latin America -- Politics and government -- 20th century,Política
Latin America -- History -- 20th century,Historia
América Latina -- Política y gobierno,Política
América Latina -- Historia,Historia
Caracas (Venezuela) -- Social life and customs.,Sociología
Caracas (Venezuela) -- History.,Historia
Poetry - General,Poesía
Juvenile Nonfiction,Infantil / Juvenil
Children's Books/Ages 9-12 Nonfiction,Infantil / Juvenil
Literature & Fiction / Poetry,Poesía
Literary Criticism,Literatura / Estudios literarios
Works by individual poets: from c 1900 -,Poesía
Poetry,Poesía
Poetry / General,Poesía
Imperialism,Política
Historiography,Historia
Venezuela -- History,Historia
Venezuela -- Politics and government.,Política
Venezuela -- Civilization.,No es categoria
Venezuela -- Intellectual life.,No es categoria
Venezuela -- History -- Anecdotes.,Historia
Spanish literature,Literatura / Estudios literarios
Fairy Tales & Folklore - General,No es categoria
Children's 4-8 - Picturebooks,Infantil / Juvenil
Children's 9-12,Infantil / Juvenil
"Children's poetry, Venezuelan",Poesía
Christmas,No es categoria
Jesus Christ,No es categoria
Nativity,No es categoria
Adventure and adventurers,No es categoria
"Oliveros, Alejandro -- Diaries",Biografía / Autobiografía / Memorias
"Authors, Venezuelan -- 20th century -- Diaries",Biografía / Autobiografía / Memorias
Venezuelan Authors,No es categoria
Diaries,Biografía / Autobiografía / Memorias
Cocina internacional,Gastronomía
Nutrition,Gastronomía
Nutrición,Gastronomía
International cooking,Gastronomía
Corpus Christi Festival,No es categoria
Venezuelan Folk dancing,Arte
Social life and customs,Sociología
Religious life and customs,Religión
Folk music,Arte
Folk dancing,Arte
Foreign Language Study,Lengua / Lingüística
Spanish,Lengua / Lingüística
Television and politics,Comunicación
Television in politics,Comunicación
Television talk shows,Comunicación
Political aspects,Política
Humor,No es categoria
Chataing TV (Television program),Comunicación
Interviews,Biografía / Autobiografía / Memorias
Celebrities,No es categoria
Celebrities -- Venezuela -- Interviews,Biografía / Autobiografía / Memorias
Interviews -- 21st century,Biografía / Autobiografía / Memorias
Venezuela -- Biography,Biografía / Autobiografía / Memorias
Travel,Viajes
Venezuela,No es categoria
Indian literature,Literatura / Estudios literarios
Indian poetry,Poesía
Venezuela -- Politics and government,Política
United States -- Foreign relations,Política
Political,Política
Sociology,Sociología
"Dworkin, R. M",No es categoria
Heads of state,No es categoria
Socialism -- Latin America.,Política
Latin America -- Politics and government.,Política
"Petkoff, Teodoro, -- 1931- -- Interviews.",Biografía / Autobiografía / Memorias
Politicians -- Venezuela -- Interviews.,Biografía / Autobiografía / Memorias
Venezuela -- Politics and government -- 1935-,Política
Movimiento al Socialism (Venezuela),Política
Socialism -- Venezuela.,Política
Administrative law -- Venezuela.,Derecho
Ayaman Indians,No es categoria
Religion,Religión
Goajiro Indians,No es categoria
Crime,No es categoria
Drug traffic,No es categoria
Riots,No es categoria
Massacres,No es categoria
Petroleum industry and trade,Economía
"Castro, Cipriano, 1856?-1924.",No es categoria
Presidents -- Venezuela -- Biography.,Biografía / Autobiografía / Memorias
Venezuela -- History -- 1830-1935.,Historia
Capitalism.,Economía
International relations.,Política
World politics.,Política
United States -- Foreign relations.,Política
Intellectuals,No es categoria
Railroads,No es categoria
"Indians, Treatment of -- Venezuela -- Barquisimeto (State) -- History.",Historia
Encomiendas (Latin America),Historia
Barquisimeto (Venezuela : State) -- History.,Historia
"Bolívar, Simón, 1783-1830.",No es categoria
Fiction - Adult,Ficción
Erotica - General,Ficción
"Catherine II, Empress of Russia, 1729-1796 -- Fiction.",Novela
Journalists,No es categoria
Journalism,Comunicación
"Fiction, women",Ficción
Divers,No es categoria
Deep diving,No es categoria
Athletes,No es categoria
Sports,Deportes
Literary style,Literatura / Estudios literarios
"Marx, Karl, 1818-1883.",No es categoria
Margarita Island (Venezuela) -- Fiction.,Novela
Venezuelan Arts,Arte
Child artists,No es categoria
"Arévalo Cedeño, Emilio, -- 1882- -- Fiction.",Novela
"Venezuela -- History -- Attempted coup, 1992 (February 4)",Historia
Venezuela -- Politics and government -- 1974-1999,Política
International Relations - General,Política
Political Science / International Relations,Política
Political Science,Política
Development studies,Economía
International - Economics,Economía
Contemporary Politics - Latin America,Política
Economic Development,Economía
Business & Economics,Economía
Third World Development,Economía
Developing Countries,No es categoria
Latin America,No es categoria
Social Science / Third World Development,Sociología
Development - Economic Development,Economía
Economic Conditions,Economía
Foreign economic relations,Economía
City and town life,No es categoria
Literary collections,Literatura / Estudios literarios
Description and travel,Viajes
Authorship,Literatura / Estudios literarios
Man-woman relationships,No es categoria
Mujeres,No es categoria
Relaciones hombre-mujer,No es categoria
Reincarnation,No es categoria
Reencarnación,No es categoria
Ficción,Ficción
Women,No es categoria
Women -- Psychology.,Psicología
Religion - Classic Works,Religión
Religion - Catholicism,Religión
Christianity - Catholic,Religión
Christianity - Catholicism,Religión
Religion / Christian Life,Religión
Religion - Roman Catholic,Religión
"Fiction, general",Ficción
"Fiction, erotica, general",Ficción
Christian Theology - Eschatology,Religión
Christianity - Theology - Eschatology,Religión
Theology,Religión
Christianity - History - General,Religión
Religion - Theology,Religión
Religion - Spiritual Warfare,Religión
Inspirational,No es categoria
Prayer,Religión
Christianity - Spiritual Warfare,Religión
Religion - Christian Life,Religión
Christian Life - General,Religión
Religion - Church History,Religión
Christianity - General,Religión
Juvenile fiction,Infantil / Juvenil
Cocoa trade,Economía
Cocoa,No es categoria
"Fiction, short stories (single author)",Cuento
"Fiction, science fiction, general",Ficción
Spanish Soccer stories,Deportes
Specimens,No es categoria
Soccer,Deportes
Boys,No es categoria
Spanish Young adult fiction,Infantil / Juvenil
Psychological aspects,Psicología
Fußball,Deportes
Knowledge,No es categoria
Germany,No es categoria
Italy,No es categoria
"Uslar Pietri, Arturo, -- 1906-2001 -- Exhibitions",Arte
"Authors, Venezuelan -- 20th century -- Biography -- Exhibitions",Biografía / Autobiografía / Memorias
Economic integration,Economía
Alternativa Bolivariana para las Américas (Organization),No es categoria
Caracas (Venezuela),No es categoria
Assassination,No es categoria
"Villa Pelayo, José Jesús, -- 1962-",No es categoria
"Authors, Venezuelan -- 20th century -- Biography",Biografía / Autobiografía / Memorias
Literature -- History and criticism,Literatura / Estudios literarios
Venezuelan Political satire,No es categoria
Sustainability,No es categoria
"Global Financial Crisis, 2008-2009",Economía
Medical technology,Tecnología
"Marta Sosa, Joaquín -- Criticism and interpretation.",Literatura / Estudios literarios
"Pulido, José -- Criticism and interpretation.",Literatura / Estudios literarios
"Arráiz Lucca, Rafael -- Criticism and interpretation.",Literatura / Estudios literarios
Venezuelan poetry -- 20th century -- History and criticism.,Literatura / Estudios literarios
Venezuelan poetry -- 20th century.,Poesía
Christian sociology,Religión
Teachings,No es categoria
"Yanes, Oscar, -- 1924-",No es categoria
Venezuela -- History -- 20th century -- Anecdotes,Historia
Latin America -- History -- 20th century -- Anecdotes,Historia
Comparative literature,Literatura / Estudios literarios
Japanese and Colombian,No es categoria
Colombian and Japanese,No es categoria
"Britto García, Luis -- Criticism and interpretation",Literatura / Estudios literarios
"Britto García, Luis",No es categoria
Pirates in literature,No es categoria
Venezuelan literature -- History and criticism,Literatura / Estudios literarios
Spanish American literature -- History and criticism,Literatura / Estudios literarios
Finance ministers,No es categoria
Public Finance,Economía
"García Márquez, Gabriel, -- 1928-",No es categoria
"García Márquez, Gabriel, -- 1928- -- Homes and haunts -- Venezuela -- Caracas",Biografía / Autobiografía / Memorias
"Authors, Colombian -- 20th century -- Biography",Biografía / Autobiografía / Memorias
Administrative law,Derecho
Interpersonal relations,Psicología
Relations entre hommes et femmes,Psicología
Roman vénézuélien,Novela
Language Arts & Disciplines,Lengua / Lingüística
Foreign Language - Dictionaries / Phrase Books,Lengua / Lingüística
Grammar,Lengua / Lingüística
Linguistics,Lengua / Lingüística
Foreign Language Study / Spanish,Lengua / Lingüística
Language Arts & Disciplines : Grammar,Lengua / Lingüística
Language Arts & Disciplines : Linguistics,Lengua / Lingüística
Education / Teaching,Educación
Dictionaries - General,No es categoria
Reference,No es categoria
Essays,Ensayo
Women artists,No es categoria
Feminism and the arts,No es categoria
Women authors,No es categoria
Community development,No es categoria
Literature - Classics / Criticism,Literatura / Estudios literarios
Spanish: Grades 4-7,Educación
Children's Books/Ages 9-12 Fiction,Infantil / Juvenil
Pictorial works,No es categoria
Descripciones y viajes,Viajes
Libros de laminas,No es categoria
English Philosophy,Filosofía
Language and languages.,Lengua / Lingüística
Language and languages,Lengua / Lingüística
"Keats, John, 1795-1821 -- Criticism and interpretation.",Literatura / Estudios literarios
English literature -- History and criticism.,Literatura / Estudios literarios
Reality in literature.,No es categoria
Classics,Literatura / Estudios literarios
Fiction / Classics,Ficción
NOVELAS VENEZOLANAS,Novela
Literary Collections / General,Literatura / Estudios literarios
"Fiction, family life, general",Ficción
"Mothers and daughters, fiction",Ficción
"Venezuela, fiction",Ficción
Biographies & Memoirs / Biographies,Biografía / Autobiografía / Memorias
Biography & Autobiography,Biografía / Autobiografía / Memorias
1886-1957,No es categoria
"Kahlo, Frida",No es categoria
"Rivera, Diego,",No es categoria
Fuerzas Armadas Revolucionarias de Colombia,No es categoria
Spanish: Grades 3-4,Educación
Political crimes and offenses -- Colombia -- Fiction.,Novela
Assassination -- Colombia -- Fiction.,Novela
Bogotá (Colombia) -- History -- Fiction.,Novela
Children's All Ages,Infantil / Juvenil
Biography / Autobiography,Biografía / Autobiografía / Memorias
"Marulanda Vélez, Manuel.",No es categoria
"Government, Resistance to -- Colombia -- History -- 20th century.",Historia
Guerrillas -- Colombia -- History -- 20th century -- Biography.,Biografía / Autobiografía / Memorias
Colombia -- Politics and government -- 1946-1974.,Política
Insurgency,No es categoria
Terrorism,No es categoria
World politics,Política
International relations and terrorism,Política
Tairona Indians,No es categoria
Indians of South America -- Colombia -- Santa Marta Range,No es categoria
Tairona Indians -- Social life and customs,No es categoria
Tairona Indians -- Medicine -- Colombia -- Santa Marta Range,No es categoria
Indian astronomy -- Colombia -- Santa Marta Range,No es categoria
Santa Marta Range (Colombia) -- Social life and customs,No es categoria
Santa Marta Range -- Antiquities,No es categoria
Railroad travel,No es categoria
Colombian fiction,Novela
Jewish literature,Literatura / Estudios literarios
Translations into Spanish,No es categoria
Correspondence,Biografía / Autobiografía / Memorias
Colombian Authors,No es categoria
Colombian poetry,Poesía
"Cortázar, Julio.",No es categoria
"Authors, Argentine -- 20th century -- Biography.",Biografía / Autobiografía / Memorias
"Creation (Literary, artistic, etc.)",No es categoria
Spanish American fiction,Novela
Characters and characteristics in literature,No es categoria
Absurd (Philosophy) in literature,No es categoria
Letters,Biografía / Autobiografía / Memorias
Shopping,No es categoria
Eccentrics and eccentricities,No es categoria
Mice,No es categoria
Spanish language materials,Lengua / Lingüística
Alphabet,No es categoria
Alfabeto,No es categoria
Novela juvenil,Infantil / Juvenil
Compras (Mercado),No es categoria
Excentricos y excentricidades,No es categoria
Ratones,No es categoria
Imagination,No es categoria
Lesen,No es categoria
Learning,No es categoria
Self-acceptance,No es categoria
"Children's stories, Spanish",Infantil / Juvenil
Objetos perdidos,No es categoria
Aventuras,No es categoria
Felicidad,No es categoria
Triumph,No es categoria
Spanish: Young Adult (Gr. 7-9),Infantil / Juvenil
Children's Books / 9-12 Years,Infantil / Juvenil
Children's 4-8 - Fiction - General,Infantil / Juvenil
Interactive Adventure,Infantil / Juvenil
Horror & Ghost Stories,Infantil / Juvenil
Children's Books/Baby-Preschool,Infantil / Juvenil
Short Stories,Cuento
Children's Books/Ages 4-8 Fiction,Infantil / Juvenil
Readers - Intermediate,Educación
Juvenile Fiction / Readers / Intermediate,Educación
Animals - Horses,No es categoria
Hosiery,No es categoria
Lost and found possessions,No es categoria
Children's Books/All Ages,Infantil / Juvenil
Social Issues - Manners & Etiquette,No es categoria
Humorous Stories,No es categoria
Social Issues - Emotions & Feelings,No es categoria
Children's Books / 4-8 Years,Infantil / Juvenil
Children's Baby/Preschool,Infantil / Juvenil
Preschool Picture Story Books,Infantil / Juvenil
Juvenile Fiction / Readers / Beginner,Educación
Royalty (kings  queens  princes  princesses  knights  etc.),No es categoria
Manners and customs,No es categoria
Colombian Short stories,Cuento
Women Nazis,No es categoria
Colombian literature -- Colombia -- Barranquilla -- History and criticism,Literatura / Estudios literarios
Colombian literature -- 20th century -- History and criticism,Literatura / Estudios literarios
Composers & Musicians - General,Arte
Militia movements,No es categoria
"Colombia, politics and government",Política
El Dorado,No es categoria
Colombian drama,Teatro
Ransom,No es categoria
Secuestro,No es categoria
Kidnapping,No es categoria
Families,No es categoria
Familias,No es categoria
Rescate,No es categoria
Holocaust survivors,No es categoria
Sobrevivientes del Holocausto,No es categoria
History - General History,Historia
"Buenaventura, Enrique -- Diaries.",Biografía / Autobiografía / Memorias
"Authors, Colombian -- 20th century -- Diaries.",Biografía / Autobiografía / Memorias
"Burgos Cantor, Roberto.",No es categoria
"Authors, Colombian -- 20th century -- Biography.",Biografía / Autobiografía / Memorias
Cultural assimilation,No es categoria
Poesias (Colombia),Poesía
1959-,No es categoria
"Government, Resistance to",No es categoria
Cuba,No es categoria
State-sponsored terrorism -- Colombia,No es categoria
Political violence -- Colombia,No es categoria
Colombia -- Politics and government -- 1974-,Política
Guerrillas -- Colombia,No es categoria
Counterrevolutionaries -- Cuba -- Interviews,Biografía / Autobiografía / Memorias
Cuba -- History -- 1959-,Historia
State-sponsored terrorism -- Colombia.,No es categoria
Political violence -- Colombia.,No es categoria
Celebrities -- Latin America -- Interviews,Biografía / Autobiografía / Memorias
Hobbies -- Latin America,No es categoria
Peruvian Authors,No es categoria
Short stories,Cuento
Latin American Novel And Short Story,Novela
South America,No es categoria
Fiction / Short Stories (single author),Cuento
Literature,Literatura / Estudios literarios
Utopias,No es categoria
Erotic stories,Ficción
Sexualidad,No es categoria
Friendship,No es categoria
Amistad,No es categoria
Booksellers and bookselling,No es categoria
Economics,Economía
Colombian Philosophy,Filosofía
Intellectual life,No es categoria
Social sciences,Sociología
Law,Derecho
Rural Education,Educación
Rural schools,Educación
Educational sociology,Educación
Teachers,No es categoria
Rural conditions,No es categoria
Social aspects,No es categoria
"Uribe Vélez, Álvaro, -- 1952-",No es categoria
Paramilitary forces -- Colombia -- Córdoba (Dept.),No es categoria
Córdoba (Colombia : Dept.) -- Politics and government,Política
Colombian essays,Ensayo
Latin American poetry,Poesía
Latin American literature,Literatura / Estudios literarios
Latin American Art,Arte
Poetics,Literatura / Estudios literarios
Coffee industry,Economía
Comité Departamental de Cafeteros del Cauca,No es categoria
Poetry texts & anthologies,Poesía
Latin American Poetry,Poesía
Poetry / Caribbean & Latin American,Poesía
Anthologies (multiple authors),Poesía
Poetry / Anthologies (multiple authors),Poesía
Individual artists,Arte
20th Century Art,Arte
Hispanic Art,Arte
Art,Arte
Art & Art Instruction,Arte
Individual Artist,Arte
Techniques - Painting,Arte
Art / Painting,Arte
History - Modern (Late 19th Century to 1945),Historia
Children's 12-Up - Biography / Autobiography,Biografía / Autobiografía / Memorias
Biography & Autobiography - Art,Biografía / Autobiografía / Memorias
Biography & Autobiography - General,Biografía / Autobiografía / Memorias
Continental European,No es categoria
Collections,No es categoria
Reading materials,No es categoria
"García Márquez, Gabriel, -- 1928- -- Criticism and interpretation",Literatura / Estudios literarios
Grandmothers,No es categoria
Dementia,No es categoria
Spanish language -- Provincialisms -- Colombia -- Atlantic coast.,Lengua / Lingüística
Spanish language -- Spoken Spanish -- Colombia -- Atlantic coast.,Lengua / Lingüística
Arts,Arte
Aesthetics,Filosofía
Artistic Photography,Arte
Aeronautics,Tecnología
"Short stories, Colombian -- Colombia -- Antioquia (Dept.)",Cuento
"Short stories, Colombian",Cuento
Colombian fiction -- Colombia -- Antioquia (Dept.),Novela
Colombian fiction -- 20th century,Novela
Colombian fiction -- Colombia -- Antioquia (Dept.) -- History and criticism,Literatura / Estudios literarios
Colombian fiction -- 20th century -- History and criticism,Literatura / Estudios literarios
Spanish American Reportage literature,Crónica
Periodistas,No es categoria
Violencia,No es categoria
Crimes against,No es categoria
Víctimas de delitos,No es categoria
Historia,Historia
Delitos en contra,No es categoria
Victims of violent crimes,No es categoria
Grupo de Barranquilla.,No es categoria
"La Cueva (Barranquilla, Colombia) -- History.",Historia
"La Cueva (Barranquilla, Colombia) -- Historia.",Historia
"Authors, Colombian -- Colombia -- Barranquilla -- Biography.",Biografía / Autobiografía / Memorias
"Authors, Colombian -- Homes and haunts -- Colombia -- Barranquilla.",Biografía / Autobiografía / Memorias
Autores colombianos -- Colombia -- Barranquilla -- Biografía.,Biografía / Autobiografía / Memorias
Autores colombianos -- Casas y lugares predilectos -- Colombia -- Barranquilla.,Biografía / Autobiografía / Memorias
Barranquilla (Colombia) -- Vida intelectual -- Siglo XX.,No es categoria
Barranquilla (Colombia) -- Intellectual life -- 20th century.,No es categoria
Forced migration,No es categoria
Government policy,Política
Refugees,No es categoria
Emigration and immigration,No es categoria
Economic aspects,Economía
Emigrant remittances,Economía
Political corruption,Política
Narcotráfico,No es categoria
Land tenure,No es categoria
Law and legislation,Derecho
Restitution,Derecho
Transitional justice,Derecho
War victims,No es categoria
"Refugees -- Legal status, laws, etc. -- Colombia",Derecho
Forced migration -- Colombia,No es categoria
Agriculture and state -- Colombia.,Economía
Agriculture -- Economic aspects -- Colombia.,Economía
Produce trade -- Government policy -- Colombia.,Economía
Free trade -- Colombia.,Economía
Homes and haunts,No es categoria
Gay men,No es categoria
College students,No es categoria
Extortion,No es categoria
Missing persons,No es categoria
Rich people,No es categoria
Estudiantes universitarios,No es categoria
Novela,Novela
Chantaje,No es categoria
Personas desaparecidas,No es categoria
Riqueza,No es categoria
Colombia,No es categoria
Affirmations,No es categoria
Self-Help,No es categoria
"Body, Mind & Spirit",No es categoria
Political parties,Política
Bullfighters,No es categoria
Toreros,No es categoria
Antioquia (Colombia : Dept.) -- Politics and government.,Política
Kolumbien,No es categoria
Volkswirtschaft,Economía
Staatsgründung,Historia
Kolonialismus,Historia
Autonomy and independence movements,Historia
National income,Economía
Gross domestic product,Economía
Economic History,Historia
Editorials,Comunicación
Public opinion,Sociología
Painters,Arte
Spanish American poetry -- 19th century -- History and criticism,Literatura / Estudios literarios
Regionalism in literature,Literatura / Estudios literarios
Literature and society,Literatura / Estudios literarios
Child abuse,No es categoria
Children,No es categoria
Violence against,No es categoria
Children's rights,Derecho
Human rights,Derecho
Political persecution,No es categoria
Communication.,Comunicación
Semiotics.,Lengua / Lingüística
Aesthetics.,Filosofía
Latin America - South America,No es categoria
Latin America - General,No es categoria
"Martín B., Jesús",No es categoria
Mass media -- Latin America.,Comunicación
Mass media -- Social aspects -- Latin America.,Comunicación
Social Science,Sociología
Statistics,No es categoria
Sociology - General,Sociología
International economic relations.,Economía
International trade -- Social aspects -- Latin America.,Economía
Latin America -- Economic conditions -- 1982-,Economía
Latin America -- Social conditions -- 1982-,Sociología
Populismo,Política
Gobierno,Política
Populism,Política
"Errors, inventions",No es categoria
Actitudes,No es categoria
Attitudes,No es categoria
Política y gobierno,Política
Intelectuales,No es categoria
"Errores, invenciones",No es categoria
Right and left (Political science),Política
"Latin America -- History -- Errors, inventions, etc.",Historia
Art styles: c 1960 -,Arte
Exhibition catalogues and specific collections,Arte
"Collections, Catalogs, Exhibitions - General",Arte
Art / Caribbean & Latin American,Arte
Methods - General,No es categoria
Cooking,Gastronomía
Cooking / Wine,Gastronomía
"Editors, Journalists, Publishers",No es categoria
Short Stories (Anthologies),Cuento
"Montoya, Pablo, -- 1963- -- Aesthetics",Filosofía
"Painting -- Themes, motives",Arte
Indianists,No es categoria
