subject,relation,object
Official Catholic Teachings : Update 1979,pertenece al género,Papal documents
Official Catholic Teachings : Update 1979,pertenece al género,Catholic Church
9780962214141,es un codigo ISBN para el libro,Të kapërcehet pragu i shpresës
9780962214141,es un codigo ISBN de una edicion publicada por,Gjonlekaj Pub. Co.
9780962214141,está escrito en,alb
0962214140,es un codigo ISBN para el libro,Të kapërcehet pragu i shpresës
0962214140,es un codigo ISBN de una edicion publicada por,Gjonlekaj Pub. Co.
0962214140,está escrito en,alb
Juan Pablo II,es autor de la obra,Të kapërcehet pragu i shpresës
Të kapërcehet pragu i shpresës,pertenece al género,Interviews
Të kapërcehet pragu i shpresës,pertenece al género,Papal documents
Të kapërcehet pragu i shpresës,pertenece al género,Doctrines
9781606083338,es un codigo ISBN para el libro,Faith According to Saint John of the Cross
9781606083338,es un codigo ISBN de una edicion publicada por,Wipf & Stock Publishers
9781606083338,está escrito en,Inglés
Juan Pablo II,es autor de la obra,Faith According to Saint John of the Cross
Faith According to Saint John of the Cross,pertenece al género,"John of the cross, saint, 1542-1591"
Faith According to Saint John of the Cross,pertenece al género,Faith
3540676392,es un codigo ISBN para el libro,Software Automatisch Testen
3540676392,es un codigo ISBN de una edicion publicada por,Springer
3540676392,está escrito en,Alemán
9783540676393,es un codigo ISBN para el libro,Software Automatisch Testen
9783540676393,es un codigo ISBN de una edicion publicada por,Springer
9783540676393,está escrito en,Alemán
Juan Pablo II,es autor de la obra,Software Automatisch Testen
1424145376,es un codigo ISBN para el libro,John Paul's Armadillo University
1424145376,es un codigo ISBN de una edicion publicada por,PublishAmerica
1424145376,está escrito en,Inglés
9781424145379,es un codigo ISBN para el libro,John Paul's Armadillo University
9781424145379,es un codigo ISBN de una edicion publicada por,PublishAmerica
9781424145379,está escrito en,Inglés
Juan Pablo II,es autor de la obra,John Paul's Armadillo University
John Paul's Armadillo University,pertenece al género,"Fiction, humorous, general"
2740304250,es un codigo ISBN para el libro,Dono e mistero
2740304250,es un codigo ISBN de una edicion publicada por,MAME
9782740304259,es un codigo ISBN para el libro,Dono e mistero
9782740304259,es un codigo ISBN de una edicion publicada por,MAME
0385409664,es un codigo ISBN para el libro,Dono e mistero
0385409664,es un codigo ISBN de una edicion publicada por,Doubleday Books
0385409664,está escrito en,Inglés
9780385409667,es un codigo ISBN para el libro,Dono e mistero
9780385409667,es un codigo ISBN de una edicion publicada por,Doubleday Books
9780385409667,está escrito en,Inglés
9789996464027,es un codigo ISBN para el libro,Dono e mistero
9789996464027,es un codigo ISBN de una edicion publicada por,DoubleDay
9996464024,es un codigo ISBN para el libro,Dono e mistero
9996464024,es un codigo ISBN de una edicion publicada por,DoubleDay
8820923130,es un codigo ISBN para el libro,Dono e mistero
8820923130,es un codigo ISBN de una edicion publicada por,Libreria editrice vaticana
8820923130,está escrito en,Italiano
9788820923136,es un codigo ISBN para el libro,Dono e mistero
9788820923136,es un codigo ISBN de una edicion publicada por,Libreria editrice vaticana
9788820923136,está escrito en,Italiano
0385493711,es un codigo ISBN para el libro,Dono e mistero
0385493711,es un codigo ISBN de una edicion publicada por,Image
0385493711,es un codigo ISBN de una edicion publicada por,Image Books
0385493711,está escrito en,Inglés
1568954387,es un codigo ISBN para el libro,Dono e mistero
1568954387,es un codigo ISBN de una edicion publicada por,Wheeler Pub.
1568954387,está escrito en,Inglés
1860820050,es un codigo ISBN para el libro,Dono e mistero
1860820050,es un codigo ISBN de una edicion publicada por,Doubleday
0553060643,es un codigo ISBN para el libro,Dono e mistero
0553060643,es un codigo ISBN de una edicion publicada por,Arquidiocesis Primada de México
0553060643,es un codigo ISBN de una edicion publicada por,Distributed by B.D.D.
0553060643,es un codigo ISBN de una edicion publicada por,Plaza & Janés
0553060643,está escrito en,Español
Juan Pablo II,es autor de la obra,Dono e mistero
Dono e mistero,pertenece al género,Biografía
Dono e mistero,pertenece al género,Biography
Dono e mistero,pertenece al género,Catholic Church
0905092813,es un codigo ISBN para el libro,Pope in Ireland
0905092813,es un codigo ISBN de una edicion publicada por,Veritas
0905092813,está escrito en,Inglés
185390841X,es un codigo ISBN para el libro,Pope in Ireland
185390841X,es un codigo ISBN de una edicion publicada por,Veritas Publications/Catholic Communications Office
185390841X,está escrito en,Inglés
8321102956,es un codigo ISBN para el libro,Pope in Ireland
8321102956,es un codigo ISBN de una edicion publicada por,Instytut Wydawniczy Pax
8321102956,está escrito en,Polaco
9781853908415,es un codigo ISBN para el libro,Pope in Ireland
9781853908415,es un codigo ISBN de una edicion publicada por,Veritas
9781853908415,es un codigo ISBN de una edicion publicada por,"Veritas Publications,Dublin"
185390841X,es un codigo ISBN de una edicion publicada por,Veritas
185390841X,es un codigo ISBN de una edicion publicada por,"Veritas Publications,Dublin"
Juan Pablo II,es autor de la obra,Pope in Ireland
Pope in Ireland,pertenece al género,Sermons
Pope in Ireland,pertenece al género,Travel
Pope in Ireland,pertenece al género,Catholic Church
9780836282900,es un codigo ISBN para el libro,Fear not
9780836282900,es un codigo ISBN de una edicion publicada por,Andrews McMeel Publishing
9780836282900,está escrito en,Inglés
0836282906,es un codigo ISBN para el libro,Fear not
0836282906,es un codigo ISBN de una edicion publicada por,Andrews McMeel Publishing
0836282906,está escrito en,Inglés
0836282906,es un codigo ISBN de una edicion publicada por,Andrews McMeel Pub.
0281052042,es un codigo ISBN para el libro,Fear not
0281052042,es un codigo ISBN de una edicion publicada por,SPCK Publishing
9780281052042,es un codigo ISBN para el libro,Fear not
9780281052042,es un codigo ISBN de una edicion publicada por,SPCK Publishing
Juan Pablo II,es autor de la obra,Fear not
Fear not,pertenece al género,Christian life
Fear not,pertenece al género,Catholic authors
Fear not,pertenece al género,"Quotations, maxims"
8370152147,es un codigo ISBN para el libro,Niespokojni nadzieją
8370152147,es un codigo ISBN de una edicion publicada por,Księg. Św. Wojciecha
8370152147,está escrito en,Polaco
Juan Pablo II,es autor de la obra,Niespokojni nadzieją
9788362743070,es un codigo ISBN para el libro,Muzyka
9788362743070,es un codigo ISBN de una edicion publicada por,Akademia Muzyczna w Krakowie
9788362743070,está escrito en,Polaco
Juan Pablo II,es autor de la obra,Muzyka
Muzyka,pertenece al género,Music
Muzyka,pertenece al género,Church music
Muzyka,pertenece al género,Knowledge
3853261507,es un codigo ISBN para el libro,Johannes Paul II. und Österreich
3853261507,es un codigo ISBN de una edicion publicada por,NP Buchverlag
3853261507,está escrito en,Alemán
Juan Pablo II,es autor de la obra,Johannes Paul II. und Österreich
Johannes Paul II. und Österreich,pertenece al género,Religious life and customs
Johannes Paul II. und Österreich,pertenece al género,Travel
8886811454,es un codigo ISBN para el libro,Per una storia de L'Osservatore romano (1861-2001)
8886811454,es un codigo ISBN de una edicion publicada por,L'Osservatore romano
8886811454,está escrito en,Italiano
Juan Pablo II,es autor de la obra,Per una storia de L'Osservatore romano (1861-2001)
Per una storia de L'Osservatore romano (1861-2001),pertenece al género,Osservatore romano
Per una storia de L'Osservatore romano (1861-2001),pertenece al género,Osservatore romano (Vatican City : 1861)
8324701613,es un codigo ISBN para el libro,Pozdrawiam i błogosławię
8324701613,es un codigo ISBN de una edicion publicada por,"""Świat Książki"""
8324701613,está escrito en,Polaco
Juan Pablo II,es autor de la obra,Pozdrawiam i błogosławię
Pozdrawiam i błogosławię,pertenece al género,Correspondence
Pozdrawiam i błogosławię,pertenece al género,Popes
8838239622,es un codigo ISBN para el libro,"Karol Wojtyła, le poesie giovanili"
8838239622,es un codigo ISBN de una edicion publicada por,Edizioni studium
8838239622,está escrito en,Italiano
Juan Pablo II,es autor de la obra,"Karol Wojtyła, le poesie giovanili"
"Karol Wojtyła, le poesie giovanili",pertenece al género,Translations into Italian
9031706582,es un codigo ISBN para el libro,Textes complets
9031706582,es un codigo ISBN de una edicion publicada por,Altiora
9031706582,está escrito en,Francés
Juan Pablo II,es autor de la obra,Textes complets
Textes complets,pertenece al género,Doctrines
Textes complets,pertenece al género,Travel
Textes complets,pertenece al género,Catholic Church
8360695016,es un codigo ISBN para el libro,Historia jest wspólna
8360695016,es un codigo ISBN de una edicion publicada por,Instytut Europy Środkowo-Wschodniej
8360695016,está escrito en,Polaco
9788360695012,es un codigo ISBN para el libro,Historia jest wspólna
9788360695012,es un codigo ISBN de una edicion publicada por,Instytut Europy Środkowo-Wschodniej
9788360695012,está escrito en,Polaco
Juan Pablo II,es autor de la obra,Historia jest wspólna
Historia jest wspólna,pertenece al género,Congresses
Historia jest wspólna,pertenece al género,Influence
Historia jest wspólna,pertenece al género,History
99919541631,es un codigo ISBN para el libro,Les pensées lumineuses du Pape Jean-Paul II
99919541631,es un codigo ISBN de una edicion publicada por,Les Editions Labo GBE (INT.)
99919541631,está escrito en,Francés
Juan Pablo II,es autor de la obra,Les pensées lumineuses du Pape Jean-Paul II
Les pensées lumineuses du Pape Jean-Paul II,pertenece al género,Catholic authors
Les pensées lumineuses du Pape Jean-Paul II,pertenece al género,Quotations
Les pensées lumineuses du Pape Jean-Paul II,pertenece al género,Christian life
Felicia Langer,es de nacionalidad,Poland
3981792297,es un codigo ISBN para el libro,Bis zum letzten Atemzug
3981792297,es un codigo ISBN de una edicion publicada por,Cosmics Verlag
3981792297,está escrito en,Alemán
9783981792294,es un codigo ISBN para el libro,Bis zum letzten Atemzug
9783981792294,es un codigo ISBN de una edicion publicada por,Cosmics Verlag
9783981792294,está escrito en,Alemán
9783981792201,es un codigo ISBN para el libro,Bis zum letzten Atemzug
9783981792201,es un codigo ISBN de una edicion publicada por,Cosmics Verlag
9783981792201,está escrito en,Alemán
Felicia Langer,es autor de la obra,Bis zum letzten Atemzug
Bis zum letzten Atemzug,pertenece al género,History
3889776647,es un codigo ISBN para el libro,"Die Frau, die niemals schweigt"
3889776647,es un codigo ISBN de una edicion publicada por,Lamuv
3889776647,está escrito en,Alemán
9783889776648,es un codigo ISBN para el libro,"Die Frau, die niemals schweigt"
9783889776648,es un codigo ISBN de una edicion publicada por,Lamuv
9783889776648,está escrito en,Alemán
Felicia Langer,es autor de la obra,"Die Frau, die niemals schweigt"
"Die Frau, die niemals schweigt",pertenece al género,Lawyers
"Die Frau, die niemals schweigt",pertenece al género,Biography
"Die Frau, die niemals schweigt",pertenece al género,Palestinian Arabs
3320020714,es un codigo ISBN para el libro,"""Nicht gegen mein Gewissen"""
3320020714,es un codigo ISBN de una edicion publicada por,Dietz
3320020714,está escrito en,Alemán
9783320020712,es un codigo ISBN para el libro,"""Nicht gegen mein Gewissen"""
9783320020712,es un codigo ISBN de una edicion publicada por,Dietz
9783320020712,está escrito en,Alemán
Felicia Langer,es autor de la obra,"""Nicht gegen mein Gewissen"""
"""Nicht gegen mein Gewissen""",pertenece al género,Jewish-Arab relations
"""Nicht gegen mein Gewissen""",pertenece al género,Palestinian Arabs
9783889776808,es un codigo ISBN para el libro,Die Entrechtung der Palästinenser
9783889776808,es un codigo ISBN de una edicion publicada por,Lamuv
9783889776808,está escrito en,Alemán
3889776809,es un codigo ISBN para el libro,Die Entrechtung der Palästinenser
3889776809,es un codigo ISBN de una edicion publicada por,Lamuv
3889776809,está escrito en,Alemán
Felicia Langer,es autor de la obra,Die Entrechtung der Palästinenser
Die Entrechtung der Palästinenser,pertenece al género,"Israel-Arab War, 1967"
Die Entrechtung der Palästinenser,pertenece al género,Occupied territories
Die Entrechtung der Palästinenser,pertenece al género,Land settlement
3889752012,es un codigo ISBN para el libro,Mit Leib und Seele
3889752012,es un codigo ISBN de una edicion publicada por,Zambon
3889752012,está escrito en,Alemán
9783889752017,es un codigo ISBN para el libro,Mit Leib und Seele
9783889752017,es un codigo ISBN de una edicion publicada por,Zambon
9783889752017,está escrito en,Alemán
Felicia Langer,es autor de la obra,Mit Leib und Seele
Mit Leib und Seele,pertenece al género,Lawyers
Mit Leib und Seele,pertenece al género,Biography
Mit Leib und Seele,pertenece al género,Human rights workers
9783889775382,es un codigo ISBN para el libro,"""Lasst uns wie Menschen leben!"""
9783889775382,es un codigo ISBN de una edicion publicada por,Lamuv
9783889775382,está escrito en,Alemán
3889775381,es un codigo ISBN para el libro,"""Lasst uns wie Menschen leben!"""
3889775381,es un codigo ISBN de una edicion publicada por,Lamuv
3889775381,está escrito en,Alemán
3889774563,es un codigo ISBN para el libro,"""Lasst uns wie Menschen leben!"""
3889774563,es un codigo ISBN de una edicion publicada por,Lamuv
3889774563,está escrito en,Alemán
Felicia Langer,es autor de la obra,"""Lasst uns wie Menschen leben!"""
"""Lasst uns wie Menschen leben!""",pertenece al género,Arab-Israeli conflict
"""Lasst uns wie Menschen leben!""",pertenece al género,Civil rights
"""Lasst uns wie Menschen leben!""",pertenece al género,Ethnic relations
9783889776884,es un codigo ISBN para el libro,Um Hoffnung kämpfen
9783889776884,es un codigo ISBN de una edicion publicada por,Lamuv Verlag
9783889776884,está escrito en,Alemán
Felicia Langer,es autor de la obra,Um Hoffnung kämpfen
Um Hoffnung kämpfen,pertenece al género,Lawyers
Um Hoffnung kämpfen,pertenece al género,Biography
Um Hoffnung kämpfen,pertenece al género,Human rights workers
9509796028,es un codigo ISBN para el libro,Prisioneros del sionismo
9509796028,es un codigo ISBN de una edicion publicada por,Rafael Cedeño Editor
9509796028,está escrito en,Español
Felicia Langer,es autor de la obra,Prisioneros del sionismo
Prisioneros del sionismo,pertenece al género,"Israel-Arab War, 1967"
Prisioneros del sionismo,pertenece al género,Occupied territories
Prisioneros del sionismo,pertenece al género,Political prisoners
3889776159,es un codigo ISBN para el libro,Quo vadis Israel?
3889776159,es un codigo ISBN de una edicion publicada por,Lamuv Verlag GmbH
3889776159,está escrito en,Alemán
9783889776150,es un codigo ISBN para el libro,Quo vadis Israel?
9783889776150,es un codigo ISBN de una edicion publicada por,Lamuv Verlag GmbH
9783889776150,está escrito en,Alemán
Felicia Langer,es autor de la obra,Quo vadis Israel?
Quo vadis Israel?,pertenece al género,"Al-Aqsa Intifada, 2000-"
Quo vadis Israel?,pertenece al género,Politics and government
Quo vadis Israel?,pertenece al género,Palestinian Arabs
0704326922,es un codigo ISBN para el libro,An age of stone
0704326922,es un codigo ISBN de una edicion publicada por,Brand: Quartet Books Ltd
0704326922,es un codigo ISBN de una edicion publicada por,Quartet Books
0704326922,es un codigo ISBN de una edicion publicada por,Quartet Books Ltd
0704326922,está escrito en,Inglés
Felicia Langer,es autor de la obra,An age of stone
An age of stone,pertenece al género,Social conditions
An age of stone,pertenece al género,Ethnic relations
An age of stone,pertenece al género,"Israel-Arab War, 1967"
2209051592,es un codigo ISBN para el libro,Bi-umm ʻaynay
2209051592,es un codigo ISBN de una edicion publicada por,Éditions sociales
2209051592,está escrito en,Francés
0903729105,es un codigo ISBN para el libro,Bi-umm ʻaynay
0903729105,es un codigo ISBN de una edicion publicada por,Ithaca Press
0903729105,está escrito en,Inglés
0903729113,es un codigo ISBN para el libro,Bi-umm ʻaynay
0903729113,es un codigo ISBN de una edicion publicada por,Ithaca Press
0903729113,está escrito en,Inglés
9780903729109,es un codigo ISBN para el libro,Bi-umm ʻaynay
9780903729109,es un codigo ISBN de una edicion publicada por,Ithaca Press
9780903729109,está escrito en,Inglés
9780903729116,es un codigo ISBN para el libro,Bi-umm ʻaynay
9780903729116,es un codigo ISBN de una edicion publicada por,Ithaca Press
9780903729116,está escrito en,Inglés
Felicia Langer,es autor de la obra,Bi-umm ʻaynay
Bi-umm ʻaynay,pertenece al género,Fedayeen
Bi-umm ʻaynay,pertenece al género,"Israel-Arab War, 1967"
Bi-umm ʻaynay,pertenece al género,Occupied territories
3889773850,es un codigo ISBN para el libro,Brücke der Träume
3889773850,es un codigo ISBN de una edicion publicada por,Lamuv
3889773850,está escrito en,Alemán
Felicia Langer,es autor de la obra,Brücke der Träume
Brücke der Träume,pertenece al género,Biography
Brücke der Träume,pertenece al género,Civil rights
Brücke der Träume,pertenece al género,Journeys
388977539X,es un codigo ISBN para el libro,Miecius später Bericht
388977539X,es un codigo ISBN de una edicion publicada por,Lamuv
388977539X,está escrito en,Alemán
Felicia Langer,es autor de la obra,Miecius später Bericht
Miecius später Bericht,pertenece al género,Biography
Miecius später Bericht,pertenece al género,"Holocaust, Jewish (1939-1945)"
Miecius später Bericht,pertenece al género,Jews
0903729512,es un codigo ISBN para el libro,These are my brothers
0903729512,es un codigo ISBN de una edicion publicada por,Ithaca Press
9780903729512,es un codigo ISBN para el libro,These are my brothers
9780903729512,es un codigo ISBN de una edicion publicada por,Ithaca Press
9996471888,es un codigo ISBN para el libro,These are my brothers
9996471888,es un codigo ISBN de una edicion publicada por,Evergreen Book Distribution
9789996471889,es un codigo ISBN para el libro,These are my brothers
9789996471889,es un codigo ISBN de una edicion publicada por,Evergreen Book Distribution
0903729504,es un codigo ISBN para el libro,These are my brothers
0903729504,es un codigo ISBN de una edicion publicada por,Ithaca
0903729504,está escrito en,Inglés
903729505,es un codigo ISBN para el libro,These are my brothers
903729505,es un codigo ISBN de una edicion publicada por,Ithaca Press
903729505,está escrito en,Inglés
Felicia Langer,es autor de la obra,These are my brothers
These are my brothers,pertenece al género,Biography
These are my brothers,pertenece al género,Fedayeen
These are my brothers,pertenece al género,"Israel-Arab War, 1967"
Magdalena Parys,es de nacionalidad,Poland
837943837X,es un codigo ISBN para el libro,Magik
837943837X,es un codigo ISBN de una edicion publicada por,Swiat Ksiazki
9788379438372,es un codigo ISBN para el libro,Magik
9788379438372,es un codigo ISBN de una edicion publicada por,Swiat Ksiazki
Magdalena Parys,es autor de la obra,Magik
8377990180,es un codigo ISBN para el libro,Tunel (polish)
8377990180,es un codigo ISBN de una edicion publicada por,?wiat Ksi??ki
8377990180,está escrito en,Polaco
9788377990186,es un codigo ISBN para el libro,Tunel (polish)
9788377990186,es un codigo ISBN de una edicion publicada por,?wiat Ksi??ki
9788377990186,está escrito en,Polaco
Magdalena Parys,es autor de la obra,Tunel (polish)
Tunel (polish),pertenece al género,Fiction
9788324036363,es un codigo ISBN para el libro,Biala Rika
9788324036363,es un codigo ISBN de una edicion publicada por,Znak
8324036369,es un codigo ISBN para el libro,Biala Rika
8324036369,es un codigo ISBN de una edicion publicada por,Znak
Magdalena Parys,es autor de la obra,Biala Rika
9788392867883,es un codigo ISBN para el libro,NieObcy
9788392867883,es un codigo ISBN de una edicion publicada por,Stowarzyszenie Przyjaciół Polskiej Akcji Humanitarnej
9788392867883,está escrito en,Polaco
8392867882,es un codigo ISBN para el libro,NieObcy
8392867882,es un codigo ISBN de una edicion publicada por,Stowarzyszenie Przyjaciół Polskiej Akcji Humanitarnej
8392867882,está escrito en,Polaco
Magdalena Parys,es autor de la obra,NieObcy
NieObcy,pertenece al género,Refugees
NieObcy,pertenece al género,Fiction
NieObcy,pertenece al género,Polish fiction
Michał Kamiński,es de nacionalidad,Poland
9788377000359,es un codigo ISBN para el libro,Koniec PiS-u
9788377000359,es un codigo ISBN de una edicion publicada por,"Wydawn. ""Czerwone i Czarne"""
9788377000359,está escrito en,Polaco
Michał Kamiński,es autor de la obra,Koniec PiS-u
Koniec PiS-u,pertenece al género,Politics and government
Koniec PiS-u,pertenece al género,Interviews
Koniec PiS-u,pertenece al género,Prawo i Sprawiedliwość (Political party)
Ozjasz Thon,es de nacionalidad,Poland
9788361978169,es un codigo ISBN para el libro,Kazania 1895-1906
9788361978169,es un codigo ISBN de una edicion publicada por,Austeria
9788361978169,está escrito en,Polaco
Ozjasz Thon,es autor de la obra,Kazania 1895-1906
Kazania 1895-1906,pertenece al género,Rabbis
Kazania 1895-1906,pertenece al género,Jewish sermons
Kazania 1895-1906,pertenece al género,"Thon, Osias, (1870-1936)"
Olga Tokarczuk,es de nacionalidad,Poland
9780903141529,es un codigo ISBN para el libro,Bad Company
9780903141529,es un codigo ISBN de una edicion publicada por,Granta Books
9780903141529,está escrito en,Inglés
1929001088,es un codigo ISBN para el libro,Bad Company
1929001088,es un codigo ISBN de una edicion publicada por,"Grove Press, Granta"
1929001088,está escrito en,Inglés
9781929001088,es un codigo ISBN para el libro,Bad Company
9781929001088,es un codigo ISBN de una edicion publicada por,"Grove Press, Granta"
9781929001088,está escrito en,Inglés
Olga Tokarczuk,es autor de la obra,Bad Company
Bad Company,pertenece al género,"Literature, collections"
Bad Company,pertenece al género,Literature
Bad Company,pertenece al género,Collections
9788361488903,es un codigo ISBN para el libro,Une âme égarée
