Author,Nationality
José Angel Buesa,cuban
N. F. Mesa,cuban
Regino Eladio Boti y Barreiro,cuban
Emilio Comas Paret,cuban
Marie-Claire Alexandrine-Sinapah,cuban
Camila Henríquez Ureña,cuban
Carmen Lorenzetti,cuban
Zenaida Echevarría Hidalgo,cuban
Francisco Garzón Céspedes,cuban
Roberto Fernández Retamar,cuban
Manuel Díaz Martínez,cuban
Orlando Concepción,cuban
Jorge R. Bermúdez,cuban
Eduardo Martínez Malo,cuban
Alba María Orta Pérez,cuban
Rafael Rojas,cuban
Francisco Morán,cuban
Orlando Castellanos Molina,cuban
Lino Novás Calvo,cuban
Marcos Pico Rentería,cuban
Elizabeth Mirabal,cuban
Pablo Armando Fernández,cuban
Elsa Gutiérrez Baró,cuban
Pedro Luis Hernández Pérez,cuban
Eufrasio Guzmán M.,cuban
Ángel Augier,cuban
Alexis García Artiles,cuban
Eliseo Diego,cuban
Virgilio Piñera,cuban
Enrique Labrador Ruiz,cuban
Ambrosio Fornet,cuban
Trinidad Pérez,cuban
Román De la Campa,cuban
Belén Abreu,cuban
"Reyes, Alfonso",cuban
Madelyn Díaz Monterrey,cuban
Iván González Cruz,cuban
Coloquio Internacional sobre la Obra de José Lezama Lima (1982 Université de Poitiers),cuban
Agustin Labrada Aguilera,cuban
Salvador Bueno,cuban
Ana Mesa de la Fé,cuban
José Manuel Carbonell,cuban
Esteban Luis Cárdenas,cuban
Dulce María Loynaz,cuban
Heberto Padilla,cuban
Rafael Esténger,cuban
Barbara Schwarzwälder,cuban
Félix Guerra,cuban
Raymond Leonard Grismer,cuban
José Ramón Crespo Jiménez,cuban
Olga Marta Pérez,cuban
Yamil Díaz Gómez,cuban
Andrés Candelario,cuban
María del Carmen Muzio,cuban
Darcy Borrero Batista,cuban
Waldo Leyva Portal,cuban
Eugenio Marrón Casanova,cuban
Eduardo Lolo,cuban
Beatriz Varela,cuban
Georgina Lázaro León,cuban
Carlos A. Aguilera,cuban
Edgard Gousse,cuban
Mariana Martins Villaça,cuban
Pepita Jiménez Carreras,cuban
Juan Ramón Jiménez,cuban
Leonardo Sarría,cuban
Antonio Gutiérrez Rodríguez,cuban
Manuel Ramos Otero,cuban
Domingo Del Monte,cuban
Rolando López del Amo,cuban
Eduardo Heras León,cuban
Josep Trujillo Fonseca,cuban
Rafael José Rodríguez Pérez,cuban
Roberto Méndez,cuban
Omar Stainer Rivera Carbó,cuban
Arcadio Díaz Quiñones,cuban
Manuel de la Cruz,cuban
José Kozer,cuban
Roberto Pérez León,cuban
Zenaida Gutiérrez-Vega,cuban
V.V.A.A.,cuban
Lorenzo Gª Vega,cuban
José Vilasuso,cuban
Abilio Estévez,cuban
Rafael A. Bernal Castellanos,cuban
Pedro Capdevila,cuban
Gustavo Guerrero,cuban
Flora Basulto de Montoya,cuban
Néstor E. Baguer,cuban
Celedonio González,cuban
"West, Alan",cuban
Antonio Orlando Rodríguez,cuban
Ibrahím Hidalgo Paz,cuban
Ottmar Ette,cuban
Armando Garcia de la Torre,cuban
Liliane Hasson,cuban
Raúl Gómez Treto,cuban
Evelina Cardet Fernández,cuban
Mario Vizcaíno Serrat,cuban
Alicia Elizundia Ramírez,cuban
Agenor Martí,cuban
Loló de la Torriente,cuban
José Jacinto Milanés,cuban
Vidal Morales y Morales,cuban
Luis Rogelio Nogueras,cuban
Juan J. Remos y Rubio,cuban
Enrique López Mesa,cuban
Julián del Casal,cuban
Lorenzo García Vega,cuban
J. M. Capo,cuban
Ben Chace,cuban
Ana Cairo Ballester,cuban
Enrique del Risco,cuban
Elizabet Rodríguez,cuban
"Reinaldo / Gallardo Camacho, Eva Margaritaed. lit. Arenas Fuentes",cuban
Octavio Armand,cuban
Carmen Gomez,cuban
Juan Abreu,cuban
Luis Báez,cuban
José López Sánchez,cuban
"Vitier, Cintio",cuban
Roberto Friol,cuban
Félix Lizaso,cuban
Emma Otheguy,cuban
Scott Johnson,cuban
Ramón Luque,cuban
Alberto Alfonso Bello,cuban
Gertrudis Gómez de Avellaneda,cuban
Emilio de los Santos Fuentes y Betancourt,cuban
Dolores Rovirosa,cuban
David Goodnough,cuban
Armando Betancourt de Hita,cuban
Ricardo R. Sardina,cuban
Carlos A. Valdés Codina,cuban
Francisco Meluzá Otero,cuban
Angel Cuadra,cuban
Elías José Entralgo,cuban
Rogerio Moya,cuban
Enrique J. Pujals,cuban
Belén Abreu,cuban
Jean Lamore,cuban
Severo Sarduy,cuban
Natalia Bolívar Aróstegui,cuban
Miguel Angel González Abellás,cuban
José Ángel Bufill,cuban
Severo Sarduy,cuban
Doris Era González,cuban
Enrique Garcés Montero,cuban
José Antonio Echeverría,cuban
Carolina Gutiérrez Marroquín,cuban
Jean-Louis Vaudoyer,cuban
Adolfo Menéndez Alberdi,cuban
Enrique Pérez Díaz,cuban
Nancy Morejón,cuban
Jan Gleiter,cuban
Inmaculada López Calahorro,cuban
Amauri Francisco Gutiérrez Coto,cuban
Luisa Campuzano,cuban
José Ismael Gutiérrez,cuban
Leopoldo Zea,cuban
Antón Arrufat,cuban
Georgina Herrera,cuban
Pedro de la Hoz,cuban
Eduardo J. Tejera,cuban
Nestor Almendros,cuban
Manuel García Guatas,cuban
Carlos Espinosa Domínguez,cuban
Eugenio Suárez Galbán,cuban
Fernando Martínez Laínez,cuban
Jorge Domingo,cuban
Vicente González Castro,cuban
Samuel Feijóo,cuban
Zoé Valdés,cuban
Oscar de Alva,cuban
Alfonso Herrera Franyutti,cuban
Leonardo Depestre Catony,cuban
Graziella Pogolotti,cuban
Elda Cento Gómez,cuban
Raúl Ferrer,cuban
José María Chacón y Calvo,cuban
José Angel Valente,cuban
Emilio Cotarelo y Mori,cuban
Víctor Pérez Galdós,cuban
Miguel Gonzalez-Abellas,cuban
Ramiro Manuel García Medina,cuban
Ramón Luis Herrera,cuban
Olga García Yero,cuban
José María Heredia,cuban
Rainer Maria Rilke,mexican
Rodolfo Usigli,mexican
Octavio Paz,mexican
Augusto Monterroso,mexican
Sister Juana Inés de la Cruz,mexican
Vicente Riva Palacio,mexican
Juan Rulfo,mexican
Rolf Recknagel,mexican
Antonio Castro Leal,mexican
Dylan Brennan,mexican
Pat Mora,mexican
Laura Esquivel,mexican
Luis Leal,mexican
José Joaquín Fernández de Lizardi,mexican
José Vasconcelos,mexican
Federico Gamboa,mexican
José Vasconcelos,mexican
Benita Galeana,mexican
Vicente Leñero,mexican
"Galaviz, Juan M.",mexican
Juan José Arreola,mexican
Nellie Campobello,mexican
Margo Glantz,mexican
Abraham Argüelles,mexican
Juan R. Campuzano,mexican
Guadalupe Appendini,mexican
Alicia Reyes,mexican
Emmanuel Carballo,mexican
José Mariano Beristáin de Souza,mexican
Max Aub,mexican
Jonah Raskin,mexican
Rafael Jiménez Cataño,mexican
Alejandro Jodorowsky,mexican
"Reyes, Alfonso",mexican
Alfonso Berrios,mexican
Rubén Salazar Mallén,mexican
Michael Karl Schuessler,mexican
Chris N. Nacci,mexican
Leonardo Martínez Carrizales,mexican
José Revueltas,mexican
Leopoldo Lugones,mexican
Alfonso Junco,mexican
Octavio Gordillo y Ortiz,mexican
Ernst Schurer,mexican
Rafael Montejano y Aguiñaga,mexican
Frederik Hetmann,mexican
María Zambrano,mexican
"Owen, Gilberto",mexican
Leobardo Sarabia,mexican
Israel Cavazos Garza,mexican
Jorge Galván,mexican
Lynn Stephen,mexican
"Wyatt, Will.",mexican
Carlos López,mexican
Francisco García Chávez,mexican
Joaquín Cárdenas N.,mexican
Jesús Gálvez Yagüe,mexican
Gerardo Ochoa Sandy,mexican
Francisco Monterde,mexican
Eduardo Robledo Rincon,mexican
José Luis Martínez,mexican
F. García Chávez,mexican
Rubén Salazar Mallén,mexican
Mexico. Secretaría de Relaciones Exteriores.,mexican
Ermilo Abreu Gómez,mexican
"Valle-Arizpe, Artemio de",mexican
Raúl Rangel Frías,mexican
"Vogt, Wolfgang",mexican
Arturo Azuela,mexican
Alvaro Uribe,mexican
Victoriano Salado Alvarez,mexican
Forrest Gander,mexican
José Servando Teresa de Mier Noriega y Guerra,mexican
Mariano Azuela,mexican
Reina Roffé,mexican
Alfonso Reyes,mexican
Roy Pateman,mexican
Guillermo Schmidhuber de la Mora,mexican
Cecil Robinson,mexican
Heidi Zogbaum,mexican
Margaret Sayers Peden,mexican
Andrés Iduarte,mexican
Norma Salazar,mexican
María Isabel Saldaña Villarreal,mexican
Nicholas Cifuentes-Goodbody,mexican
Carlos Pellicer,mexican
Carlos Fuentes,mexican
Enrique Krauze,mexican
Agustín Yáñez,mexican
Lola Alvarez Bravo,mexican
Clemente Díaz de la Vega,mexican
Enrique Aguilar (Resillas),mexican
Clara Campoamor,mexican
Carlota Constantine Morán,mexican
Francisco Hernández,mexican
Raúl Renán,mexican
Aureliano Ortega Esquivel,mexican
Delfina Careaga,mexican
Lourdes C. Pacheco Ladrón de Guevara,mexican
Regina Cardoso,mexican
"Encuentro de Escritores Coahuilenses (2008 Torreón, Coahuila, Mexico).",mexican
Roberto Arizmendi Rodríguez,mexican
Tomás Segovia,mexican
Mario Luis Fuentes,mexican
Elena Poniatowska,mexican
Hugo Gutiérrez Vega,mexican
Enrique Ceballos Ramos,mexican
Vicente Francisco Torres M.,mexican
Guillermo Sheridan,mexican
Antonio Alatorre,mexican
Ignacio Trejo Fuentes,mexican
Adriana Sandoval,mexican
Rosario Castellanos,mexican
Xavier Velasco,mexican
Frederick Starr,mexican
Patricia Rosas Lopátegui,mexican
Jaime Torres Bodet,mexican
Judy Stone,mexican
Román Corral Sandoval,mexican
Carlos Monsiváis,mexican
Kathryn Skidmore Blair,mexican
Emily Hind,mexican
Luis Sáinz de Medrano,mexican
Sergio Pitol,mexican
Paulette Patout,mexican
Patricia Dávila Valero,mexican
Gerd Heidemann,mexican
Adrián Ortega,mexican
José Alameda,mexican
Pedro Leonardo Talavera Ibarra,mexican
"Hernández, Fco. Javier",mexican
Oralba Castillo Nájera,mexican
"Sosa, Francisco",mexican
Juan A. Ascencio,mexican
Claire Brewster,mexican
Becky Rubinstein,mexican
Cibeles Henestrosa de Webster,mexican
Valéry Larbaud,mexican
María Luisa Puga,mexican
Juan José Arreola,mexican
Vicente Quirarte,mexican
Fredo Arias de la Canal,mexican
Gilberto Ibarra Rivera,mexican
Alexandra Reyes Haiducovich,mexican
Beatriz Espejo,mexican
Alberto Vital Díaz,mexican
Hernán Lara Zavala,mexican
Carlos Monsivais,mexican
Martha Domínguez Cuevas,mexican
Juan Trigos,mexican
Federico Patán,mexican
Carlos Montemayor,mexican
Clara Guadalupe García,mexican
Francisco Javier Campos Cornejo,mexican
Elena Garro,mexican
Ricardo Garibay,mexican
Reyna Barrera,mexican
"Borbolla, Oscar de la.",mexican
Salvador Novo,mexican
Agustin Yanez,mexican
Vicente Leñero,mexican
Andrés Henestrosa,mexican
Luis Enrique Ramírez,mexican
Juan Luis Nutte,mexican
Gabriela Mistral,mexican
Juan Gallardo Munoz,mexican
Georgina Lazaro,mexican
Ada Aurora Sánchez,mexican
Lauro Zavala,mexican
Martha Robles,mexican
Sergio E. Fernández,mexican
"Payno, Manuel",mexican
E. Y. López,mexican
Mercedes Ruiz García,mexican
José Ortega y Gasset,mexican
Rafael Cuevas,mexican
Ezequiel Adeodato Chávez,mexican
Nidia Esther Rosado,mexican
María Luisa Mendoza,mexican
Alberto Cue,mexican
Julio Torri,mexican
Yolanda Segura,mexican
Jesús de León,mexican
Fabiola Ruiz,mexican
Gerardo Segura,mexican
Federico Munguía Cárdenas,mexican
Ignacio Manuel Altamirano,mexican
Robin Adèle Greeley,mexican
Héctor Vega Flores,mexican
René Avilés Fabila,mexican
Carlos Urzáiz Jiménez,mexican
Roland Forgues,mexican
Alejandra Pizarnik,mexican
Carlos Velázquez,mexican
Diana Isabel Jaramillo Juárez,mexican
Anna Caballé,mexican
Olga Martha Peña Doria,mexican
J. Manuel García-García,mexican
Celia del Palacio,mexican
Fritz Glockner Corte,mexican
Alejandro Toledo,mexican
Julio Moguel,mexican
Moisés Ochoa Campos,mexican
Eugenio Aguirre,mexican
Ociel Flores Flores,mexican
Alejandro Aldana Sellschopp,mexican
Celine Armenta,mexican
Conrado Roche Reyes,mexican
María de Lourdes Franco Bagnouls,mexican
Roberto Orozco Melo,mexican
Ilse Díaz Márquez,mexican
Javier Villarreal Lozano,mexican
José Francisco Pedraza Montes,mexican
Aureliano Tapia Méndez,mexican
Josefina Estrada,mexican
Mexico. Secretaría de Gobernación,mexican
Juan López,mexican
Catalina Sierra,mexican
Gabriel Trujillo Muñoz,mexican
Oscar Mata,mexican
Ethel Krauze,mexican
Mirta Aguirre,mexican
Russell M. Cluff,mexican
Mónica Maristain,mexican
Enrique Díez-Canedo,mexican
Mexico) Encuentro de Cronistas del Estado de Guerrero (3rd 2012 Tixtla de Guerrero,mexican
Marcos Daniel Aguilar,mexican
Eraclio Zepeda,mexican
José de la O. Holguín,mexican
Joaquín García Monge,mexican
Luis Sandoval Godoy,mexican
Elvira Gascón,mexican
Yolanda de la Torre,mexican
Alejandro Hermosilla Sánchez,mexican
Rosely E. Quijano León,mexican
Esther Hernández Palacios,mexican
Antonio Acevedo Escobedo,mexican
Abelardo Casanova,mexican
Club de Mujeres Periodistas y Escritoras de Tabasco,mexican
Ramón Xirau,mexican
Abigail Villagrán Mora,mexican
Paule V. Bétérous,mexican
Alejandro Toledo,mexican
Ciro B. Ceballos,mexican
Jorge Ávila Storer,mexican
Margaret Shrimpton Masson,mexican
Vicente Quirarte,mexican
Juan Pascual Gay,mexican
Raymundo Ramos,mexican
Carlo Coccioli,mexican
"Hauschild, Jan-Christoph",mexican
Marco Aurelio Carballo,mexican
Salvador Elizondo,mexican
Cristina Pacheco,mexican
VV. AA.,mexican
Xavier Rodríguez Ledesma,mexican
Margarita López-Portillo y Pacheco,mexican
Santiago Genovés,mexican
Nicolás Pizarro,mexican
Germán Dehesa,mexican
Carlos Castillo,mexican
Ramón López Velarde,mexican
Margarita Peña,mexican
Juan José Reyes,mexican
Rhina Toruño,mexican
José Joaquín Blanco,mexican
Agustin Labrada Aguilera,mexican
Ramón Rubín,mexican
Adela Salinas,mexican
Beth.* Miller,mexican
Claudia Albarrán,mexican
Jesús E. Valenzuela,mexican
Martha Chávez Padrón,mexican
Britt Diegner,mexican
Serge I. Zaïtzeff,mexican
Norma Anabel Barera,mexican
Carlos Landero,mexican
José Gaos,mexican
Fernando DIaz de Urdanivia,mexican
José de la Colina,mexican
Jose  Luis Marti nez,mexican
Nicolás Casillas Gómez,mexican
Rafael Montejano y Aguiñaga,mexican
Eduardo Enrique Ríos,mexican
Jaime Torres Bodet,mexican
Alfredo Cardona Peña,mexican
Jose . Agusti n,mexican
Ermilo Abreu Gómez,mexican
"Yáñez, Agustín",mexican
Miguel Angel Quemain,mexican
Ana Luisa Calvillo,mexican
Joseph F. Vélez,mexican
Carlos Francisco Aquino López,mexican
Gutierre Tibón,mexican
Valentín Lavín Higuera,mexican
Paul W. Borgeson,mexican
José Agustín,mexican
José Javier Villarreal,mexican
"Covarrubias, Miguel",mexican
Adrián Figueroa Nolasco,mexican
Mario Bellatin,mexican
Jean-Louis Auge,mexican
Alí Chumacero,mexican
Universidad de San Carlos de Guatemala,mexican
álvaro Ruiz Abreu,mexican
Alberto Enríquez Perea,mexican
Ricardo Sigala,mexican
Adriana González Mateos,mexican
Adolfo Rodríguez Gallardo,mexican
Oscar A. García Solana,mexican
Gonzalo Celorio,mexican
Beatriz Cano Sánchez,mexican
Alejandro Vázquez Ortiz,mexican
Jorge Meléndez Preciado,mexican
Germán Pardo García,mexican
Axur Eneas,mexican
Pedro Ángel Palou,mexican
Antonieta Rivas Mercado,mexican
Ignacio Ruiz Pérez,mexican
Georgina Lázaro León,mexican
Edmundo Domínguez Aragonés,mexican
Patricio Bayardo Gómez,mexican
Jorge Esquinca,mexican
Mercedes Zavala Gómez del Campo,mexican
Lilia Solórzano Esqueda,mexican
Julio César Schara,mexican
Irma Angélica Bañuelos ℓvila,mexican
Roberto García,mexican
Raúl Rodríguez Cetina,mexican
Mexico) Encuentro Regional de Escritores en Lenguas Indígenas (2007 Calkiní,mexican
Héctor Alfonso Rodríguez Aguilar,mexican
Celso Santajuliana,mexican
Óscar Alarcón,mexican
Marco Antonio Campos,mexican
Rafael Gaona,mexican
Kathleen Thompson,mexican
Sergio González Rodríguez,mexican
Angel Muñoz Fernández,mexican
Juan de la Cabada,mexican
Oscar Pantoja,mexican
Luis Reyes de la Maza,mexican
Fernando Fernández,mexican
Malva Flores,mexican
Helena Paz Garro,mexican
Daniar Chávez,mexican
Claudia L. Gutiérrez Piña,mexican
Francis Mestries,mexican
Alicia García Bergua,mexican
Elizabeth Cazessús,mexican
Alejandro Avilés,mexican
Manuel de J. Jiménez,mexican
Mario Calderón,mexican
Miguel Capistrán,mexican
Centro Mexicano de Escritores,mexican
Ángeles Mastretta,mexican
Martín Luis Guzmán,mexican
Raúl Rangel Frías,mexican
Irma Cecilia Eudave Robles,mexican
Héctor Pérez Martínez,mexican
Filadelfo Figueroa,mexican
Manuel Horta,mexican
Mario H. Aranda González,mexican
Luz García Alonso,mexican
Bernardo Ruiz,mexican
Oscar Monroy Rivera,mexican
Juan Rogelio López Ordaz,mexican
"Morales, Francisco",mexican
Perla Schwartz,mexican
Enrique Pino Castilla,mexican
Elda Peralta,mexican
"Rivera, Gerardo",mexican
Carlos Coffman Amador,mexican
Oscar Bonifaz Caballero,mexican
Luis E. Todd,mexican
Gabriela Mora,mexican
Joaquín Cárdenas N.,mexican
Elizabeth Coonrod Martinez,mexican
Alvaro Rodríguez Villarreal,mexican
B. Traven,mexican
Manuel García Jurado,mexican
Cristian Zermeño,mexican
Ricardo Espinosa,mexican
David Piñera Ramírez,mexican
Asunción Rangel,mexican
Enriqueta Ochoa,mexican
Jaime Sabines,mexican
Yolanda Zamora,mexican
Christopher Domínguez Michael,mexican
Gabriel Contreras,mexican
Gerardo Lima Molina,mexican
Rafael Olea Franco,mexican
Eulàlia Lledó Cunill,mexican
José Muñoz Cota,mexican
Mónica Mansour,mexican
José Alejandro Torres,mexican
Oguz Demiralp,mexican
Fabienne Bradu,mexican
José Ortiz Monasterio,mexican
Olivia Peralta,mexican
Ken Coates,mexican
Gastón García Cantú,mexican
Arturo Trejo Villafuerte,mexican
Salvador Elizondo,mexican
Samuel Gordon,mexican
"Lira, Miguel N.",mexican
Luis Beiro Alvarez,mexican
Magali Lara,mexican
Gabriel Rosenzweig,mexican
Roberto Bravo,mexican
Xorge del Campo,mexican
Edmundo Valadés,mexican
Eugenia Revueltas,mexican
Louis Panabière,mexican
Francisco Javier Estrada,mexican
Alfonso González,mexican
Carlos López,mexican
Nancy Sanciprián,mexican
Roberto Blanco Moheno,mexican
Laura E. Solís Chávez,mexican
Luis Barrón,mexican
María del Carmen Millán,mexican
F. Arturo Corzo Gamboa,mexican
"García G., Rodolfo",mexican
F. Ibarra de Anda,mexican
Pedro Antonio Martínez Gómez,mexican
Kay S. García,mexican
Sergio Pitol,mexican
Magdalena González Casillas,mexican
Juan de Dios Peza,mexican
Coral Aguirre,mexican
Geney Beltrán Félix,mexican
Armando González Torres,mexican
Alberto Vital Díaz,mexican
María de los Angeles Manzano A.,mexican
Serge Zaïtzeff,mexican
"Encuentro ""Lectura y Conversación de Escritores"" (2nd 1991 Saltillo, Coahuila, Mexico)",mexican
Darío Galaviz Quezada,mexican
Vicente Gómez Montero,mexican
Claude Fell,mexican
Herminio Chávez Guerrero,mexican
Luis Felipe Fabre,mexican
Gabriel Agraz García de Alba,mexican
Alvaro Ochoa,mexican
Bernardo Ortiz de Montellano,mexican
César Aller,mexican
Hernán Becerra Pino,mexican
José Garza,mexican
Marco Antonio Acosta,mexican
Arcadio Hidalgo,mexican
Amado Nervo,mexican
Angel Miquel,mexican
Joel Dávila Gutiérrez,mexican
Humberto Félix Berumen,mexican
Dolores Carbonell,mexican
Federico Campbell,mexican
José Joaquín Blanco,mexican
Noemí Atamoros de Pérez Martínez,mexican
Lourdes Franco,mexican
Susanna Regazzoni,mexican
Aurora M. Ocampo,mexican
Víctor Hugo Rascón Banda,mexican
"Torre, Gerardo de la",mexican
Alfredo Cardona Peña,mexican
Antonio Velasco Piña,mexican
Carmen de la Fuente,mexican
Josefina Lara Valdez,mexican
Ricardo Covarrubias,mexican
Margarita Urueta,mexican
Sergio Ramírez,mexican
Aureliano Tapia Méndez,mexican
Benjamín Valdivia,mexican
Fred Álvarez,mexican
Alonso Vidal,mexican
Zacarías Márquez Terrazas,mexican
"Collado, Gloria",mexican
Carlos Reyes Sahagún,mexican
Alvaro Ruiz Abreu,mexican
Rius,mexican
José Manuel Mateo,mexican
Homero Aridjis,mexican
Rogelio Arenas Monreal,mexican
Ilan Stavans,mexican
Federico Campbell,mexican
Sergio Galindo,mexican
Mariano Picón-Salas,mexican
Marie-Cécile Bénassy-Berling,mexican
Jorge Arturo Ojeda,mexican
Leopoldo Peniche Vallado,mexican
Raúl Arreola Cortés,mexican
"Sierra, Justo",mexican
Adolfo Castañón,mexican
Víctor Raúl Martínez Vásquez,mexican
Oscar Zorrilla,mexican
Alfonso Reyes,mexican
Will Wyatt,mexican
Roldán Peniche Barrera,mexican
Giuseppe Bellini,mexican
"Encuentro ""Lectura y Conversación de Escritores""",mexican
Francisco Durán,mexican
Guadalupe Dueñas,mexican
Beth Kurti Miller,mexican
Yadira Munguía,mexican
Ricardo López Méndez,mexican
Ramón Pimentel Aguilar,mexican
Manuel Toussaint,mexican
Octavio A. Hernández,mexican
Ramiro Villaseñor y Villaseñor,mexican
José Antonio Valera Saá,mexican
Gerardo Deniz,mexican
Grace Meade,mexican
Orso Arreola,mexican
Xavier Villaurrutia,mexican
Eduardo Turrent Rozas,mexican
Jaime Ramírez Garrido,mexican
Lucio Mendieta y Núñez,mexican
Marie-Cécile Bénassy-Berling,mexican
Pepe Bulnes,mexican
Luis González Obregón,mexican
Emiliano Pérez Cruz,mexican
Reneé Acosta,mexican
Miguel Capistrán,mexican
Lourdes Garza Quesada,mexican
Estela Leñero Franco,mexican
Sergio E. Fernández,mexican
Felícitos Leal,mexican
Reinhard Teichmann,mexican
Blanca Galván Romani,mexican
María del Carmen Ruiz Castañeda,mexican
Sara Velasco,mexican
Rodolfo Esparza Cárdenas,mexican
Diana Patricia Álvarez Valente,mexican
Víctor Barrera Enderle,mexican
Patricia Rosas Lopátegui,mexican
Beatriz Reyes Nevares,mexican
Manuel M. Flores,mexican
Beatriz Ituarte Verduzco,mexican
Estela Leñero Franco,mexican
Pedro Henríquez Ureña,mexican
Renato Leduc,mexican
Hildebrande Siller,mexican
"Romero, José Rubén",mexican
Ortega,mexican
Ignacio Piña Marquina,mexican
Alberto Quirozz,mexican
Miguel Báez,mexican
José Pablo Villalobos,mexican
José Ángel Bufill,mexican
Jorge Luis Herrera,mexican
Adriana Chávez Castro,mexican
Genaro Fernández Mac Gregor,mexican
Margarita García Luna O.,mexican
Esteban Hernández,mexican
Rafael Vargas,mexican
Reyna Barrera,mexican
Enrique Montes García,mexican
Fabienne Bradu,mexican
Johannes Beck,mexican
Julio Jiménez Rueda,mexican
Juan Domingo Argüelles,mexican
Lolita Bosch,mexican
Instituto Nacional de Bellas Artes (Mexico),mexican
Ernesto de la Torre Villar,mexican
Beth Ellen Jorgensen,mexican
Elena Arce,mexican
Elías Nandino,mexican
Manuel Gutiérrez Nájera,mexican
Ricardo Chávez Castañeda,mexican
Sergio Pitol,mexican
Héctor Alvarado Díaz,mexican
Paco Ignacio Taibo II,mexican
Anthony Stanton,mexican
Belem Clark de Lara,mexican
Fernando del Paso,mexican
Roberto Vallarino,mexican
Rogelio Cuéllar,mexican
Rafael Cardona Sandoval,mexican
José Miguel Romero de Solís,mexican
Celestino Gorostiza,mexican
Héctor Perea,mexican
Manuel José Othón,mexican
Juan García Ponce,mexican
Julieta Campos,mexican
"Campos, Rubén M.",mexican
Alicia de Jesús Giacinti Comte,mexican
Alejandro Soriano Vallès,mexican
"Zapata, Luis",mexican
Francisco Valdés Treviño,mexican
Jorge Pedraza Salinas,mexican
Irene Matthews,mexican
Fernando Curiel,mexican
Alfonso Taracena,mexican
Robert Brody,mexican
Francisco Padilla Beltrán,mexican
Bárbara Jacobs,mexican
José Fuentes Mares,mexican
Alejandro Soriano Vallès,mexican
Erna Pfeiffer,mexican
Eduardo Mateo Gambarte,mexican
Guadalupe Loaeza,mexican
Herminio Chávez Guerrero,mexican
Manuel Arce,mexican
Ricardo Bernal,mexican
Jesús Cañete Ochoa,mexican
Tita Valencia,mexican
Arturo Melgoza Paralizábal,mexican
Julio Scherer García,mexican
Christopher Domínguez Michael,mexican
Karla I. Herrera,mexican
Eligio Coronado,mexican
Juan Manuel Elizondo,mexican
Valeriano Bozal Fernández,mexican
Rafael Pérez Gay,mexican
Jim Cullen,mexican
Rogelio Cuéllar,mexican
Rodrigo Díaz Maldonado,mexican
Carlos Velasco Pérez,mexican
Nicole Girón,mexican
Rafael Vargas,mexican
Rafael Ramírez Heredia,mexican
Chiapas (Mexico). Biblioteca Pública Central del Estado. Sección Chiapas.,mexican
Yolanda Padilla Rangel,mexican
Miguel Ángel Sobrino Ordóñez,mexican
Ernesto Mejía Sánchez,mexican
León Felipe Barrón,mexican
