primera pregunta,segunda pregunta
A qué categoría pertenece la obra Regreso?,"Estas son las categorias a las que pertenece la obra: Viajes, Ficción. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Carlos Páez Vilaró?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Arte. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Contribución histórica a los bicentenarios de Bolivia?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Ariel?,"Estas son las categorias a las que pertenece la obra: Ensayo, Política, Sociología, Ficción, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no."
"A qué categoría pertenece la obra Cia Perú, 1985?","Estas son las categorias a las que pertenece la obra: Ficción, Política. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Los últimos días del Graf Spee?,"Estas son las categorias a las que pertenece la obra: Ficción, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Folklore duro?,"Estas son las categorias a las que pertenece la obra: Arte, Literatura / Estudios literarios, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra La Bachué de Rómulo Rozo?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Arte. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Cantos/Cuentos Colombianos?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra El robo de Proserpina y sueño de Endimión?,"Estas son las categorias a las que pertenece la obra: Teatro, Literatura / Estudios literarios, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra La pantalla letrada?,"Estas son las categorias a las que pertenece la obra: Arte, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra El general y el almirante?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Sensibilidad de frontera?,"Estas son las categorias a las que pertenece la obra: Comunicación, Sociología. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Lengua erotica?,"Estas son las categorias a las que pertenece la obra: Poesía, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra LA Vaca Roja?,"Estas son las categorias a las que pertenece la obra: Educación, Cuento, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Fragmentos de un diario?,"Estas son las categorias a las que pertenece la obra: Arte, Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Guillermo Chifflet?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Logoi?,Estas son las categorias a las que pertenece la obra: Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Vanguardistas?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Arte, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Chicha peruana?,Estas son las categorias a las que pertenece la obra: Sociología. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Autobiografia I?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Hegemonia e imperio?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La cacería del caballero?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Economía. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra El Chile que no queremos?,"Estas son las categorias a las que pertenece la obra: Política, Sociología. ¿Respondiste bien? Responde con sí o no."
"A qué categoría pertenece la obra Bolívar, libertador y enemigo N° 1 del Perú?",Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra Los imperios y el imperio?,"Estas son las categorias a las que pertenece la obra: Política, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Hombres y engranajes?,"Estas son las categorias a las que pertenece la obra: Tecnología, Filosofía. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Música prosaica (cuatro piezas sobre traducción)?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Genaro?,"Estas son las categorias a las que pertenece la obra: Comunicación, Biografía / Autobiografía / Memorias, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra El Papa Francisco?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Religión. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Arte del siglo XX?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La Sombra de Osiris?,"Estas son las categorias a las que pertenece la obra: Cuento, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Jorge Miño?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La otra isla?,Estas son las categorias a las que pertenece la obra: Novela. ¿Respondiste bien? Responde con sí o no.
A qué categoría pertenece la obra La Silla que Perdio una Pata?,"Estas son las categorias a las que pertenece la obra: Infantil / Juvenil, Educación. ¿Respondiste bien? Responde con sí o no."
"A qué categoría pertenece la obra Mérida, 100 años de cine, 1894-1994?","Estas son las categorias a las que pertenece la obra: Arte, Historia. ¿Respondiste bien? Responde con sí o no."
A qué categoría pertenece la obra Baba?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.
