sujeto,relacion,objeto
Roughing it in the bush,tiene_categoría,Women pioneers
Roughing it in the bush,tiene_categoría,Canadian Authors
Roughing it in the bush,tiene_categoría,Canadian Women authors
Roughing it in the bush,tiene_categoría,History and criticism
Roughing it in the bush,tiene_categoría,Criticism and interpretation
Roughing it in the bush,tiene_categoría,Women authors
"Maple leaves, 1894",tiene_categoría,Biography
"Maple leaves, 1894",tiene_categoría,Social life and customs
"Maple leaves, 1894",tiene_categoría,Description and travel
"Maple leaves, 1894",tiene_categoría,Canadian Authors
"Maple leaves, 1894",tiene_categoría,"Anecdotes, facetiae, satire"
"Maple leaves, 1894",tiene_categoría,Birds
"Maple leaves, 1894",tiene_categoría,History
"Maple leaves, 1894",tiene_categoría,Architecture
"Maple leaves, 1894",tiene_categoría,Canadian literature
"Maple leaves, 1894",tiene_categoría,Description
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,Social life and customs
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,Description and travel
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,Fiction
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,History
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,Christmas
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,Americans
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,American Fantasy fiction
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,Travel
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,American wit and humor
"The sketch-book of Geoffrey Crayon, Esq",tiene_categoría,"Fiction, short stories (single author)"
Tom Sawyer Abroad,tiene_categoría,Description and travel
Tom Sawyer Abroad,tiene_categoría,Fiction
Tom Sawyer Abroad,tiene_categoría,Americans
Tom Sawyer Abroad,tiene_categoría,Travel
Tom Sawyer Abroad,tiene_categoría,Balloon ascensions
Tom Sawyer Abroad,tiene_categoría,Tom Sawyer (Fictitious character)
Tom Sawyer Abroad,tiene_categoría,"Twain, mark, 1835-1910"
Tom Sawyer Abroad,tiene_categoría,American fiction (fictional works by one author)
Tom Sawyer Abroad,tiene_categoría,"Sawyer, tom (fictitious character), fiction"
Tom Sawyer Abroad,tiene_categoría,"Fiction, action & adventure"
"Tom Sawyer, Detective",tiene_categoría,Biography
"Tom Sawyer, Detective",tiene_categoría,American Authors
"Tom Sawyer, Detective",tiene_categoría,Fiction
"Tom Sawyer, Detective",tiene_categoría,Tom Sawyer (Fictitious character)
"Tom Sawyer, Detective",tiene_categoría,Mystery and detective stories
"Tom Sawyer, Detective",tiene_categoría,Detective and mystery stories
"Tom Sawyer, Detective",tiene_categoría,Boys
"Tom Sawyer, Detective",tiene_categoría,Humorous stories
"Tom Sawyer, Detective",tiene_categoría,Adventure
"Tom Sawyer, Detective",tiene_categoría,Literature
Civil Disobedience,tiene_categoría,Biography
Civil Disobedience,tiene_categoría,American Authors
Civil Disobedience,tiene_categoría,Résistance au gouvernement
Civil Disobedience,tiene_categoría,Resistance to Government
Civil Disobedience,tiene_categoría,Désobéissance civile
Civil Disobedience,tiene_categoría,[document]
Civil Disobedience,tiene_categoría,Abolitionnisme
Civil Disobedience,tiene_categoría,"Gouvernement, Résistance au"
Civil Disobedience,tiene_categoría,Document
Civil Disobedience,tiene_categoría,Civil disobedience
A Tramp Abroad,tiene_categoría,Biography
A Tramp Abroad,tiene_categoría,American Authors
A Tramp Abroad,tiene_categoría,Description and travel
A Tramp Abroad,tiene_categoría,Journeys
A Tramp Abroad,tiene_categoría,Fiction
A Tramp Abroad,tiene_categoría,History
A Tramp Abroad,tiene_categoría,Americans
A Tramp Abroad,tiene_categoría,Americans in fiction
A Tramp Abroad,tiene_categoría,Europe in fiction
A Tramp Abroad,tiene_categoría,Mountaineering
John Barleycorn,tiene_categoría,Biography
John Barleycorn,tiene_categoría,American Authors
John Barleycorn,tiene_categoría,Fiction
John Barleycorn,tiene_categoría,Alcoholics
John Barleycorn,tiene_categoría,Alcoholism
John Barleycorn,tiene_categoría,Classic Literature
John Barleycorn,tiene_categoría,Drinking of alcoholic beverages
John Barleycorn,tiene_categoría,Écrivains américains
John Barleycorn,tiene_categoría,"Authors, american"
John Barleycorn,tiene_categoría,"Alcoholics, biography"
Life on the Mississippi,tiene_categoría,American Authors
Life on the Mississippi,tiene_categoría,Open Library Staff Picks
Life on the Mississippi,tiene_categoría,Description and travel
Life on the Mississippi,tiene_categoría,Fiction
Life on the Mississippi,tiene_categoría,Travel
Life on the Mississippi,tiene_categoría,Classic Literature
Life on the Mississippi,tiene_categoría,Historical Fiction
Life on the Mississippi,tiene_categoría,Juvenile literature
Life on the Mississippi,tiene_categoría,River boats
Life on the Mississippi,tiene_categoría,River life
The pearl of Orr's Island,tiene_categoría,American Authors
The pearl of Orr's Island,tiene_categoría,Fiction
The pearl of Orr's Island,tiene_categoría,American fiction (fictional works by one author)
The pearl of Orr's Island,tiene_categoría,Islands
The pearl of Orr's Island,tiene_categoría,Girls
The pearl of Orr's Island,tiene_categoría,"Maine, fiction"
The pearl of Orr's Island,tiene_categoría,"Fiction, coming of age"
Their Wedding Journey,tiene_categoría,Biography
Their Wedding Journey,tiene_categoría,American Authors
Their Wedding Journey,tiene_categoría,Description and travel
Their Wedding Journey,tiene_categoría,Fiction
Their Wedding Journey,tiene_categoría,American fiction (fictional works by one author)
Their Wedding Journey,tiene_categoría,Classic Literature
Their Wedding Journey,tiene_categoría,Newlyweds
Their Wedding Journey,tiene_categoría,Honeymoons
Their Wedding Journey,tiene_categoría,Marriage
Their Wedding Journey,tiene_categoría,Lune de miel
The Maine Woods,tiene_categoría,Biography
The Maine Woods,tiene_categoría,American Authors
The Maine Woods,tiene_categoría,Description and travel
The Maine Woods,tiene_categoría,Journeys
The Maine Woods,tiene_categoría,History
The Maine Woods,tiene_categoría,Travel
The Maine Woods,tiene_categoría,"Piscataquis Co., Me. - Description and travel"
The Maine Woods,tiene_categoría,Nature
The Maine Woods,tiene_categoría,Nonfiction
The Maine Woods,tiene_categoría,Pictorial works
The works of Washington Irving,tiene_categoría,Biography
The works of Washington Irving,tiene_categoría,American Authors
The works of Washington Irving,tiene_categoría,Description and travel
The works of Washington Irving,tiene_categoría,History
The works of Washington Irving,tiene_categoría,Collected works
The works of Washington Irving,tiene_categoría,Discovery and exploration
The works of Washington Irving,tiene_categoría,"History, Comic, satirical"
The works of Washington Irving,tiene_categoría,Indians of North America
The works of Washington Irving,tiene_categoría,Collections
The works of Washington Irving,tiene_categoría,Biographies
The Autobiography of Alice B. Toklas,tiene_categoría,Biography
The Autobiography of Alice B. Toklas,tiene_categoría,American Authors
The Autobiography of Alice B. Toklas,tiene_categoría,Intellectual life
The Autobiography of Alice B. Toklas,tiene_categoría,History
The Autobiography of Alice B. Toklas,tiene_categoría,Americans
The Autobiography of Alice B. Toklas,tiene_categoría,Friends and associates
The Autobiography of Alice B. Toklas,tiene_categoría,Lesbian authors
The Autobiography of Alice B. Toklas,tiene_categoría,Lesbians
The Autobiography of Alice B. Toklas,tiene_categoría,"Toklas, Alice B."
The Autobiography of Alice B. Toklas,tiene_categoría,Women
Louisa May Alcott,tiene_categoría,Biography
Louisa May Alcott,tiene_categoría,American Authors
Louisa May Alcott,tiene_categoría,Social life and customs
Louisa May Alcott,tiene_categoría,Correspondence
Louisa May Alcott,tiene_categoría,19th century
Louisa May Alcott,tiene_categoría,Boys
Louisa May Alcott,tiene_categoría,"Authors, American"
Louisa May Alcott,tiene_categoría,Diaries
Louisa May Alcott,tiene_categoría,March family (Fictitious characters)
Louisa May Alcott,tiene_categoría,Short stories
Travels with Charley,tiene_categoría,Biography
Travels with Charley,tiene_categoría,American Authors
Travels with Charley,tiene_categoría,Description and travel
Travels with Charley,tiene_categoría,Journeys
Travels with Charley,tiene_categoría,Description
Travels with Charley,tiene_categoría,Travel
Travels with Charley,tiene_categoría,NOVELAS ESTADOUNIDENSES
Travels with Charley,tiene_categoría,Descriptions et voyages
Travels with Charley,tiene_categoría,United States
Travels with Charley,tiene_categoría,"United states, description and travel"
The Drawing of the Three,tiene_categoría,sociopaths
The Drawing of the Three,tiene_categoría,dissociative identity disorder
The Drawing of the Three,tiene_categoría,civil rights
The Drawing of the Three,tiene_categoría,heroin
The Drawing of the Three,tiene_categoría,cocaine
The Drawing of the Three,tiene_categoría,lobstrosities
The Drawing of the Three,tiene_categoría,tarot cards
The Drawing of the Three,tiene_categoría,horror fiction
The Drawing of the Three,tiene_categoría,American fantasy fiction
The Drawing of the Three,tiene_categoría,horror tales
Firestarter,tiene_categoría,Fiction
Firestarter,tiene_categoría,Genetic Engineering
Firestarter,tiene_categoría,suspense
Firestarter,tiene_categoría,Psychokinesis
Firestarter,tiene_categoría,Fire
Firestarter,tiene_categoría,Horror
Firestarter,tiene_categoría,Psychic ability
Firestarter,tiene_categoría,Science fiction
Firestarter,tiene_categoría,horror thriller
Firestarter,tiene_categoría,telekinesis
I Know Why the Caged Bird Sings,tiene_categoría,Homes and haunts
I Know Why the Caged Bird Sings,tiene_categoría,American Authors
I Know Why the Caged Bird Sings,tiene_categoría,Social life and customs
I Know Why the Caged Bird Sings,tiene_categoría,Intellectual life
I Know Why the Caged Bird Sings,tiene_categoría,"Biography,"
I Know Why the Caged Bird Sings,tiene_categoría,Entertainers
I Know Why the Caged Bird Sings,tiene_categoría,African American families
I Know Why the Caged Bird Sings,tiene_categoría,open_syllabus_project
I Know Why the Caged Bird Sings,tiene_categoría,African American authors
I Know Why the Caged Bird Sings,tiene_categoría,Biography & Autobiography
Bag of Bones,tiene_categoría,suspense
Bag of Bones,tiene_categoría,trials
Bag of Bones,tiene_categoría,genealogy
Bag of Bones,tiene_categoría,writer's block
Bag of Bones,tiene_categoría,summer houses
Bag of Bones,tiene_categoría,thrillers
Bag of Bones,tiene_categoría,Audiobooks
Bag of Bones,tiene_categoría,Custody of children
Bag of Bones,tiene_categoría,Trials (Custody of children)
Bag of Bones,tiene_categoría,Widowers
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Biography
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Homes and haunts
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,American Authors
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Social life and customs
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Solitude
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Natural history
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Wilderness areas
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Resistance to Government
"Walden, and on the Duty of Civil Disobedience",tiene_categoría,Civil disobedience
Italian journeys,tiene_categoría,Biography
Italian journeys,tiene_categoría,Homes and haunts
Italian journeys,tiene_categoría,American Authors
Italian journeys,tiene_categoría,Description and travel
Italian journeys,tiene_categoría,History
Italian journeys,tiene_categoría,Americans
Italian journeys,tiene_categoría,Travel
Italian journeys,tiene_categoría,Descriptions et voyages
Italian journeys,tiene_categoría,American Novelists
Italian journeys,tiene_categoría,"Italy, description and travel"
On Writing,tiene_categoría,writing
On Writing,tiene_categoría,Salem’s Lot
On Writing,tiene_categoría,science fiction
On Writing,tiene_categoría,Happy Stamps
On Writing,tiene_categoría,The Elements of Style
On Writing,tiene_categoría,drinking
On Writing,tiene_categoría,adverbs
On Writing,tiene_categoría,Horror tales--Authorship
On Writing,tiene_categoría,Locus Award winner
On Writing,tiene_categoría,Bram Stoker Award winner
The Mettle of the Pasture,tiene_categoría,American Authors
The Mettle of the Pasture,tiene_categoría,Fiction
The Mettle of the Pasture,tiene_categoría,"Fiction, historical, general"
Roads of destiny,tiene_categoría,American Authors
Roads of destiny,tiene_categoría,Fiction
Roads of destiny,tiene_categoría,American fiction (fictional works by one author)
Roads of destiny,tiene_categoría,Classic Literature
Roads of destiny,tiene_categoría,American Short stories
Roads of destiny,tiene_categoría,"Fiction, mystery & detective, collections & anthologies"
Black Boy,tiene_categoría,Biography
Black Boy,tiene_categoría,American Authors
Black Boy,tiene_categoría,Social life and customs
Black Boy,tiene_categoría,Écrivains américains
Black Boy,tiene_categoría,Biographies
Black Boy,tiene_categoría,African American authors
Black Boy,tiene_categoría,African Americans
Black Boy,tiene_categoría,Childhood and youth
Black Boy,tiene_categoría,Youth
Black Boy,tiene_categoría,Segregation
"Speak, Memory",tiene_categoría,Biography
"Speak, Memory",tiene_categoría,American Authors
"Speak, Memory",tiene_categoría,"Authors, american"
"Speak, Memory",tiene_categoría,Russian Authors
"Speak, Memory",tiene_categoría,Russian Short stories
"Speak, Memory",tiene_categoría,Continental european fiction (fictional works by one author)
"Speak, Memory",tiene_categoría,"Authors, russian"
"Speak, Memory",tiene_categoría,"Authors, russian--20th century--biography"
"Speak, Memory",tiene_categoría,"Authors, american--20th century--biography"
"Speak, Memory",tiene_categoría,Pg3476.n3 z5 1989
The Road,tiene_categoría,Biography
The Road,tiene_categoría,American Authors
The Road,tiene_categoría,Fiction
The Road,tiene_categoría,Travel
The Road,tiene_categoría,Classic Literature
The Road,tiene_categoría,"Authors, american"
The Road,tiene_categoría,Prisoners
The Road,tiene_categoría,Railroad travel
The Road,tiene_categoría,Tramps
The Road,tiene_categoría,Vagrancy
The Regulators,tiene_categoría,Fiction
The Regulators,tiene_categoría,horror tales
The Regulators,tiene_categoría,Horror
The Regulators,tiene_categoría,Audiobooks
The Regulators,tiene_categoría,science fiction
The Regulators,tiene_categoría,autistic children
The Regulators,tiene_categoría,fantasy
The Regulators,tiene_categoría,paranormal
The Regulators,tiene_categoría,Ohio -- Fiction
The Regulators,tiene_categoría,Homicide
Sailor on Horseback,tiene_categoría,Biography
Sailor on Horseback,tiene_categoría,American Authors
Sailor on Horseback,tiene_categoría,Fiction
Sailor on Horseback,tiene_categoría,History
Sailor on Horseback,tiene_categoría,"Authors, American"
Sailor on Horseback,tiene_categoría,American Novelists
Sailor on Horseback,tiene_categoría,"Novelists, American"
Sailor on Horseback,tiene_categoría,Sources
Sailor on Horseback,tiene_categoría,Archives
Sailor on Horseback,tiene_categoría,Authors
Literary Friends And Acquaintance,tiene_categoría,Biography
Literary Friends And Acquaintance,tiene_categoría,American Authors
Literary Friends And Acquaintance,tiene_categoría,History and criticism
Literary Friends And Acquaintance,tiene_categoría,"Authors, american"
Literary Friends And Acquaintance,tiene_categoría,Friends and associates
Literary Friends And Acquaintance,tiene_categoría,"American literature, history and criticism, 19th century"
Literary Friends And Acquaintance,tiene_categoría,American literature
Literary Friends And Acquaintance,tiene_categoría,Library
Literary Friends And Acquaintance,tiene_categoría,Littérature américaine
Literary Friends And Acquaintance,tiene_categoría,Histoire et critique
The Sheltering Sky,tiene_categoría,Social life and customs
The Sheltering Sky,tiene_categoría,Fiction
The Sheltering Sky,tiene_categoría,Americans
The Sheltering Sky,tiene_categoría,Travel
The Sheltering Sky,tiene_categoría,Couples
The Sheltering Sky,tiene_categoría,Marital conflict
The Sheltering Sky,tiene_categoría,Voyages and travels
The Sheltering Sky,tiene_categoría,Morocco -- Social life and customs -- Fiction
The Sheltering Sky,tiene_categoría,Romance fiction
The Sheltering Sky,tiene_categoría,"Morocco, fiction"
The Cruise of the Snark,tiene_categoría,Biography
The Cruise of the Snark,tiene_categoría,American Authors
The Cruise of the Snark,tiene_categoría,Description and travel
The Cruise of the Snark,tiene_categoría,History
The Cruise of the Snark,tiene_categoría,Americans
The Cruise of the Snark,tiene_categoría,Travel
The Cruise of the Snark,tiene_categoría,Nonfiction
The Cruise of the Snark,tiene_categoría,Biography & Autobiography
The Cruise of the Snark,tiene_categoría,Voyages and travels
The Cruise of the Snark,tiene_categoría,Ocean travel
My Mark Twain,tiene_categoría,Biography
My Mark Twain,tiene_categoría,American Authors
My Mark Twain,tiene_categoría,19th century
My Mark Twain,tiene_categoría,Criticism and interpretation
My Mark Twain,tiene_categoría,"Twain, mark, 1835-1910"
My Mark Twain,tiene_categoría,"Authors, american"
My Mark Twain,tiene_categoría,Friends and associates
My Mark Twain,tiene_categoría,"Howells, william dean, 1837-1920"
My Mark Twain,tiene_categoría,"Authors, biography"
My Mark Twain,tiene_categoría,Anecdotes
The Endless Steppe,tiene_categoría,Biography
The Endless Steppe,tiene_categoría,American Authors
The Endless Steppe,tiene_categoría,Social life and customs
The Endless Steppe,tiene_categoría,Description and travel
The Endless Steppe,tiene_categoría,History
The Endless Steppe,tiene_categoría,Juvenile literature
The Endless Steppe,tiene_categoría,"Authors, American"
The Endless Steppe,tiene_categoría,Childhood and youth
The Endless Steppe,tiene_categoría,Poles
The Endless Steppe,tiene_categoría,"Hautzig, esther rudomin"
Nathaniel Hawthorne and his wife,tiene_categoría,Biography
Nathaniel Hawthorne and his wife,tiene_categoría,American Authors
Nathaniel Hawthorne and his wife,tiene_categoría,Marriage
Nathaniel Hawthorne and his wife,tiene_categoría,American Novelists
Nathaniel Hawthorne and his wife,tiene_categoría,Authors' spouses
Nathaniel Hawthorne and his wife,tiene_categoría,Married people
Nathaniel Hawthorne and his wife,tiene_categoría,Wives
The egg and I,tiene_categoría,Biography
The egg and I,tiene_categoría,American Authors
The egg and I,tiene_categoría,Social life and customs
The egg and I,tiene_categoría,Chicken industry
The egg and I,tiene_categoría,Country life
The egg and I,tiene_categoría,Farm life
The egg and I,tiene_categoría,Farmers
The egg and I,tiene_categoría,Wit and humor
The egg and I,tiene_categoría,Women in agriculture
The egg and I,tiene_categoría,Humor
Fennel and Rue,tiene_categoría,American Authors
Fennel and Rue,tiene_categoría,Fiction
Fennel and Rue,tiene_categoría,Classic Literature
Fennel and Rue,tiene_categoría,Library
Fennel and Rue,tiene_categoría,Personal copy
Fennel and Rue,tiene_categoría,Mothers and sons
Fennel and Rue,tiene_categoría,Man-woman relationships
Fennel and Rue,tiene_categoría,Dysfunctional families
Fennel and Rue,tiene_categoría,American fiction
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,Biography
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,Homes and haunts
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,American Authors
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,Social life and customs
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,Description and travel
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,Intellectual life
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,Diaries
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,Descriptions et voyages
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,"Brook Farm Phalanx (West Roxbury, Boston, Mass.)"
Passages from the American note-books of Nathaniel Hawthorne,tiene_categoría,"Notebooks, sketchbooks"
The writings of Henry David Thoreau,tiene_categoría,American Authors
The writings of Henry David Thoreau,tiene_categoría,Solitude
The writings of Henry David Thoreau,tiene_categoría,Natural history
The writings of Henry David Thoreau,tiene_categoría,Correspondence
The writings of Henry David Thoreau,tiene_categoría,Resistance to Government
The writings of Henry David Thoreau,tiene_categoría,Civil disobedience
The writings of Henry David Thoreau,tiene_categoría,Ensayos estadounidenses
The writings of Henry David Thoreau,tiene_categoría,English prose literature
The writings of Henry David Thoreau,tiene_categoría,Resistencia civil
The writings of Henry David Thoreau,tiene_categoría,Política y gobierno
Journal,tiene_categoría,American Authors
Journal,tiene_categoría,Natural history
Journal,tiene_categoría,Birds
Journal,tiene_categoría,Diaries
Journal,tiene_categoría,Landscapes
Journal,tiene_categoría,Landscape
Journal,tiene_categoría,Naturalists
Journal,tiene_categoría,Behavior
Journal,tiene_categoría,Journaux intimes
Journal,tiene_categoría,Journal intime
The Cruise of the Dazzler,tiene_categoría,Biography
The Cruise of the Dazzler,tiene_categoría,American Authors
The Cruise of the Dazzler,tiene_categoría,Description and travel
The Cruise of the Dazzler,tiene_categoría,Travel
The Cruise of the Dazzler,tiene_categoría,Ocean travel
The Cruise of the Dazzler,tiene_categoría,pirates
The Cruise of the Dazzler,tiene_categoría,sailors
The Cruise of the Dazzler,tiene_categoría,teenagers
The Cruise of the Dazzler,tiene_categoría,"London, Jack,"
The Cruise of the Dazzler,tiene_categoría,Children's fiction
Henry James,tiene_categoría,Biography
Henry James,tiene_categoría,American Authors
Henry James,tiene_categoría,Americans
Henry James,tiene_categoría,American Novelists
Henry James,tiene_categoría,Knowledge
Henry James,tiene_categoría,Dramatic works
Henry James,tiene_categoría,Performing arts
Henry James,tiene_categoría,Performing arts in literature
Henry James,tiene_categoría,Technique
Henry James,tiene_categoría,Drama
Little rivers,tiene_categoría,American literature
Little rivers,tiene_categoría,Fishing
Little rivers,tiene_categoría,Outdoor life
Little rivers,tiene_categoría,Rivers
Little rivers,tiene_categoría,Plein air
Little rivers,tiene_categoría,Cours d'eau
Little rivers,tiene_categoría,Pêche sportive
Little rivers,tiene_categoría,Essays (single author)
Little rivers,tiene_categoría,Bookbinding
Little rivers,tiene_categoría,Specimens
The Crayon miscellany,tiene_categoría,Homes and haunts
The Crayon miscellany,tiene_categoría,American Authors
The Crayon miscellany,tiene_categoría,Intellectual life
The Crayon miscellany,tiene_categoría,History
The Crayon miscellany,tiene_categoría,Indians of North America
The Crayon miscellany,tiene_categoría,Abbotsford (Scotland)
The Crayon miscellany,tiene_categoría,Legends
The Crayon miscellany,tiene_categoría,Tales
The Crayon miscellany,tiene_categoría,Prairies. [from old catalog]
The Crayon miscellany,tiene_categoría,Abbeys
"84, Charing Cross Road",tiene_categoría,Biography
"84, Charing Cross Road",tiene_categoría,American Authors
"84, Charing Cross Road",tiene_categoría,Correspondence
"84, Charing Cross Road",tiene_categoría,Description and travel
"84, Charing Cross Road",tiene_categoría,Travel
"84, Charing Cross Road",tiene_categoría,Booksellers and bookselling
"84, Charing Cross Road",tiene_categoría,Briefwisseling
"84, Charing Cross Road",tiene_categoría,Antiquariaten
"84, Charing Cross Road",tiene_categoría,"Correspondence, reminiscences"
"84, Charing Cross Road",tiene_categoría,Marks & Co
Invincible Louisa,tiene_categoría,Biography
Invincible Louisa,tiene_categoría,American Authors
Invincible Louisa,tiene_categoría,Juvenile literature
Invincible Louisa,tiene_categoría,"Authors, American"
Invincible Louisa,tiene_categoría,American Women authors
Invincible Louisa,tiene_categoría,"Women authors, American"
Invincible Louisa,tiene_categoría,Newbery Medal
Invincible Louisa,tiene_categoría,True Story
Invincible Louisa,tiene_categoría,Stories
Invincible Louisa,tiene_categoría,Scholastic Books
"Julia Ward Howe, 1819-1910",tiene_categoría,Biography
"Julia Ward Howe, 1819-1910",tiene_categoría,American Authors
"Julia Ward Howe, 1819-1910",tiene_categoría,American Women authors
"Julia Ward Howe, 1819-1910",tiene_categoría,Feminists
"Julia Ward Howe, 1819-1910",tiene_categoría,American Poets
"Julia Ward Howe, 1819-1910",tiene_categoría,Women poets
Notes from a small island,tiene_categoría,American Authors
Notes from a small island,tiene_categoría,Description and travel
Notes from a small island,tiene_categoría,Journeys
Notes from a small island,tiene_categoría,Travel
Notes from a small island,tiene_categoría,Nonfiction
Notes from a small island,tiene_categoría,Voyages
Notes from a small island,tiene_categoría,England
Notes from a small island,tiene_categoría,20th century
Notes from a small island,tiene_categoría,Reisebericht
Notes from a small island,tiene_categoría,Civilization
Rollo at play,tiene_categoría,American Authors
Rollo at play,tiene_categoría,Boys
Rollo at play,tiene_categoría,Juvenile literature
Rollo at play,tiene_categoría,"Children's stories, American"
Rollo at play,tiene_categoría,Play
Rollo at play,tiene_categoría,Conduct of life
Rollo at play,tiene_categoría,Children's stories
Rollo at play,tiene_categoría,Children
Rollo at play,tiene_categoría,Juvenile fiction
Rollo at play,tiene_categoría,Thought and thinking
The Great Railway Bazaar,tiene_categoría,Open Library Staff Picks
The Great Railway Bazaar,tiene_categoría,Description and travel
The Great Railway Bazaar,tiene_categoría,Journeys
The Great Railway Bazaar,tiene_categoría,Travel
The Great Railway Bazaar,tiene_categoría,Descriptions et voyages
The Great Railway Bazaar,tiene_categoría,Chemins de fer
The Great Railway Bazaar,tiene_categoría,Railroads
The Great Railway Bazaar,tiene_categoría,Personal narratives
The Great Railway Bazaar,tiene_categoría,"Theroux, Paul"
The Great Railway Bazaar,tiene_categoría,"Asia, description and travel"
Sentiero dei nidi di ragno,tiene_categoría,Fiction
Sentiero dei nidi di ragno,tiene_categoría,"Fiction, coming of age"
Sentiero dei nidi di ragno,tiene_categoría,"Fiction, historical, general"
Sentiero dei nidi di ragno,tiene_categoría,Continental european fiction (fictional works by one author)
Sentiero dei nidi di ragno,tiene_categoría,"World War, 1939-1945"
Sentiero dei nidi di ragno,tiene_categoría,"World war, 1939-1945, fiction"
Sentiero dei nidi di ragno,tiene_categoría,"Italy, fiction"
Sentiero dei nidi di ragno,tiene_categoría,"Fiction, war & military"
Sentiero dei nidi di ragno,tiene_categoría,Guerrillas
Sentiero dei nidi di ragno,tiene_categoría,Underground movements
Rollo in Paris,tiene_categoría,Description and travel
Rollo in Paris,tiene_categoría,Fiction
Rollo in Paris,tiene_categoría,Juvenile literature
Rollo in Paris,tiene_categoría,Conduct of life
Rollo in Paris,tiene_categoría,Children
Rollo in Paris,tiene_categoría,Juvenile fiction
Rollo in Paris,tiene_categoría,Children's literature
Rollo in Paris,tiene_categoría,In literature
Rollo in Paris,tiene_categoría,Responsibility
Rollo in Paris,tiene_categoría,Early works to 1800
Dust tracks on a road,tiene_categoría,Biography
Dust tracks on a road,tiene_categoría,American Authors
Dust tracks on a road,tiene_categoría,Social life and customs
Dust tracks on a road,tiene_categoría,African American authors
Dust tracks on a road,tiene_categoría,African Americans
Dust tracks on a road,tiene_categoría,Folklorists
Dust tracks on a road,tiene_categoría,African American women
Dust tracks on a road,tiene_categoría,Harlem Renaissance
