Obra,Relación,Tema
Guía de pecadoras,tiene_como_tema,Mexican fiction -- 20th century -- History and criticism.
Textos costeños,tiene_como_tema,General
"Leona Vicario, la insurgente",tiene_como_tema,"Mexico -- History -- Wars of Independence, 1810-1821."
"México, ciudad futura",tiene_como_tema,Lakes
A favor de España,tiene_como_tema,Regionalism
La gestión de los servicios públicos locales,tiene_como_tema,Local government
Literatura y sociedad en Puerto Rico,tiene_como_tema,Puerto Rican literature
Asamblea,tiene_como_tema,Politics and government
Callejón oscuro?,tiene_como_tema,Crimes against
Los diablos del petróleo,tiene_como_tema,Mexico -- Politics and government -- 1970-
El vuelo del torogoz,tiene_como_tema,Biography
Antonio Benítez Rojo,tiene_como_tema,"Authors, biography"
Rescate del tiempo,tiene_como_tema,Interviews.
Nicolás Guillén y la generación poética española de 1927,tiene_como_tema,"Guillén, Nicolás, -- 1902- -- Friends and associates."
Once autobiografías precoces y un solo proyecto,tiene_como_tema,Biography
Belona dea orbi,tiene_como_tema,World politics.
Nina Y La Estrella/girl And The Starfish (Gongoli),tiene_como_tema,Social Issues - General
La poética del pensar y la generación de los ochenta,tiene_como_tema,Modern Poetry
Ensayos sobre filosofía en la historia del Centro de Estudios Filosóficos de la Universidad Nacional de México,tiene_como_tema,Mexican Philosophy
El método para transformar la práctica docente,tiene_como_tema,Educational innovations
Miradas subversivas,tiene_como_tema,"Fernández, Sergio E. -- Travel -- Italy -- Venice."
No habrá final feliz,tiene_como_tema,Fiction
Memoria Rulfo,tiene_como_tema,"Rulfo, Juan -- Childhood and youth."
Los Libros No Fueron Siempre Asi / Books Weren't Always Like This (Las Cosas No Fueron Siempre Asi / Things Were Not Always This Way),tiene_como_tema,School & Education
Sor Juana Inés de la Cruz,tiene_como_tema,"Juana Inés de la Cruz, Sister, 1651-1695."
La Casa De La Iaguna,tiene_como_tema,Familia -- Puerto Rico -- Ficción.
Principios y finales,tiene_como_tema,Knowledge
Pancho Villa,tiene_como_tema,Mexico
Gabriel Orozco,tiene_como_tema,Exhibitions
El amante japonés,tiene_como_tema,Amor -- Ficción.
El oro de los siglos,tiene_como_tema,Poetry
Antología de la poesía cósmica chilena,tiene_como_tema,Chilean poetry -- 20th century.
Hitler para masoquistas,tiene_como_tema,Germany -- History -- 1933-1945 -- Caricatures and cartoons.
"El "" Códice florentino"" y la ""Historia general"" de Sahagún",tiene_como_tema,"Sahagún, Bernardino de, d. 1590"
"El "" Códice florentino"" y la ""Historia general"" de Sahagún",tiene_como_tema,"Mexico -- History -- Conquest, 1519-1540"
El último sol,tiene_como_tema,Mayas -- Poetry.
El maniático hombre de la bacinica,tiene_como_tema,Fantasy
"Victoriano Salado Alvarez, crítico de Federico Gamboa",tiene_como_tema,"Salado Alvarez, Victoriano, 1867-1931."
Los años con Laura Díaz (Biblioteca Carlos Fuentes),tiene_como_tema,Historical - General
La novela hondureña,tiene_como_tema,History and criticism
La Marimbula (Instrumentos de la Musica Afrocubana),tiene_como_tema,Mbira
"Homenaje a la ciudad de Gracias a Dios en el CD aniversario de su fundación, 1536-1936",tiene_como_tema,"Authors, Honduran."
La poetisa de los tristes destinos,tiene_como_tema,"Poets, Argentine -- 20th century -- Biography."
La décima popular,tiene_como_tema,Cuban poetry.
Palabras cruzadas,tiene_como_tema,Políticos
Los Estados Unidos y Trujillo--año 1947,tiene_como_tema,Dominican Republic -- Politics and government -- 1930-1961 -- Sources.
Biografias de mexicanos distinguidos,tiene_como_tema,Mexico -- Biography
Una carta de Mónica (Alfaguara Infantil y Juvenil),tiene_como_tema,People & Places - Central & South America
Juan Ruiz de Alarcón,tiene_como_tema,"Ruiz de Alarcón, Juan, -- 1580?-1639 -- Criticism and interpretation."
La velada del helecho,tiene_como_tema,Fiction - General
El barco de la ilusión,tiene_como_tema,"Valdés, Germán, -- 1915- -- Ficción."
Paseos por las espadañas de Sevilla,tiene_como_tema,Bell towers
"Personas que han tenido a su cargo la Secretaría de Relaciones Exteriores, desde 1821 hasta 1924",tiene_como_tema,Mexico. Secretaría de Relaciones Exteriores
"Veragua, la tierra de Colón y Urracá",tiene_como_tema,Veraguas (Panama : Province) -- History
Con el permiso de ustedes,tiene_como_tema,Baladas en español
Despertador eucarístico y dulce convit,tiene_como_tema,Catholic Church -- Doctrines.
Ortega y Gasset y los orígenes de la transición democrática,tiene_como_tema,Spain -- History -- 20th century.
El régimen de autorizaciones en los delitos relativos a la protección del medio ambiente y ordenación del territorio,tiene_como_tema,Administrative responsibility -- Spain.
Generaciones de la literatura Mexicana 1950-2000,tiene_como_tema,Mexican Authors
El pie de mi padre,tiene_como_tema,Untranslated Fiction - Spanish
El papel de la afinación musical en la historia de la ciencia,tiene_como_tema,Acoustics and physics
The Mexican lithograph in the 19th century,tiene_como_tema,Mexican Lithography
Las siete cabritas,tiene_como_tema,Literature & Fiction
"Antología de escritores sancristobalenses, 1900-2000",tiene_como_tema,Dominican literature -- Dominican Republic -- San Cristóbal (Province)
Los poetas van al cine,tiene_como_tema,Mexican poetry
Represión y tratamiento penitenciario de criminales,tiene_como_tema,Crime and criminals -- Mexico.
Juventud rural a ras de tierra,tiene_como_tema,Rural youth
Solo tu sombra fatal (Ficcionario) (Ficcionario),tiene_como_tema,Spanish: Adult Fiction
Literatura fantástica en Puerto Rico (siglo XIX),tiene_como_tema,Biography
Anticlericalismo y literatura en el siglo XIX,tiene_como_tema,Spanish literature -- 19th century -- History and criticism.
Canek (Contemporánea),tiene_como_tema,Literary
"Campeche, o, Los diablejos de la melancolía",tiene_como_tema,Artists -- Puerto Rico -- Biography.
Discursos leídos en la recepción pública,tiene_como_tema,Mexico -- Foreign relations -- Cuba
Antología del personaje negro en la cuentistica de escritorias centroamericanas,tiene_como_tema,Novela centroamericana -- Siglo XX
"Trampa Sagrada, La",tiene_como_tema,General
"Notas de prensa, 1961-1984",tiene_como_tema,Fiction
P̂or qué América Latina?,tiene_como_tema,Latin America.
Autobiografía y epistolarios de amor,tiene_como_tema,"Authors, Spanish -- 19th century -- Biography"
La legitimidad como desafío democrático,tiene_como_tema,Democracy
Formación humanística del bibliotecólogo,tiene_como_tema,Library education -- Mexico.
El lobo y el espía,tiene_como_tema,United States. Central Intelligence Agency
Tan de usted,tiene_como_tema,"Authors, Mexican -- 20th century -- Correspondence."
"Isletas, esperanzas y frustraciones",tiene_como_tema,Employee ownership
Discursos léidos en la recepción pública del Dr. Juan J. Remos y Rubio el día 16 de mayo de 1949,tiene_como_tema,Cuban literature
Don Juan Lindo,tiene_como_tema,Honduras -- Politics and government -- To 1838.
Bibliografía general de Jalisco,tiene_como_tema,Jalisco (Mexico) -- Bibliography.
Impacto de la tecnología en el periodismo,tiene_como_tema,Technological innovations
Un civil en busca del poder,tiene_como_tema,Politics and government
El derecho precolonial,tiene_como_tema,Aztec law.
Diversidad biológica del Diquís II,tiene_como_tema,Biodiversity
Ley de tratados,tiene_como_tema,Mexico -- Foreign relations -- Treaties.
Vulnerabilidad demográfica,tiene_como_tema,Population
Cronicas,tiene_como_tema,1865-1918
La transición del liderazgo político dominicano,tiene_como_tema,Political leadership
Los derechos humanos en Guatemala,tiene_como_tema,Human rights -- Guatemala.
Hostosiana,tiene_como_tema,"Hostos, Eugenio María de, 1839-1903."
El misterio del golpe de 1963,tiene_como_tema,Foreign relations
Autonomía universitaria y financiamiento,tiene_como_tema,Right to education
Hatuey Decamps Jiménez,tiene_como_tema,Partido Revolucionario Dominicano
Poesía y conocimiento,tiene_como_tema,Spanish American poetry
El Romanticismo en la América hispánica,tiene_como_tema,History and criticism
Latino America y otros ensayos,tiene_como_tema,Latin America.
Cuentos de la Biblia,tiene_como_tema,Religion - Biblical Studies
El libertador Simón Bolívar,tiene_como_tema,Radio scripts.
Por medio de la presente,tiene_como_tema,Letters.
Cedulario novogalaico,tiene_como_tema,Guadalajara (Mexico : Intendancy) -- History -- Sources -- Bibliography.
El Pais De Las Palabras/ World of Words,tiene_como_tema,Paris (France)
Color en Mexico (Mexican Color),tiene_como_tema,House & Home
Crónica del asombro 2,tiene_como_tema,Yucatán Peninsula
Tauromagias,tiene_como_tema,Bullfights.
Estructura y funciones de la banca en los países socialistas,tiene_como_tema,Banks and banking -- Communist countries.
Las cartas sobre la mesa,tiene_como_tema,"Borges, Jorge Luis, -- 1899-1986 -- Friends and associates"
Los gobernadores de Puerto Rico,tiene_como_tema,Puerto Rico -- History.
Enrique Gómez Carrillo,tiene_como_tema,"Gómez Carrillo, Enrique, -- 1873-1927"
El derecho agrario en México,tiene_como_tema,Law and legislation
Los Municipios de Hidalgo,tiene_como_tema,Spanish
La liberación étnica cubana,tiene_como_tema,Cuba -- Race relations.
El código de Maceo,tiene_como_tema,Political and social views
Al-Andalus,tiene_como_tema,711-1516
Lecturas y diversiones,tiene_como_tema,"Pacheco, José Emilio -- Criticism and interpretation"
La poesía de Pablo García Baena,tiene_como_tema,Spanish poetry
La justicia tributaria en México,tiene_como_tema,Tax courts
La Revolución y las letras,tiene_como_tema,Mexico -- History -- 1910-1946.
"Estudios, notas, efigies cubanas",tiene_como_tema,Cuba -- Biography.
Todas las familias felices,tiene_como_tema,Fiction
"Señor de los tristes, sobre escritores y escritura",tiene_como_tema,Latin American literature -- History and criticism.
El pleito Ovando-Tapia,tiene_como_tema,"Ovando, Nicolás de, -- ca. 1451-1511."
Quien Cuida Al Cocodrilo,tiene_como_tema,Spanish: Grades 2-3
Crónica oficial de las fiestas del primer centenario de la independencia de México,tiene_como_tema,"Mexico -- History -- Wars of Independence, 1810-1821."
Otras sílabas sobre Gonzalo Rojas,tiene_como_tema,"Rojas, Gonzalo, 1917- -- Criticism and interpretation."
La medicina verde,tiene_como_tema,Botánica médica -- México -- Caricaturas
El sueño de las fronteras,tiene_como_tema,Latin American Poets
En las entrañas del monstruo,tiene_como_tema,United States -- Civilization -- 1865-1918.
Comunicación por fibras ópticas,tiene_como_tema,Fiber optics.
José María Morelos,tiene_como_tema,Historia
El contenido de la felicidad,tiene_como_tema,Happiness.
Visión histórica de la frontera norte de México,tiene_como_tema,"Southwest, New -- History."
Cuentistas de la Revolución Mexicana,tiene_como_tema,Mexican fiction -- 20th century -- Bio-bibliography.
Rufino Tamayo en las colecciones del INBA,tiene_como_tema,Art
Las genealogías,tiene_como_tema,"Glantz, Margo -- Family."
Amores Y Desamores (Colección Aura),tiene_como_tema,Spanish: Adult Nonfiction
"Hasta no verte, Jesus mio! / Here's to you, Jesusa!",tiene_como_tema,Fiction
Hombres de papel,tiene_como_tema,Materiales en español
México en guerra,tiene_como_tema,"Propaganda, German -- Mexico -- History -- 20th century."
Las Atlántidas,tiene_como_tema,Atlantis (Legendary place)
Reglamento de la Facultad de jurisprudencia y ciencias politicas y sociales,tiene_como_tema,Guatemala (Guatemala). Universidad de San Carlos. Facultad de Ciencias Jurídicas y Sociales
Nombres para una espada,tiene_como_tema,Central American poetry.
Analizando el análisis,tiene_como_tema,Derecho civil
La técnica de las cartas de crédito internacionales,tiene_como_tema,Letters of credit.
Cartas De Juana Borrero/letters of Juana Borrero,tiene_como_tema,Biography & Autobiography
Rainbow Tulip,tiene_como_tema,Children: Kindergarten
El retorno de los galeones y atros ensayos,tiene_como_tema,"Literature, Comparative -- Spanish American and Spanish"
Las industrias de Atenas,tiene_como_tema,Athens (Greece) -- Industries.
Correspondencia del exilio,tiene_como_tema,Guatemalan Authors
Noticias estadisticas de Sonora y Sinaloa,tiene_como_tema,Sonora (Mexico : State) -- Statistics.
Miguel Will,tiene_como_tema,Drama
Trujillo El Tiranicidio De 1961,tiene_como_tema,Dominican Republic -- Politics and government -- 1961-
Sed de mal,tiene_como_tema,Youth
Piedra Labrada,tiene_como_tema,Stele (Archaeology)
Pecar como Dios manda,tiene_como_tema,Sex customs
Los Pareceres de don Juan de Padilla y Diego de León Pinelo acerca de la enseñanza y buen tratamiento de los indios,tiene_como_tema,"Padilla, Juan de, 17th cent."
Ciencia y navegación a fines del siglo XVII y principios del siglo XVIII,tiene_como_tema,Navigation -- History -- 17th century.
"Andalucía, sueño y realidad",tiene_como_tema,Andalusia (Spain)
El Libro rojo del presidente Pinochet y C.I.A.,tiene_como_tema,Chile -- Politics and government -- 1973-1988.
Lezama revisitado,tiene_como_tema,Criticism and interpretation
"Avto sacramental del divino narciso, por alegorias ..",tiene_como_tema,Mexican drama -- 17th century
"Haiti, fuego sagrado",tiene_como_tema,Vodou
La oreja de Dios,tiene_como_tema,Journalists -- Latin America -- Interviews.
Páginas de la historia,tiene_como_tema,Theater
Índice de la revista Exilio (1965-1973),tiene_como_tema,Cubans
El lugar de Sender,tiene_como_tema,Criticism and interpretation
Cuba,tiene_como_tema,Cuba -- Social conditions.
La formación política,tiene_como_tema,Politicians -- Training of -- Mexico
El gran México,tiene_como_tema,Mexican American literature (Spanish)
Hombres maravillosos?,tiene_como_tema,Men -- Biography.
"Gregorio Mendel, 1822-1972",tiene_como_tema,Genetics -- Congresses.
La experiencia italiana de Miguel Ángel Asturias (1959-1973),tiene_como_tema,Correspondence
Manual educativo y organizacional para los pescadores artesanales,tiene_como_tema,"Leadership -- Handbooks, manuals, etc."
El Mundo antiguo,tiene_como_tema,"Civilization, Ancient"
El tema de la dictadura en la narrativa del mundo hispánico,tiene_como_tema,Dictatorship in literature
La mirada en el espejo,tiene_como_tema,Literature -- History and criticism.
"Panamá, letras de hoy",tiene_como_tema,Panamanian literature -- 21st century -- History and criticism
"Labyrinth of Solitude, the",tiene_como_tema,General
Olvídame,tiene_como_tema,Nuns -- Fiction.
"Fray Rafael José Verger y Suau, el obispo constructor",tiene_como_tema,Catholic Church -- Mexico -- Bishops -- Biography.
Alfonso Reyes y los territorios del arte,tiene_como_tema,Art
Para Salvar el Mundo / Saving the World,tiene_como_tema,Hispanic American Novel And Short Story
"Cuba, les étapes d'une libération",tiene_como_tema,"Salomon, Noël -- Congresses"
La casa de la Ciudad de México en el siglo XX,tiene_como_tema,History
"Francisco Zarco, héroe del periodismo mexicano",tiene_como_tema,Statesmen -- Mexico -- Biography
La memoria hechizada,tiene_como_tema,Cuban fiction -- Women authors.
El Barrio San Judas,tiene_como_tema,History
Quetzalcoatl no era del PRI,tiene_como_tema,Partido Revolucionario Institucional -- Caricaturas.
Introduccion a la Informatica,tiene_como_tema,Computers
Otra mascara de Esperanza,tiene_como_tema,Asesinato
Enciclopedia de las artes plásticas dominicanas,tiene_como_tema,"Art, Dominican -- 20th century -- Dictionaries."
Territorio y región,tiene_como_tema,Management
La Vida cotidiana dominicana,tiene_como_tema,Dominican Republic -- Politics and government -- 1930-1961 -- Sources.
Canto De Amor,tiene_como_tema,Poetry
Francisco I. Madero y la verdad,tiene_como_tema,"Madero, Francisco I., -- 1873-1913"
Los defensores del idioma en Puerto Rico,tiene_como_tema,Puerto Rico -- Languages.
Ramón Amaya-Amador,tiene_como_tema,"Authors, Honduran -- 20th century -- Biography."
Cambio y transformación universitaria,tiene_como_tema,Educational change
Arte dominicano contemporaneo,tiene_como_tema,Modern Art
El bienamado de Washington,tiene_como_tema,Politics and government
Satisfacción a la Real Academia Española y defensa del vocabulario puesto á las obras de Lope de Rueda,tiene_como_tema,"Bonilla y San Martín, Adolfo, 1875-1926."
"Semiótica, cine y comprensión crítica",tiene_como_tema,Semiotics
"La fotografia del hombre colgado, Laura, Historias al margen / The Photo of the Hanging Man , Laura, Margin Histories (La Casa Ciega/the Blind House)",tiene_como_tema,Spanish: Adult Fiction
Maria Felix Todas mis guerras,tiene_como_tema,Reading materials
A Movie in My Pillow/Una pelicula en mi almohada,tiene_como_tema,Salvadoran poetry
Cuentos mágicos Océano,tiene_como_tema,General
El sector laboral hondureño durante la reforma liberal,tiene_como_tema,Labor -- Honduras.
Todo Rius/ All Rius,tiene_como_tema,Form - Cartoons & Comics
Más brincos por la vida,tiene_como_tema,Dominican Authors
Tocar el fuego,tiene_como_tema,Literature - Classics / Criticism
Antiguas tarjetas postales dominicanas,tiene_como_tema,History
"Antonio José de Irisarri, diplomático de América",tiene_como_tema,"Irisarri, Antonio José de, -- 1786-1868."
Rubén García Benavides,tiene_como_tema,Mexican Painting
3D Studio Max 3 - Manual Imprescindible (Manuales Imprescindibles),tiene_como_tema,Programming - General
"Vasconcelos, el hombre multifacético",tiene_como_tema,Educators -- Mexico -- Biography
Vida de Silvestre de Balboa y Troya,tiene_como_tema,Biography
Premio FIL de Literatura en Lenguas Romances 20 años / prólogo de Vicente Quirarte,tiene_como_tema,Bio-bibliography
Diccionario de escritores granadinos (siglos VIII-XX),tiene_como_tema,"Authors, Spanish -- Spain -- Granada (Province) -- Biography -- Dictionaries."
El Pergamino de la Seduccion,tiene_como_tema,Spanish (Language) Contemporary Fiction
Martí y México,tiene_como_tema,Mexico -- Intellectual life -- 19th century
Album histórico gráfico,tiene_como_tema,Biography
"Catálogo de entierros de San Luis Tlatilco, México",tiene_como_tema,Indians of Mexico -- Funeral customs and rites.
Diccionario didáctico avanzado. Primaria.,tiene_como_tema,Language readers
Cuba en Angola,tiene_como_tema,Angola -- Relations -- Cuba.
Un gobernante digno de su pueblo,tiene_como_tema,Spain -- Politics and government
Satevó,tiene_como_tema,Jesuits -- Mexico -- Satevó -- History.
"Humor, ironía y lectura",tiene_como_tema,Spanish American fiction -- 20th century -- History and criticism.
Los misterios de la Habana,tiene_como_tema,Short stories
Valor económico y social de las razas indígenas de México,tiene_como_tema,Mexico. Departamento de asunto indígenas.
Los libros de mi vida,tiene_como_tema,Books and reading
Diccionario de las letras dominicanas,tiene_como_tema,Bio-bibliography
Poemas de Jose Jacinto Milanes,tiene_como_tema,Literary
Diario de nuestro viaje a los Estados Unidos,tiene_como_tema,"United States -- Politics and government -- War with Mexico, 1845-1848."
Pensar la vivienda,tiene_como_tema,Housing policy -- Spain.
Tennessee Williams y el teatro norteamericano,tiene_como_tema,Teatro americano
El Viaje de La Innovacion Empresarial,tiene_como_tema,Business / Economics / Finance
La noble intransigencia de José Martí,tiene_como_tema,History
La décima escrita en la República Dominicana,tiene_como_tema,Dominican poetry -- Bio-bibliography.
Objetivo,tiene_como_tema,War & Military
Un Día de éstos..,tiene_como_tema,Mexican drama -- 20th century
Un camino hacia el desarrollo,tiene_como_tema,Economic development
Genocidio,tiene_como_tema,Racism -- Guatemala
El legado histórico de Panamá la Vieja,tiene_como_tema,Civilization
Plantas con flores que atraen mariposas,tiene_como_tema,Butterfly gardening
"El general Pinochet habla al país, 11 de septiembre de 1976",tiene_como_tema,Economic policy
Palabra cubana,tiene_como_tema,"Authors, Cuban -- 20th century -- Interviews."
La agenda pendiente de la migración,tiene_como_tema,Emigration and immigration
La luz de México,tiene_como_tema,Photographers -- Mexico -- Interviews.
Paginas En Prosa - Golu,tiene_como_tema,Children's Books/Ages 9-12 Nonfiction
"Violencia, derechos humanos y seguridad ciudadana",tiene_como_tema,Law enforcement
Fin de milenio,tiene_como_tema,Globalization.
Arielismo y Globalización,tiene_como_tema,Caribbean & Latin American
Nihilismo y acción,tiene_como_tema,Nihilism (Philosophy)
"Historia crítica del pensamiento español, vol. 5",tiene_como_tema,Conditions sociales
Encuesta sobre migración,tiene_como_tema,Internal Migration
"Bizancio, el dique iluminado",tiene_como_tema,History
En esto creo (In This I Believe),tiene_como_tema,Spanish: Adult Nonfiction
Arquitectura indígena,tiene_como_tema,Indians of South America -- Brazil -- Amazonas.
Sed de mal,tiene_como_tema,North Mexico
Obra selecta,tiene_como_tema,"Catholic Church -- Doctrinal and controversial works, Popular."
Escribir en México durante los años locos,tiene_como_tema,Mexican literature
Los intelectuales,tiene_como_tema,"Authors, Mexican -- 20th century -- Biography."
"Pablo Serrano, escultor del hombre",tiene_como_tema,Sculptors -- Spain -- 20th century
Ciudad fantasma,tiene_como_tema,Mexican Ghost stories
España invertebrada y otros ensayos,tiene_como_tema,Philosophy
Testigo de la violencia,tiene_como_tema,Photojournalism
