Autor,Relación,Nacionalidad
Marcos Pico Rentería,es_de,Cuba
Elizabeth Mirabal,es_de,Cuba
Pablo Armando Fernández,es_de,Cuba
Elsa Gutiérrez Baró,es_de,Cuba
Pedro Luis Hernández Pérez,es_de,Cuba
Eufrasio Guzmán M.,es_de,Cuba
Ángel Augier,es_de,Cuba
Alexis García Artiles,es_de,Cuba
Eliseo Diego,es_de,Cuba
Virgilio Piñera,es_de,Cuba
Enrique Labrador Ruiz,es_de,Cuba
Ambrosio Fornet,es_de,Cuba
Trinidad Pérez,es_de,Cuba
Román De la Campa,es_de,Cuba
Belén Abreu,es_de,Cuba
"Reyes, Alfonso",es_de,Cuba
Madelyn Díaz Monterrey,es_de,Cuba
Iván González Cruz,es_de,Cuba
Coloquio Internacional sobre la Obra de José Lezama Lima (1982 Université de Poitiers),es_de,Cuba
Agustin Labrada Aguilera,es_de,Cuba
Salvador Bueno,es_de,Cuba
Ana Mesa de la Fé,es_de,Cuba
José Manuel Carbonell,es_de,Cuba
Esteban Luis Cárdenas,es_de,Cuba
Dulce María Loynaz,es_de,Cuba
Heberto Padilla,es_de,Cuba
Rafael Esténger,es_de,Cuba
Barbara Schwarzwälder,es_de,Cuba
Félix Guerra,es_de,Cuba
Raymond Leonard Grismer,es_de,Cuba
José Ramón Crespo Jiménez,es_de,Cuba
Olga Marta Pérez,es_de,Cuba
Yamil Díaz Gómez,es_de,Cuba
Andrés Candelario,es_de,Cuba
María del Carmen Muzio,es_de,Cuba
Darcy Borrero Batista,es_de,Cuba
Waldo Leyva Portal,es_de,Cuba
Eugenio Marrón Casanova,es_de,Cuba
Eduardo Lolo,es_de,Cuba
Beatriz Varela,es_de,Cuba
Georgina Lázaro León,es_de,Cuba
Carlos A. Aguilera,es_de,Cuba
Edgard Gousse,es_de,Cuba
Mariana Martins Villaça,es_de,Cuba
Pepita Jiménez Carreras,es_de,Cuba
Juan Ramón Jiménez,es_de,Cuba
Leonardo Sarría,es_de,Cuba
Antonio Gutiérrez Rodríguez,es_de,Cuba
Manuel Ramos Otero,es_de,Cuba
Domingo Del Monte,es_de,Cuba
Rolando López del Amo,es_de,Cuba
Eduardo Heras León,es_de,Cuba
Josep Trujillo Fonseca,es_de,Cuba
Rafael José Rodríguez Pérez,es_de,Cuba
Roberto Méndez,es_de,Cuba
Omar Stainer Rivera Carbó,es_de,Cuba
Arcadio Díaz Quiñones,es_de,Cuba
Manuel de la Cruz,es_de,Cuba
José Kozer,es_de,Cuba
Roberto Pérez León,es_de,Cuba
Zenaida Gutiérrez-Vega,es_de,Cuba
V.V.A.A.,es_de,Cuba
Lorenzo Gª Vega,es_de,Cuba
José Vilasuso,es_de,Cuba
Abilio Estévez,es_de,Cuba
Rafael A. Bernal Castellanos,es_de,Cuba
Pedro Capdevila,es_de,Cuba
Gustavo Guerrero,es_de,Cuba
Flora Basulto de Montoya,es_de,Cuba
Néstor E. Baguer,es_de,Cuba
Celedonio González,es_de,Cuba
"West, Alan",es_de,Cuba
Antonio Orlando Rodríguez,es_de,Cuba
Ibrahím Hidalgo Paz,es_de,Cuba
Ottmar Ette,es_de,Cuba
Armando Garcia de la Torre,es_de,Cuba
Liliane Hasson,es_de,Cuba
Raúl Gómez Treto,es_de,Cuba
Evelina Cardet Fernández,es_de,Cuba
Mario Vizcaíno Serrat,es_de,Cuba
Alicia Elizundia Ramírez,es_de,Cuba
Agenor Martí,es_de,Cuba
Loló de la Torriente,es_de,Cuba
José Jacinto Milanés,es_de,Cuba
Vidal Morales y Morales,es_de,Cuba
Luis Rogelio Nogueras,es_de,Cuba
Juan J. Remos y Rubio,es_de,Cuba
Enrique López Mesa,es_de,Cuba
Julián del Casal,es_de,Cuba
Lorenzo García Vega,es_de,Cuba
J. M. Capo,es_de,Cuba
Ben Chace,es_de,Cuba
Ana Cairo Ballester,es_de,Cuba
Enrique del Risco,es_de,Cuba
Elizabet Rodríguez,es_de,Cuba
"Reinaldo / Gallardo Camacho, Eva Margaritaed. lit. Arenas Fuentes",es_de,Cuba
Octavio Armand,es_de,Cuba
Carmen Gomez,es_de,Cuba
Juan Abreu,es_de,Cuba
Luis Báez,es_de,Cuba
José López Sánchez,es_de,Cuba
"Vitier, Cintio",es_de,Cuba
Roberto Friol,es_de,Cuba
Félix Lizaso,es_de,Cuba
Emma Otheguy,es_de,Cuba
Scott Johnson,es_de,Cuba
Ramón Luque,es_de,Cuba
Alberto Alfonso Bello,es_de,Cuba
Gertrudis Gómez de Avellaneda,es_de,Cuba
Emilio de los Santos Fuentes y Betancourt,es_de,Cuba
Dolores Rovirosa,es_de,Cuba
David Goodnough,es_de,Cuba
Armando Betancourt de Hita,es_de,Cuba
Ricardo R. Sardina,es_de,Cuba
Carlos A. Valdés Codina,es_de,Cuba
Francisco Meluzá Otero,es_de,Cuba
Angel Cuadra,es_de,Cuba
Elías José Entralgo,es_de,Cuba
Rogerio Moya,es_de,Cuba
Enrique J. Pujals,es_de,Cuba
Belén Abreu,es_de,Cuba
Jean Lamore,es_de,Cuba
Severo Sarduy,es_de,Cuba
Natalia Bolívar Aróstegui,es_de,Cuba
Miguel Angel González Abellás,es_de,Cuba
José Ángel Bufill,es_de,Cuba
Severo Sarduy,es_de,Cuba
Doris Era González,es_de,Cuba
Enrique Garcés Montero,es_de,Cuba
José Antonio Echeverría,es_de,Cuba
Carolina Gutiérrez Marroquín,es_de,Cuba
Jean-Louis Vaudoyer,es_de,Cuba
Adolfo Menéndez Alberdi,es_de,Cuba
Enrique Pérez Díaz,es_de,Cuba
Nancy Morejón,es_de,Cuba
Jan Gleiter,es_de,Cuba
Inmaculada López Calahorro,es_de,Cuba
Amauri Francisco Gutiérrez Coto,es_de,Cuba
Luisa Campuzano,es_de,Cuba
José Ismael Gutiérrez,es_de,Cuba
Leopoldo Zea,es_de,Cuba
Antón Arrufat,es_de,Cuba
Georgina Herrera,es_de,Cuba
Pedro de la Hoz,es_de,Cuba
Eduardo J. Tejera,es_de,Cuba
Nestor Almendros,es_de,Cuba
Manuel García Guatas,es_de,Cuba
Carlos Espinosa Domínguez,es_de,Cuba
Eugenio Suárez Galbán,es_de,Cuba
Fernando Martínez Laínez,es_de,Cuba
Jorge Domingo,es_de,Cuba
Vicente González Castro,es_de,Cuba
Samuel Feijóo,es_de,Cuba
Zoé Valdés,es_de,Cuba
Oscar de Alva,es_de,Cuba
Alfonso Herrera Franyutti,es_de,Cuba
Leonardo Depestre Catony,es_de,Cuba
Graziella Pogolotti,es_de,Cuba
Elda Cento Gómez,es_de,Cuba
Raúl Ferrer,es_de,Cuba
José María Chacón y Calvo,es_de,Cuba
José Angel Valente,es_de,Cuba
Emilio Cotarelo y Mori,es_de,Cuba
Víctor Pérez Galdós,es_de,Cuba
Miguel Gonzalez-Abellas,es_de,Cuba
Ramiro Manuel García Medina,es_de,Cuba
Ramón Luis Herrera,es_de,Cuba
Olga García Yero,es_de,Cuba
José María Heredia,es_de,Cuba
Rainer Maria Rilke,es_de,Mexico
Rodolfo Usigli,es_de,Mexico
Octavio Paz,es_de,Mexico
Augusto Monterroso,es_de,Mexico
Sister Juana Inés de la Cruz,es_de,Mexico
Vicente Riva Palacio,es_de,Mexico
Juan Rulfo,es_de,Mexico
Rolf Recknagel,es_de,Mexico
Antonio Castro Leal,es_de,Mexico
Dylan Brennan,es_de,Mexico
Pat Mora,es_de,Mexico
Laura Esquivel,es_de,Mexico
Luis Leal,es_de,Mexico
José Joaquín Fernández de Lizardi,es_de,Mexico
José Vasconcelos,es_de,Mexico
Federico Gamboa,es_de,Mexico
José Vasconcelos,es_de,Mexico
Benita Galeana,es_de,Mexico
Vicente Leñero,es_de,Mexico
"Galaviz, Juan M.",es_de,Mexico
Juan José Arreola,es_de,Mexico
Nellie Campobello,es_de,Mexico
Margo Glantz,es_de,Mexico
Abraham Argüelles,es_de,Mexico
Juan R. Campuzano,es_de,Mexico
Guadalupe Appendini,es_de,Mexico
Alicia Reyes,es_de,Mexico
Emmanuel Carballo,es_de,Mexico
José Mariano Beristáin de Souza,es_de,Mexico
Max Aub,es_de,Mexico
Jonah Raskin,es_de,Mexico
Rafael Jiménez Cataño,es_de,Mexico
Alejandro Jodorowsky,es_de,Mexico
"Reyes, Alfonso",es_de,Mexico
Alfonso Berrios,es_de,Mexico
Rubén Salazar Mallén,es_de,Mexico
Michael Karl Schuessler,es_de,Mexico
Chris N. Nacci,es_de,Mexico
Leonardo Martínez Carrizales,es_de,Mexico
José Revueltas,es_de,Mexico
Leopoldo Lugones,es_de,Mexico
Alfonso Junco,es_de,Mexico
Octavio Gordillo y Ortiz,es_de,Mexico
Ernst Schurer,es_de,Mexico
Rafael Montejano y Aguiñaga,es_de,Mexico
Frederik Hetmann,es_de,Mexico
María Zambrano,es_de,Mexico
"Owen, Gilberto",es_de,Mexico
Leobardo Sarabia,es_de,Mexico
Israel Cavazos Garza,es_de,Mexico
Jorge Galván,es_de,Mexico
Lynn Stephen,es_de,Mexico
"Wyatt, Will.",es_de,Mexico
Carlos López,es_de,Mexico
Francisco García Chávez,es_de,Mexico
Joaquín Cárdenas N.,es_de,Mexico
Jesús Gálvez Yagüe,es_de,Mexico
Gerardo Ochoa Sandy,es_de,Mexico
Francisco Monterde,es_de,Mexico
Eduardo Robledo Rincon,es_de,Mexico
José Luis Martínez,es_de,Mexico
F. García Chávez,es_de,Mexico
Rubén Salazar Mallén,es_de,Mexico
Mexico. Secretaría de Relaciones Exteriores.,es_de,Mexico
Ermilo Abreu Gómez,es_de,Mexico
"Valle-Arizpe, Artemio de",es_de,Mexico
Raúl Rangel Frías,es_de,Mexico
"Vogt, Wolfgang",es_de,Mexico
Arturo Azuela,es_de,Mexico
Alvaro Uribe,es_de,Mexico
Victoriano Salado Alvarez,es_de,Mexico
Forrest Gander,es_de,Mexico
José Servando Teresa de Mier Noriega y Guerra,es_de,Mexico
Mariano Azuela,es_de,Mexico
Reina Roffé,es_de,Mexico
Alfonso Reyes,es_de,Mexico
Roy Pateman,es_de,Mexico
Guillermo Schmidhuber de la Mora,es_de,Mexico
Cecil Robinson,es_de,Mexico
Heidi Zogbaum,es_de,Mexico
Margaret Sayers Peden,es_de,Mexico
Andrés Iduarte,es_de,Mexico
Norma Salazar,es_de,Mexico
María Isabel Saldaña Villarreal,es_de,Mexico
Nicholas Cifuentes-Goodbody,es_de,Mexico
Carlos Pellicer,es_de,Mexico
Carlos Fuentes,es_de,Mexico
Enrique Krauze,es_de,Mexico
Agustín Yáñez,es_de,Mexico
Lola Alvarez Bravo,es_de,Mexico
Clemente Díaz de la Vega,es_de,Mexico
Enrique Aguilar (Resillas),es_de,Mexico
Clara Campoamor,es_de,Mexico
Carlota Constantine Morán,es_de,Mexico
Francisco Hernández,es_de,Mexico
Raúl Renán,es_de,Mexico
Aureliano Ortega Esquivel,es_de,Mexico
Delfina Careaga,es_de,Mexico
Lourdes C. Pacheco Ladrón de Guevara,es_de,Mexico
Regina Cardoso,es_de,Mexico
"Encuentro de Escritores Coahuilenses (2008 Torreón, Coahuila, Mexico).",es_de,Mexico
Roberto Arizmendi Rodríguez,es_de,Mexico
Tomás Segovia,es_de,Mexico
Mario Luis Fuentes,es_de,Mexico
Elena Poniatowska,es_de,Mexico
Hugo Gutiérrez Vega,es_de,Mexico
Enrique Ceballos Ramos,es_de,Mexico
Vicente Francisco Torres M.,es_de,Mexico
Guillermo Sheridan,es_de,Mexico
Antonio Alatorre,es_de,Mexico
Ignacio Trejo Fuentes,es_de,Mexico
Adriana Sandoval,es_de,Mexico
Rosario Castellanos,es_de,Mexico
Xavier Velasco,es_de,Mexico
Frederick Starr,es_de,Mexico
Patricia Rosas Lopátegui,es_de,Mexico
Jaime Torres Bodet,es_de,Mexico
Judy Stone,es_de,Mexico
Román Corral Sandoval,es_de,Mexico
Carlos Monsiváis,es_de,Mexico
Kathryn Skidmore Blair,es_de,Mexico
Emily Hind,es_de,Mexico
Luis Sáinz de Medrano,es_de,Mexico
Sergio Pitol,es_de,Mexico
Paulette Patout,es_de,Mexico
Patricia Dávila Valero,es_de,Mexico
Gerd Heidemann,es_de,Mexico
Adrián Ortega,es_de,Mexico
José Alameda,es_de,Mexico
Pedro Leonardo Talavera Ibarra,es_de,Mexico
"Hernández, Fco. Javier",es_de,Mexico
Oralba Castillo Nájera,es_de,Mexico
"Sosa, Francisco",es_de,Mexico
Juan A. Ascencio,es_de,Mexico
Claire Brewster,es_de,Mexico
Becky Rubinstein,es_de,Mexico
Cibeles Henestrosa de Webster,es_de,Mexico
Valéry Larbaud,es_de,Mexico
María Luisa Puga,es_de,Mexico
Juan José Arreola,es_de,Mexico
Vicente Quirarte,es_de,Mexico
Fredo Arias de la Canal,es_de,Mexico
Gilberto Ibarra Rivera,es_de,Mexico
Alexandra Reyes Haiducovich,es_de,Mexico
Beatriz Espejo,es_de,Mexico
Alberto Vital Díaz,es_de,Mexico
Hernán Lara Zavala,es_de,Mexico
Carlos Monsivais,es_de,Mexico
Martha Domínguez Cuevas,es_de,Mexico
Juan Trigos,es_de,Mexico
Federico Patán,es_de,Mexico
Carlos Montemayor,es_de,Mexico
Clara Guadalupe García,es_de,Mexico
Francisco Javier Campos Cornejo,es_de,Mexico
Elena Garro,es_de,Mexico
Ricardo Garibay,es_de,Mexico
Reyna Barrera,es_de,Mexico
"Borbolla, Oscar de la.",es_de,Mexico
Salvador Novo,es_de,Mexico
Agustin Yanez,es_de,Mexico
Vicente Leñero,es_de,Mexico
Andrés Henestrosa,es_de,Mexico
Luis Enrique Ramírez,es_de,Mexico
Juan Luis Nutte,es_de,Mexico
Gabriela Mistral,es_de,Mexico
Juan Gallardo Munoz,es_de,Mexico
Georgina Lazaro,es_de,Mexico
Ada Aurora Sánchez,es_de,Mexico
Lauro Zavala,es_de,Mexico
Martha Robles,es_de,Mexico
Sergio E. Fernández,es_de,Mexico
"Payno, Manuel",es_de,Mexico
E. Y. López,es_de,Mexico
Mercedes Ruiz García,es_de,Mexico
José Ortega y Gasset,es_de,Mexico
Rafael Cuevas,es_de,Mexico
Ezequiel Adeodato Chávez,es_de,Mexico
Nidia Esther Rosado,es_de,Mexico
María Luisa Mendoza,es_de,Mexico
Alberto Cue,es_de,Mexico
Julio Torri,es_de,Mexico
Yolanda Segura,es_de,Mexico
Jesús de León,es_de,Mexico
Fabiola Ruiz,es_de,Mexico
Gerardo Segura,es_de,Mexico
Federico Munguía Cárdenas,es_de,Mexico
Ignacio Manuel Altamirano,es_de,Mexico
Robin Adèle Greeley,es_de,Mexico
Héctor Vega Flores,es_de,Mexico
René Avilés Fabila,es_de,Mexico
Carlos Urzáiz Jiménez,es_de,Mexico
Roland Forgues,es_de,Mexico
Alejandra Pizarnik,es_de,Mexico
Carlos Velázquez,es_de,Mexico
Diana Isabel Jaramillo Juárez,es_de,Mexico
Anna Caballé,es_de,Mexico
Olga Martha Peña Doria,es_de,Mexico
J. Manuel García-García,es_de,Mexico
Celia del Palacio,es_de,Mexico
Fritz Glockner Corte,es_de,Mexico
Alejandro Toledo,es_de,Mexico
Julio Moguel,es_de,Mexico
Moisés Ochoa Campos,es_de,Mexico
Eugenio Aguirre,es_de,Mexico
Ociel Flores Flores,es_de,Mexico
Alejandro Aldana Sellschopp,es_de,Mexico
Celine Armenta,es_de,Mexico
Conrado Roche Reyes,es_de,Mexico
María de Lourdes Franco Bagnouls,es_de,Mexico
Roberto Orozco Melo,es_de,Mexico
Ilse Díaz Márquez,es_de,Mexico
Javier Villarreal Lozano,es_de,Mexico
José Francisco Pedraza Montes,es_de,Mexico
Aureliano Tapia Méndez,es_de,Mexico
Josefina Estrada,es_de,Mexico
Mexico. Secretaría de Gobernación,es_de,Mexico
Juan López,es_de,Mexico
Catalina Sierra,es_de,Mexico
Gabriel Trujillo Muñoz,es_de,Mexico
Oscar Mata,es_de,Mexico
Ethel Krauze,es_de,Mexico
Mirta Aguirre,es_de,Mexico
Russell M. Cluff,es_de,Mexico
Mónica Maristain,es_de,Mexico
Enrique Díez-Canedo,es_de,Mexico
Mexico) Encuentro de Cronistas del Estado de Guerrero (3rd 2012 Tixtla de Guerrero,es_de,Mexico
Marcos Daniel Aguilar,es_de,Mexico
Eraclio Zepeda,es_de,Mexico
José de la O. Holguín,es_de,Mexico
Joaquín García Monge,es_de,Mexico
Luis Sandoval Godoy,es_de,Mexico
Elvira Gascón,es_de,Mexico
Yolanda de la Torre,es_de,Mexico
Alejandro Hermosilla Sánchez,es_de,Mexico
Rosely E. Quijano León,es_de,Mexico
Esther Hernández Palacios,es_de,Mexico
Antonio Acevedo Escobedo,es_de,Mexico
Abelardo Casanova,es_de,Mexico
Club de Mujeres Periodistas y Escritoras de Tabasco,es_de,Mexico
Ramón Xirau,es_de,Mexico
Abigail Villagrán Mora,es_de,Mexico
Paule V. Bétérous,es_de,Mexico
Alejandro Toledo,es_de,Mexico
Ciro B. Ceballos,es_de,Mexico
Jorge Ávila Storer,es_de,Mexico
Margaret Shrimpton Masson,es_de,Mexico
Vicente Quirarte,es_de,Mexico
Juan Pascual Gay,es_de,Mexico
Raymundo Ramos,es_de,Mexico
Carlo Coccioli,es_de,Mexico
"Hauschild, Jan-Christoph",es_de,Mexico
Marco Aurelio Carballo,es_de,Mexico
Salvador Elizondo,es_de,Mexico
Cristina Pacheco,es_de,Mexico
VV. AA.,es_de,Mexico
Xavier Rodríguez Ledesma,es_de,Mexico
Margarita López-Portillo y Pacheco,es_de,Mexico
Santiago Genovés,es_de,Mexico
Nicolás Pizarro,es_de,Mexico
Germán Dehesa,es_de,Mexico
Carlos Castillo,es_de,Mexico
Ramón López Velarde,es_de,Mexico
Margarita Peña,es_de,Mexico
Juan José Reyes,es_de,Mexico
Rhina Toruño,es_de,Mexico
José Joaquín Blanco,es_de,Mexico
Agustin Labrada Aguilera,es_de,Mexico
Ramón Rubín,es_de,Mexico
Adela Salinas,es_de,Mexico
Beth.* Miller,es_de,Mexico
Claudia Albarrán,es_de,Mexico
Jesús E. Valenzuela,es_de,Mexico
Martha Chávez Padrón,es_de,Mexico
Britt Diegner,es_de,Mexico
Serge I. Zaïtzeff,es_de,Mexico
Norma Anabel Barera,es_de,Mexico
Carlos Landero,es_de,Mexico
José Gaos,es_de,Mexico
Fernando DIaz de Urdanivia,es_de,Mexico
José de la Colina,es_de,Mexico
Jose  Luis Marti nez,es_de,Mexico
Nicolás Casillas Gómez,es_de,Mexico
Rafael Montejano y Aguiñaga,es_de,Mexico
Eduardo Enrique Ríos,es_de,Mexico
Jaime Torres Bodet,es_de,Mexico
Alfredo Cardona Peña,es_de,Mexico
Jose . Agusti n,es_de,Mexico
Ermilo Abreu Gómez,es_de,Mexico
"Yáñez, Agustín",es_de,Mexico
Miguel Angel Quemain,es_de,Mexico
Ana Luisa Calvillo,es_de,Mexico
Joseph F. Vélez,es_de,Mexico
Carlos Francisco Aquino López,es_de,Mexico
Gutierre Tibón,es_de,Mexico
Valentín Lavín Higuera,es_de,Mexico
Paul W. Borgeson,es_de,Mexico
José Agustín,es_de,Mexico
José Javier Villarreal,es_de,Mexico
"Covarrubias, Miguel",es_de,Mexico
Adrián Figueroa Nolasco,es_de,Mexico
Mario Bellatin,es_de,Mexico
Jean-Louis Auge,es_de,Mexico
Alí Chumacero,es_de,Mexico
Universidad de San Carlos de Guatemala,es_de,Mexico
álvaro Ruiz Abreu,es_de,Mexico
Alberto Enríquez Perea,es_de,Mexico
Ricardo Sigala,es_de,Mexico
Adriana González Mateos,es_de,Mexico
Adolfo Rodríguez Gallardo,es_de,Mexico
Oscar A. García Solana,es_de,Mexico
Gonzalo Celorio,es_de,Mexico
Beatriz Cano Sánchez,es_de,Mexico
Alejandro Vázquez Ortiz,es_de,Mexico
Jorge Meléndez Preciado,es_de,Mexico
Germán Pardo García,es_de,Mexico
Axur Eneas,es_de,Mexico
Pedro Ángel Palou,es_de,Mexico
Antonieta Rivas Mercado,es_de,Mexico
Ignacio Ruiz Pérez,es_de,Mexico
Georgina Lázaro León,es_de,Mexico
Edmundo Domínguez Aragonés,es_de,Mexico
Patricio Bayardo Gómez,es_de,Mexico
Jorge Esquinca,es_de,Mexico
Mercedes Zavala Gómez del Campo,es_de,Mexico
Lilia Solórzano Esqueda,es_de,Mexico
Julio César Schara,es_de,Mexico
Irma Angélica Bañuelos ℓvila,es_de,Mexico
Roberto García,es_de,Mexico
Raúl Rodríguez Cetina,es_de,Mexico
Mexico) Encuentro Regional de Escritores en Lenguas Indígenas (2007 Calkiní,es_de,Mexico
Héctor Alfonso Rodríguez Aguilar,es_de,Mexico
Celso Santajuliana,es_de,Mexico
Óscar Alarcón,es_de,Mexico
Marco Antonio Campos,es_de,Mexico
Rafael Gaona,es_de,Mexico
Kathleen Thompson,es_de,Mexico
Sergio González Rodríguez,es_de,Mexico
Angel Muñoz Fernández,es_de,Mexico
Juan de la Cabada,es_de,Mexico
Oscar Pantoja,es_de,Mexico
Luis Reyes de la Maza,es_de,Mexico
Fernando Fernández,es_de,Mexico
Malva Flores,es_de,Mexico
Helena Paz Garro,es_de,Mexico
Daniar Chávez,es_de,Mexico
Claudia L. Gutiérrez Piña,es_de,Mexico
Francis Mestries,es_de,Mexico
Alicia García Bergua,es_de,Mexico
Elizabeth Cazessús,es_de,Mexico
Alejandro Avilés,es_de,Mexico
Manuel de J. Jiménez,es_de,Mexico
Mario Calderón,es_de,Mexico
Miguel Capistrán,es_de,Mexico
Centro Mexicano de Escritores,es_de,Mexico
Ángeles Mastretta,es_de,Mexico
Martín Luis Guzmán,es_de,Mexico
Raúl Rangel Frías,es_de,Mexico
Irma Cecilia Eudave Robles,es_de,Mexico
Héctor Pérez Martínez,es_de,Mexico
Filadelfo Figueroa,es_de,Mexico
Manuel Horta,es_de,Mexico
Mario H. Aranda González,es_de,Mexico
Luz García Alonso,es_de,Mexico
Bernardo Ruiz,es_de,Mexico
Oscar Monroy Rivera,es_de,Mexico
Juan Rogelio López Ordaz,es_de,Mexico
"Morales, Francisco",es_de,Mexico
Perla Schwartz,es_de,Mexico
Enrique Pino Castilla,es_de,Mexico
Elda Peralta,es_de,Mexico
"Rivera, Gerardo",es_de,Mexico
Carlos Coffman Amador,es_de,Mexico
Oscar Bonifaz Caballero,es_de,Mexico
Luis E. Todd,es_de,Mexico
Gabriela Mora,es_de,Mexico
Joaquín Cárdenas N.,es_de,Mexico
Elizabeth Coonrod Martinez,es_de,Mexico
Alvaro Rodríguez Villarreal,es_de,Mexico
B. Traven,es_de,Mexico
Manuel García Jurado,es_de,Mexico
Cristian Zermeño,es_de,Mexico
Ricardo Espinosa,es_de,Mexico
David Piñera Ramírez,es_de,Mexico
Asunción Rangel,es_de,Mexico
Enriqueta Ochoa,es_de,Mexico
Jaime Sabines,es_de,Mexico
Yolanda Zamora,es_de,Mexico
Christopher Domínguez Michael,es_de,Mexico
Gabriel Contreras,es_de,Mexico
Gerardo Lima Molina,es_de,Mexico
Rafael Olea Franco,es_de,Mexico
Eulàlia Lledó Cunill,es_de,Mexico
José Muñoz Cota,es_de,Mexico
Mónica Mansour,es_de,Mexico
José Alejandro Torres,es_de,Mexico
Oguz Demiralp,es_de,Mexico
Fabienne Bradu,es_de,Mexico
José Ortiz Monasterio,es_de,Mexico
Olivia Peralta,es_de,Mexico
Ken Coates,es_de,Mexico
Gastón García Cantú,es_de,Mexico
Arturo Trejo Villafuerte,es_de,Mexico
Salvador Elizondo,es_de,Mexico
Samuel Gordon,es_de,Mexico
"Lira, Miguel N.",es_de,Mexico
Luis Beiro Alvarez,es_de,Mexico
Magali Lara,es_de,Mexico
Gabriel Rosenzweig,es_de,Mexico
Roberto Bravo,es_de,Mexico
