Obra,Relación,Autor
Cartas a María Mantilla (Memoria),fue_escrito_por,José Martí
Diario de campaña,fue_escrito_por,José Martí
Escenas americanas,fue_escrito_por,José Martí
Escenas latinoamericanas (Diferencias / Differences),fue_escrito_por,José Martí
Poemas de José Martí,fue_escrito_por,José Martí
Poesías de José Martí,fue_escrito_por,José Martí
Prosas,fue_escrito_por,José Martí
Patria y libertad,fue_escrito_por,José Martí
Pensamientos sobre educación,fue_escrito_por,José Martí
Páginas de José Martí,fue_escrito_por,José Martí
Páginas de un diario,fue_escrito_por,José Martí
Páginas inéditas o dispersas,fue_escrito_por,José Martí
Páginas literarias,fue_escrito_por,José Martí
Poesía de amor,fue_escrito_por,José Martí
Poesías,fue_escrito_por,José Martí
Poesía y prosa,fue_escrito_por,José Martí
Polvo de alas de mariposa,fue_escrito_por,José Martí
Prosa escogida,fue_escrito_por,José Martí
Proyección de Martí,fue_escrito_por,José Martí
Raíz y ala,fue_escrito_por,José Martí
Recuerdos de México,fue_escrito_por,José Martí
San Martin-Bolivar-Washington y otros escritos,fue_escrito_por,José Martí
"Simón Bolívar, aquel hombre solar",fue_escrito_por,José Martí
Sobre las Antillas,fue_escrito_por,José Martí
Tallar en nubes,fue_escrito_por,José Martí
Teatro,fue_escrito_por,José Martí
Textos martianos,fue_escrito_por,José Martí
Todo lo olvida Nueva York en un instante,fue_escrito_por,José Martí
Tribunicias,fue_escrito_por,José Martí
Tu Martí,fue_escrito_por,José Martí
Un drama terrible,fue_escrito_por,José Martí
Versos libres de José Martí ..,fue_escrito_por,José Martí
Versos sencillos de José Martí,fue_escrito_por,José Martí
"Versos sencillos, y otros poemas",fue_escrito_por,José Martí
Y mi honda es la de David,fue_escrito_por,José Martí
América para la humlanidad,fue_escrito_por,José Martí
Anticlerical irreductible,fue_escrito_por,José Martí
Antología de José Martí,fue_escrito_por,José Martí
Antología familiar,fue_escrito_por,José Martí
Antología mayor,fue_escrito_por,José Martí
Autobiografía de José Martí,fue_escrito_por,José Martí
Cartas familiares,fue_escrito_por,José Martí
Cartas políticas,fue_escrito_por,José Martí
Copa con alas,fue_escrito_por,José Martí
Crónicas,fue_escrito_por,José Martí
... Cuba : Hombres,fue_escrito_por,José Martí
Cubanos,fue_escrito_por,José Martí
"Cuba, política y revolución ..",fue_escrito_por,José Martí
De la vida norteamericana,fue_escrito_por,José Martí
"Diario de José Martí, de Cabo haitiano a Dos Ríos (9 de abril a mayo 17 de 1895)",fue_escrito_por,José Martí
Documentos inéditos de José Martí a José D. Poyo,fue_escrito_por,José Martí
Dos congresos,fue_escrito_por,José Martí
El General Gómez,fue_escrito_por,José Martí
El indio de nuestra América,fue_escrito_por,José Martí
El Partido Revolucionario Cubano,fue_escrito_por,José Martí
El Partido Revolucionario Cubano y la guerra,fue_escrito_por,José Martí
El testamento político de Mart́i (reproducción fotográfica de la célebre carta dirigida a Federico Henríquez y Carvajal el 25 de marzo de 1895.) ..,fue_escrito_por,José Martí
En las entrañas del monstruo,fue_escrito_por,José Martí
Ensayos sobre arte y literatura,fue_escrito_por,José Martí
Ensayos y crónicas,fue_escrito_por,José Martí
Epistolario de José Martí,fue_escrito_por,José Martí
Escritos desconocidos de José Martí,fue_escrito_por,José Martí
Escritos sobre educación,fue_escrito_por,José Martí
Hispanoamericanos,fue_escrito_por,José Martí
Ideario separatista,fue_escrito_por,José Martí
Inside the monster,fue_escrito_por,José Martí
Ismaelillo y versos sencillos,fue_escrito_por,José Martí
José Martí antología,fue_escrito_por,José Martí
José Marti precursor de la UNESCO,fue_escrito_por,José Martí
"José Martí, poesía & prosa",fue_escrito_por,José Martí
Antes que anochezca,fue_escrito_por,Reinaldo Arenas
El Portero (Colección el Angel de la Jiribilla),fue_escrito_por,Reinaldo Arenas
Old Rosa,fue_escrito_por,Reinaldo Arenas
El mundo alucinante,fue_escrito_por,Reinaldo Arenas
Otra vez el mar,fue_escrito_por,Reinaldo Arenas
"The Color of Summer, or the New Garden of Earthly Delights",fue_escrito_por,Reinaldo Arenas
Celestino antes del alba,fue_escrito_por,Reinaldo Arenas
Mundo alucinante,fue_escrito_por,Reinaldo Arenas
El Central,fue_escrito_por,Reinaldo Arenas
El Asalto / the Assault,fue_escrito_por,Reinaldo Arenas
El palacio de las blanquísimas mofetas,fue_escrito_por,Reinaldo Arenas
Necesidad de libertad,fue_escrito_por,Reinaldo Arenas
"Arturo, la estrella más brillante",fue_escrito_por,Reinaldo Arenas
Adiós a mamá,fue_escrito_por,Reinaldo Arenas
Persecución,fue_escrito_por,Reinaldo Arenas
Termina el desfile,fue_escrito_por,Reinaldo Arenas
Celestino Antes Del Alba,fue_escrito_por,Reinaldo Arenas
Viaje a La Habana,fue_escrito_por,Reinaldo Arenas
La loma del ángel,fue_escrito_por,Reinaldo Arenas
La vieja Rosa,fue_escrito_por,Reinaldo Arenas
Voluntad de vivir manifestándose,fue_escrito_por,Reinaldo Arenas
Cantando en el pozo,fue_escrito_por,Reinaldo Arenas
El asalto,fue_escrito_por,Reinaldo Arenas
La loma del ángel,fue_escrito_por,Reinaldo Arenas
Sobre los astros,fue_escrito_por,Reinaldo Arenas
Con los ojos cerrados,fue_escrito_por,Reinaldo Arenas
Conversación con Reinaldo Arenas,fue_escrito_por,Reinaldo Arenas
Final de un cuento,fue_escrito_por,Reinaldo Arenas
Inferno,fue_escrito_por,Reinaldo Arenas
Homenaje a Angel Cuadra,fue_escrito_por,Reinaldo Arenas
Libro de Arenas,fue_escrito_por,Reinaldo Arenas
"Libro de Arenas (prosa Dispersa, 1965-1990)",fue_escrito_por,Reinaldo Arenas
[Libros cartoneros,fue_escrito_por,Reinaldo Arenas
Leprosorio,fue_escrito_por,Reinaldo Arenas
"Otra Vez El Mar/Once Again, the Sea",fue_escrito_por,Reinaldo Arenas
Plebiscito a Fidel Castro,fue_escrito_por,Reinaldo Arenas
"Termina El Desfile, Seguido De Adios a Mama/ End of the Parade",fue_escrito_por,Reinaldo Arenas
Voluntad de Vivir Manifestandose,fue_escrito_por,Reinaldo Arenas
Adios a Mama - de La Habana a Nueva York,fue_escrito_por,Reinaldo Arenas
"Central, El",fue_escrito_por,Reinaldo Arenas
El Mundo Alucinante/A Hallucinations (Fabula) (Fabula),fue_escrito_por,Reinaldo Arenas
El Mundo Alucinante,fue_escrito_por,Reinaldo Arenas
El mundo alucinate,fue_escrito_por,Reinaldo Arenas
El Palacio De Las Blanquisimas Mofetas/the Palace of the Whitest Skunks,fue_escrito_por,Reinaldo Arenas
La loma del angel,fue_escrito_por,Reinaldo Arenas
El palacio de las blanquisimas mofetas,fue_escrito_por,Reinaldo Arenas
Un Plebiscito a Fidel Castro,fue_escrito_por,Reinaldo Arenas
Rêves et réalités / Sueños y realidades,fue_escrito_por,Reinaldo Arenas
El reino de este mundo,fue_escrito_por,Alejo Carpentier
Los pasos perdidos,fue_escrito_por,Alejo Carpentier
El siglo de las luces,fue_escrito_por,Alejo Carpentier
Guerra del tiempo,fue_escrito_por,Alejo Carpentier
El acoso,fue_escrito_por,Alejo Carpentier
Concierto barroco,fue_escrito_por,Alejo Carpentier
El recurso del método,fue_escrito_por,Alejo Carpentier
La música en Cuba,fue_escrito_por,Alejo Carpentier
Letra y solfa,fue_escrito_por,Alejo Carpentier
Essays,fue_escrito_por,Alejo Carpentier
Acoso,fue_escrito_por,Alejo Carpentier
La ciudad de las columnas,fue_escrito_por,Alejo Carpentier
Tientos y diferencias,fue_escrito_por,Alejo Carpentier
La consagración de la primavera,fue_escrito_por,Alejo Carpentier
El arpa y la sombra,fue_escrito_por,Alejo Carpentier
Crónicas,fue_escrito_por,Alejo Carpentier
La consagracion de la primavera,fue_escrito_por,Alejo Carpentier
El Recurso Del Metodo,fue_escrito_por,Alejo Carpentier
El derecho de asilo,fue_escrito_por,Alejo Carpentier
Ecue-yamba-o,fue_escrito_por,Alejo Carpentier
El camino de Santiago,fue_escrito_por,Alejo Carpentier
Ese músico que llevo dentro,fue_escrito_por,Alejo Carpentier
Recurso del método,fue_escrito_por,Alejo Carpentier
La Harpe Et L'Ombre,fue_escrito_por,Alejo Carpentier
La musica en Cuba,fue_escrito_por,Alejo Carpentier
Visión de América,fue_escrito_por,Alejo Carpentier
El adjetivo y sus arrugas,fue_escrito_por,Alejo Carpentier
Viaje a la semilla,fue_escrito_por,Alejo Carpentier
Conferencias,fue_escrito_por,Alejo Carpentier
Razón de ser,fue_escrito_por,Alejo Carpentier
Viaje a la semilla y otros relatos,fue_escrito_por,Alejo Carpentier
Cro nicas,fue_escrito_por,Alejo Carpentier
Ecue-yamba-ó,fue_escrito_por,Alejo Carpentier
Guerra del tiempo y otros relatos,fue_escrito_por,Alejo Carpentier
Cuentos completos,fue_escrito_por,Alejo Carpentier
La novela latinoamericana en vísperas de un nuevo siglo y otros ensayos,fue_escrito_por,Alejo Carpentier
Relatos,fue_escrito_por,Alejo Carpentier
"Crónicas del regreso, 1940-1941",fue_escrito_por,Alejo Carpentier
Ecue-yamba-ó ; La rebambaramba ; Cinco poemas afrocubanos ; Historia de lunas ; Manita en el suelo ; El milagro de Anaquillé ; Correspondencia con García Caturla,fue_escrito_por,Alejo Carpentier
Entrevistas,fue_escrito_por,Alejo Carpentier
La aprendiz de bruja ; Concierto barroco ; El arpa y la sombra,fue_escrito_por,Alejo Carpentier
Palabras en el tiempo de Alejo Carpentier,fue_escrito_por,Alejo Carpentier
A puertas abiertas,fue_escrito_por,Alejo Carpentier
Los convidados de plata,fue_escrito_por,Alejo Carpentier
CONCIERTO BARROCO (Nueva Criminologia),fue_escrito_por,Alejo Carpentier
El amor a la ciudad,fue_escrito_por,Alejo Carpentier
Afirmación literaria americanista,fue_escrito_por,Alejo Carpentier
Literatura y conciencia política en América Latina,fue_escrito_por,Alejo Carpentier
"El periodista, un cronista de su tiempo",fue_escrito_por,Alejo Carpentier
Cuentos Latinoamericanos,fue_escrito_por,Alejo Carpentier
El reino de este mundo / Los pasos perdidos,fue_escrito_por,Alejo Carpentier
Guerra del tiempo y otros cuentos,fue_escrito_por,Alejo Carpentier
"Tientos, diferencias y otros ensayos",fue_escrito_por,Alejo Carpentier
Camino de Santiago,fue_escrito_por,Alejo Carpentier
"Cine, Decima Musa",fue_escrito_por,Alejo Carpentier
Cartas a Toutouche,fue_escrito_por,Alejo Carpentier
"Recurso del Metodo, El",fue_escrito_por,Alejo Carpentier
Selección de Ensayos,fue_escrito_por,Alejo Carpentier
Temas de la lira y del bongo,fue_escrito_por,Alejo Carpentier
"Tres relatos: El camino de Santiago, Viaje a la semilla, Semejante a la noche",fue_escrito_por,Alejo Carpentier
Visión de America,fue_escrito_por,Alejo Carpentier
Bajo el signo de La Cibeles,fue_escrito_por,Alejo Carpentier
Alejo Carpentier,fue_escrito_por,Alejo Carpentier
Amor por la ciudad,fue_escrito_por,Alejo Carpentier
Cajon de Cuentos,fue_escrito_por,Alejo Carpentier
Cartas de Carpentier,fue_escrito_por,Alejo Carpentier
"Concierto Barroco - Reino de Este Mundo, El",fue_escrito_por,Alejo Carpentier
Conferenicas,fue_escrito_por,Alejo Carpentier
Conversaciones con Alejo Carpentier,fue_escrito_por,Alejo Carpentier
Cuentos,fue_escrito_por,Alejo Carpentier
Écue-yamba-o,fue_escrito_por,Alejo Carpentier
Dos novelas,fue_escrito_por,Alejo Carpentier
Dos novelas: el reino de este mundo / el acoso,fue_escrito_por,Alejo Carpentier
Ecue-Yamba-O (Libro amigo ; 1502/634),fue_escrito_por,Alejo Carpentier
"Ecue-yamba-o / ""Praise be the Lord' (Biblioteca De Autor / Author Library)",fue_escrito_por,Alejo Carpentier
El acoso ; El Derecho de asilo,fue_escrito_por,Alejo Carpentier
El camino a Santiago y otros cuentos,fue_escrito_por,Alejo Carpentier
El Recurso Del Metodo / the Resource of the Method,fue_escrito_por,Alejo Carpentier
Encuentro con Alejo Carpentier,fue_escrito_por,Alejo Carpentier
La palabra y su sombra,fue_escrito_por,Alejo Carpentier
Literatura y conciencia politica en America Latina,fue_escrito_por,Alejo Carpentier
Los confines del hombre,fue_escrito_por,Alejo Carpentier
Materiales de la revista Casa de las Américas,fue_escrito_por,Alejo Carpentier
Novela Latinoamericana En Visperas de Un Nuevo Sig (La Creacion literaria),fue_escrito_por,Alejo Carpentier
Obras completas,fue_escrito_por,Alejo Carpentier
Obras Completas de Alejo Carpenter Volumen 3,fue_escrito_por,Alejo Carpentier
Obras Completas Vol. 3 Carpentier,fue_escrito_por,Alejo Carpentier
Écue-yamba-ó,fue_escrito_por,Alejo Carpentier
El Arpa Y La Sombra/The Harp and the Shadow (Biblioteca De Autor / Author Library),fue_escrito_por,Alejo Carpentier
El recurso del me todo: novela,fue_escrito_por,Alejo Carpentier
El reino de este mundo / Alejo Carpentier,fue_escrito_por,Alejo Carpentier
"Guerra del tiempo, El acoso y otros relatos",fue_escrito_por,Alejo Carpentier
Los pasos recobrados,fue_escrito_por,Alejo Carpentier
OBRAS COMPLETAS VI. EL RECURSO DEL MÉTODO,fue_escrito_por,Alejo Carpentier
La música en Cuba,fue_escrito_por,Alejo Carpentier
recurso del método,fue_escrito_por,Alejo Carpentier
consagración de la primavera,fue_escrito_por,Alejo Carpentier
El ocaso de Europa,fue_escrito_por,Alejo Carpentier
Crónicas caribeñas,fue_escrito_por,Alejo Carpentier
"El cine, décima musa",fue_escrito_por,Alejo Carpentier
Ensayos,fue_escrito_por,Alejo Carpentier
Lecturas de juventud,fue_escrito_por,Alejo Carpentier
Crónicas habaneras,fue_escrito_por,Alejo Carpentier
Ese músico que llevo dentro,fue_escrito_por,Alejo Carpentier
Cuentos cubanos,fue_escrito_por,Alejo Carpentier
Géneros de opinión,fue_escrito_por,Alejo Carpentier
Crónicas,fue_escrito_por,Alejo Carpentier
Écue-yamba-ó!,fue_escrito_por,Alejo Carpentier
Adiós Hemingway,fue_escrito_por,Leonardo Padura
Personas decentes,fue_escrito_por,Leonardo Padura
El hombre que amaba a los perros,fue_escrito_por,Leonardo Padura
Pasado Perfecto,fue_escrito_por,Leonardo Padura
Vientos de Cuaresma,fue_escrito_por,Leonardo Padura
Pasado perfecto,fue_escrito_por,Leonardo Padura
Máscaras,fue_escrito_por,Leonardo Padura
Un camino de medio siglo,fue_escrito_por,Leonardo Padura
La Neblina del Ayer,fue_escrito_por,Leonardo Padura
La novela de mi vida,fue_escrito_por,Leonardo Padura
Los rostros de la salsa,fue_escrito_por,Leonardo Padura
La Puerta de Alcalá y otras cacerías,fue_escrito_por,Leonardo Padura
"Modernidad, posmodernidad y novela policial",fue_escrito_por,Leonardo Padura
Aquello estaba deseando ocurrir,fue_escrito_por,Leonardo Padura
Máscaras,fue_escrito_por,Leonardo Padura
Estrellas del beisbol,fue_escrito_por,Leonardo Padura
Fiebre de caballos,fue_escrito_por,Leonardo Padura
José María Heredia,fue_escrito_por,Leonardo Padura
"Lo real maravilloso, creación y realidad",fue_escrito_por,Leonardo Padura
Vientos de cuaresma,fue_escrito_por,Leonardo Padura
El viaje más largo,fue_escrito_por,Leonardo Padura
Paisaje de otoño,fue_escrito_por,Leonardo Padura
Paisaje de otoño,fue_escrito_por,Leonardo Padura
Adios Hemingway / Goodbye Hemingway,fue_escrito_por,Leonardo Padura
Adiós Hemingway & La cola de la serpiente,fue_escrito_por,Leonardo Padura
La cultura y la revolución cubana,fue_escrito_por,Leonardo Padura
La neblina del ayer,fue_escrito_por,Leonardo Padura
La Neblina Del Ayer / Yesterday's Fog,fue_escrito_por,Leonardo Padura
LA Novela De Mi Vida/the Story of My Life,fue_escrito_por,Leonardo Padura
Paisaje De Otono,fue_escrito_por,Leonardo Padura
El viaje más largo,fue_escrito_por,Leonardo Padura
Variaciones en negro,fue_escrito_por,Leonardo Padura
La memoria y el olvido,fue_escrito_por,Leonardo Padura
Antología personal,fue_escrito_por,Leonardo Padura
El alma de las cosas,fue_escrito_por,Leonardo Padura
El submarino amarillo,fue_escrito_por,Leonardo Padura
Regreso a Ítaca,fue_escrito_por,Leonardo Padura
Agua Por Todas Partes,fue_escrito_por,Leonardo Padura
"Adiós, Hemingway",fue_escrito_por,Leonardo Padura
Yo quisiera Paul Auster,fue_escrito_por,Leonardo Padura
El alma en el terreno,fue_escrito_por,Leonardo Padura
Según pasan los años,fue_escrito_por,Leonardo Padura
Como Polvo en el Viento,fue_escrito_por,Leonardo Padura
El cazador,fue_escrito_por,Leonardo Padura
Como Polvo en el Viento / Like Dust in the Wind,fue_escrito_por,Leonardo Padura
Regreso a Ítaca (Edición de la Película Retour à Ithaque) / Return to Ithaca (Movie Tie-In),fue_escrito_por,Leonardo Padura
Jose Maria Heredia,fue_escrito_por,Leonardo Padura
Según pasan los an̂os,fue_escrito_por,Leonardo Padura
Con la espada y con la pluma,fue_escrito_por,Leonardo Padura
Los rostros de Padura,fue_escrito_por,Leonardo Padura
Paradiso,fue_escrito_por,José Lezama Lima
La expresión americana,fue_escrito_por,José Lezama Lima
Poesía completa,fue_escrito_por,José Lezama Lima
Tratados en La Habana,fue_escrito_por,José Lezama Lima
Refutación de los espejos,fue_escrito_por,José Lezama Lima
Juego de las decapitaciones,fue_escrito_por,José Lezama Lima
Esferaimagen,fue_escrito_por,José Lezama Lima
Sucesiva o Las Coordenadas Habaneras,fue_escrito_por,José Lezama Lima
Lezama-Michavila,fue_escrito_por,José Lezama Lima
Lezama en César,fue_escrito_por,José Lezama Lima
Lezama disperso,fue_escrito_por,José Lezama Lima
La expresión americana y otros ensayos,fue_escrito_por,José Lezama Lima
Como Ias Cartas Nellegan,fue_escrito_por,José Lezama Lima
Correspondencia entre José Lezama Lima y María Zambrano y entre María Zambrano y María Luisa Bautista,fue_escrito_por,José Lezama Lima
Noche insular,fue_escrito_por,José Lezama Lima
Así hablaba Lezama Lima,fue_escrito_por,José Lezama Lima
Para leer debajo de un sicomoro,fue_escrito_por,José Lezama Lima
Correspondencia,fue_escrito_por,José Lezama Lima
Revelaciones de mi fiel Habana,fue_escrito_por,José Lezama Lima
La posibilidad infinita,fue_escrito_por,José Lezama Lima
Imago,fue_escrito_por,José Lezama Lima
Enemigo rumor,fue_escrito_por,José Lezama Lima
Recopilación de textos sobre José Lezama Lima,fue_escrito_por,José Lezama Lima
Carta a Ileana,fue_escrito_por,José Lezama Lima
Escritos de estética,fue_escrito_por,José Lezama Lima
Antología de la poesía cubana,fue_escrito_por,José Lezama Lima
Como las cartas no llegan--,fue_escrito_por,José Lezama Lima
Aventuras sigilosas,fue_escrito_por,José Lezama Lima
Poetas cubanos marginados,fue_escrito_por,José Lezama Lima
La Materia Artizada,fue_escrito_por,José Lezama Lima
Poemas,fue_escrito_por,José Lezama Lima
Imagen y posibilidad,fue_escrito_por,José Lezama Lima
Jose Lezama Lima,fue_escrito_por,José Lezama Lima
Ensayos latinoamericanos ,fue_escrito_por,José Lezama Lima
Presencias y figuras,fue_escrito_por,José Lezama Lima
Cartas,fue_escrito_por,José Lezama Lima
Lezama Lima,fue_escrito_por,José Lezama Lima
El Pabellon Del Vacio,fue_escrito_por,José Lezama Lima
Glorieta santiaguera para José Lezama Lima,fue_escrito_por,José Lezama Lima
El pabellón del vacío,fue_escrito_por,José Lezama Lima
Consejos del ciclón,fue_escrito_por,José Lezama Lima
Fragmentos a su imán,fue_escrito_por,José Lezama Lima
Oppiano Licario,fue_escrito_por,José Lezama Lima
Cuentos,fue_escrito_por,José Lezama Lima
Confluencias,fue_escrito_por,José Lezama Lima
Muerte de Narciso,fue_escrito_por,José Lezama Lima
La cantidad hechizada,fue_escrito_por,José Lezama Lima
Introducción a los vasos órficos,fue_escrito_por,José Lezama Lima
Diarios,fue_escrito_por,José Lezama Lima
Nadie parecía,fue_escrito_por,José Lezama Lima
"El asmático insigne, monstruo de Trocadero",fue_escrito_por,José Lezama Lima
Vuelvan Crepúsculos y Flautas,fue_escrito_por,José Lezama Lima
"Diez poetas cubanos, 1937-1947",fue_escrito_por,José Lezama Lima
Relatos,fue_escrito_por,José Lezama Lima
Asedio a Lezama Lima,fue_escrito_por,José Lezama Lima
El espacio gnóstico americano,fue_escrito_por,José Lezama Lima
Poesía,fue_escrito_por,José Lezama Lima
La Habana,fue_escrito_por,José Lezama Lima
La Habana caleidoscópica,fue_escrito_por,José Lezama Lima
Alicia Alonso,fue_escrito_por,José Lezama Lima
Analecta del reloj,fue_escrito_por,José Lezama Lima
Dador,fue_escrito_por,José Lezama Lima
Órbita de Lezama Lima,fue_escrito_por,José Lezama Lima
El reino de la imagen,fue_escrito_por,José Lezama Lima
Obras completas,fue_escrito_por,José Lezama Lima
Posible imagen de José Lezama Lima,fue_escrito_por,José Lezama Lima
Cartas a Eloísa y otra correspondencia,fue_escrito_por,José Lezama Lima
Las eras imaginarias,fue_escrito_por,José Lezama Lima
[Antología mayor de] Lezama Lima,fue_escrito_por,José Lezama Lima
Antología para un sistema poético del mundo de José Lezama Lima,fue_escrito_por,José Lezama Lima
Archivo de José Lezama Lima,fue_escrito_por,José Lezama Lima
Cangrejos y golondrinas,fue_escrito_por,José Lezama Lima
Combinatorias hispánicas,fue_escrito_por,José Lezama Lima
El coche musical,fue_escrito_por,José Lezama Lima
Fascinación de la memoria,fue_escrito_por,José Lezama Lima
Fragmentos irradiadores,fue_escrito_por,José Lezama Lima
La dignidad de la poesía,fue_escrito_por,José Lezama Lima
La expressión americana,fue_escrito_por,José Lezama Lima
La fijeza,fue_escrito_por,José Lezama Lima
La materia artizada,fue_escrito_por,José Lezama Lima
La visualidad infinita,fue_escrito_por,José Lezama Lima
Los enigmas permanentes,fue_escrito_por,José Lezama Lima
Martí en Lezama,fue_escrito_por,José Lezama Lima
Poesía y prosa,fue_escrito_por,José Lezama Lima
Coloquio Internacional sobre la Obra de José Lezama Lima,fue_escrito_por,José Lezama Lima
Coloquio Internacional sobre la Obra de José Lezama Lima,fue_escrito_por,José Lezama Lima
Memorias de una cubanita que nació con el siglo,fue_escrito_por,Renée Méndez Capote
"Che, comandante del alba",fue_escrito_por,Renée Méndez Capote
Por el ojo de la cerradura,fue_escrito_por,Renée Méndez Capote
4 conspiraciones,fue_escrito_por,Renée Méndez Capote
Amables figuras del pasado,fue_escrito_por,Renée Méndez Capote
De la maravillosa historia de nuestra tierra,fue_escrito_por,Renée Méndez Capote
"Hace muchos años, una joven viajera--",fue_escrito_por,Renée Méndez Capote
Memorias de una cubanita que nació con el siglo,fue_escrito_por,Renée Méndez Capote
Dos niños en la Cuba colonial,fue_escrito_por,Renée Méndez Capote
El remolino y otros relatos,fue_escrito_por,Renée Méndez Capote
Episodios de la epopeya,fue_escrito_por,Renée Méndez Capote
Fortalezas de La Habana colonial,fue_escrito_por,Renée Méndez Capote
Lento desarrollo de la Cuba colonial,fue_escrito_por,Renée Méndez Capote
Oratoria cubana,fue_escrito_por,Renée Méndez Capote
Relatos heroicos,fue_escrito_por,Renée Méndez Capote
Apuntes,fue_escrito_por,Renée Méndez Capote
Costumbres de Antaño,fue_escrito_por,Renée Méndez Capote
Crónicas de viaje,fue_escrito_por,Renée Méndez Capote
Locura de amor,fue_escrito_por,Renée Méndez Capote
Memorias de una cubanita que nacio  con el siglo,fue_escrito_por,Renée Méndez Capote
Costumbres de antanõ,fue_escrito_por,Renée Méndez Capote
"Hace muchos años, una joven viajera",fue_escrito_por,Renée Méndez Capote
"Domingo Mendez Capote, el hombre civil del 95",fue_escrito_por,Renée Méndez Capote
Memorias de una Cubanita Que Nacion Con el Siglo,fue_escrito_por,Renée Méndez Capote
Cesto de llamas,fue_escrito_por,Luis Toledo Sande
Tres narradores agonizantes,fue_escrito_por,Luis Toledo Sande
"José Martí, con el remo de proa",fue_escrito_por,Luis Toledo Sande
De Cuba en el mundo,fue_escrito_por,Luis Toledo Sande
De raiz y memoria,fue_escrito_por,Luis Toledo Sande
Ideología y práctica en José Martí,fue_escrito_por,Luis Toledo Sande
Libro de Laura y Claudia,fue_escrito_por,Luis Toledo Sande
Precisa recordar,fue_escrito_por,Luis Toledo Sande
Textículos,fue_escrito_por,Luis Toledo Sande
Tres nadarrores agonizantes,fue_escrito_por,Luis Toledo Sande
