Obra,Relación,País del Autor
Viajeros hispanoamericanos en Madrid,el_autor_es_del_pais,Cuba
"Lucía Jerez, o, Amistad funesta",el_autor_es_del_pais,Cuba
Abdala (Diferencias / Differences),el_autor_es_del_pais,Cuba
Cartas a María Mantilla (Memoria),el_autor_es_del_pais,Cuba
Diario de campaña,el_autor_es_del_pais,Cuba
Escenas americanas,el_autor_es_del_pais,Cuba
Escenas latinoamericanas (Diferencias / Differences),el_autor_es_del_pais,Cuba
Poemas de José Martí,el_autor_es_del_pais,Cuba
Poesías de José Martí,el_autor_es_del_pais,Cuba
Prosas,el_autor_es_del_pais,Cuba
Patria y libertad,el_autor_es_del_pais,Cuba
Pensamientos sobre educación,el_autor_es_del_pais,Cuba
Páginas de José Martí,el_autor_es_del_pais,Cuba
Páginas de un diario,el_autor_es_del_pais,Cuba
Páginas inéditas o dispersas,el_autor_es_del_pais,Cuba
Páginas literarias,el_autor_es_del_pais,Cuba
Poesía de amor,el_autor_es_del_pais,Cuba
Poesías,el_autor_es_del_pais,Cuba
Poesía y prosa,el_autor_es_del_pais,Cuba
Polvo de alas de mariposa,el_autor_es_del_pais,Cuba
Prosa escogida,el_autor_es_del_pais,Cuba
Proyección de Martí,el_autor_es_del_pais,Cuba
Raíz y ala,el_autor_es_del_pais,Cuba
Recuerdos de México,el_autor_es_del_pais,Cuba
San Martin-Bolivar-Washington y otros escritos,el_autor_es_del_pais,Cuba
"Simón Bolívar, aquel hombre solar",el_autor_es_del_pais,Cuba
Sobre las Antillas,el_autor_es_del_pais,Cuba
Tallar en nubes,el_autor_es_del_pais,Cuba
Teatro,el_autor_es_del_pais,Cuba
Textos martianos,el_autor_es_del_pais,Cuba
Todo lo olvida Nueva York en un instante,el_autor_es_del_pais,Cuba
Tribunicias,el_autor_es_del_pais,Cuba
Tu Martí,el_autor_es_del_pais,Cuba
Un drama terrible,el_autor_es_del_pais,Cuba
Versos libres de José Martí ..,el_autor_es_del_pais,Cuba
Versos sencillos de José Martí,el_autor_es_del_pais,Cuba
"Versos sencillos, y otros poemas",el_autor_es_del_pais,Cuba
Y mi honda es la de David,el_autor_es_del_pais,Cuba
América para la humlanidad,el_autor_es_del_pais,Cuba
Anticlerical irreductible,el_autor_es_del_pais,Cuba
Antología de José Martí,el_autor_es_del_pais,Cuba
Antología familiar,el_autor_es_del_pais,Cuba
Antología mayor,el_autor_es_del_pais,Cuba
Autobiografía de José Martí,el_autor_es_del_pais,Cuba
Cartas familiares,el_autor_es_del_pais,Cuba
Cartas políticas,el_autor_es_del_pais,Cuba
Copa con alas,el_autor_es_del_pais,Cuba
Crónicas,el_autor_es_del_pais,Cuba
... Cuba : Hombres,el_autor_es_del_pais,Cuba
Cubanos,el_autor_es_del_pais,Cuba
"Cuba, política y revolución ..",el_autor_es_del_pais,Cuba
De la vida norteamericana,el_autor_es_del_pais,Cuba
"Diario de José Martí, de Cabo haitiano a Dos Ríos (9 de abril a mayo 17 de 1895)",el_autor_es_del_pais,Cuba
Documentos inéditos de José Martí a José D. Poyo,el_autor_es_del_pais,Cuba
Dos congresos,el_autor_es_del_pais,Cuba
El General Gómez,el_autor_es_del_pais,Cuba
El indio de nuestra América,el_autor_es_del_pais,Cuba
El Partido Revolucionario Cubano,el_autor_es_del_pais,Cuba
El Partido Revolucionario Cubano y la guerra,el_autor_es_del_pais,Cuba
El testamento político de Mart́i (reproducción fotográfica de la célebre carta dirigida a Federico Henríquez y Carvajal el 25 de marzo de 1895.) ..,el_autor_es_del_pais,Cuba
En las entrañas del monstruo,el_autor_es_del_pais,Cuba
Ensayos sobre arte y literatura,el_autor_es_del_pais,Cuba
Ensayos y crónicas,el_autor_es_del_pais,Cuba
Epistolario de José Martí,el_autor_es_del_pais,Cuba
Escritos desconocidos de José Martí,el_autor_es_del_pais,Cuba
Escritos sobre educación,el_autor_es_del_pais,Cuba
Hispanoamericanos,el_autor_es_del_pais,Cuba
Ideario separatista,el_autor_es_del_pais,Cuba
Inside the monster,el_autor_es_del_pais,Cuba
Ismaelillo y versos sencillos,el_autor_es_del_pais,Cuba
José Martí antología,el_autor_es_del_pais,Cuba
José Marti precursor de la UNESCO,el_autor_es_del_pais,Cuba
"José Martí, poesía & prosa",el_autor_es_del_pais,Cuba
Antes que anochezca,el_autor_es_del_pais,Cuba
El Portero (Colección el Angel de la Jiribilla),el_autor_es_del_pais,Cuba
Old Rosa,el_autor_es_del_pais,Cuba
El mundo alucinante,el_autor_es_del_pais,Cuba
Otra vez el mar,el_autor_es_del_pais,Cuba
"The Color of Summer, or the New Garden of Earthly Delights",el_autor_es_del_pais,Cuba
Celestino antes del alba,el_autor_es_del_pais,Cuba
Mundo alucinante,el_autor_es_del_pais,Cuba
El Central,el_autor_es_del_pais,Cuba
El Asalto / the Assault,el_autor_es_del_pais,Cuba
El palacio de las blanquísimas mofetas,el_autor_es_del_pais,Cuba
Necesidad de libertad,el_autor_es_del_pais,Cuba
"Arturo, la estrella más brillante",el_autor_es_del_pais,Cuba
Adiós a mamá,el_autor_es_del_pais,Cuba
Persecución,el_autor_es_del_pais,Cuba
Termina el desfile,el_autor_es_del_pais,Cuba
Celestino Antes Del Alba,el_autor_es_del_pais,Cuba
Viaje a La Habana,el_autor_es_del_pais,Cuba
La loma del ángel,el_autor_es_del_pais,Cuba
La vieja Rosa,el_autor_es_del_pais,Cuba
Voluntad de vivir manifestándose,el_autor_es_del_pais,Cuba
Cantando en el pozo,el_autor_es_del_pais,Cuba
El asalto,el_autor_es_del_pais,Cuba
La loma del ángel,el_autor_es_del_pais,Cuba
Sobre los astros,el_autor_es_del_pais,Cuba
Con los ojos cerrados,el_autor_es_del_pais,Cuba
Conversación con Reinaldo Arenas,el_autor_es_del_pais,Cuba
Final de un cuento,el_autor_es_del_pais,Cuba
Inferno,el_autor_es_del_pais,Cuba
Homenaje a Angel Cuadra,el_autor_es_del_pais,Cuba
Libro de Arenas,el_autor_es_del_pais,Cuba
"Libro de Arenas (prosa Dispersa, 1965-1990)",el_autor_es_del_pais,Cuba
[Libros cartoneros,el_autor_es_del_pais,Cuba
Leprosorio,el_autor_es_del_pais,Cuba
"Otra Vez El Mar/Once Again, the Sea",el_autor_es_del_pais,Cuba
Plebiscito a Fidel Castro,el_autor_es_del_pais,Cuba
"Termina El Desfile, Seguido De Adios a Mama/ End of the Parade",el_autor_es_del_pais,Cuba
Voluntad de Vivir Manifestandose,el_autor_es_del_pais,Cuba
Adios a Mama - de La Habana a Nueva York,el_autor_es_del_pais,Cuba
"Central, El",el_autor_es_del_pais,Cuba
El Mundo Alucinante/A Hallucinations (Fabula) (Fabula),el_autor_es_del_pais,Cuba
El Mundo Alucinante,el_autor_es_del_pais,Cuba
El mundo alucinate,el_autor_es_del_pais,Cuba
El Palacio De Las Blanquisimas Mofetas/the Palace of the Whitest Skunks,el_autor_es_del_pais,Cuba
La loma del angel,el_autor_es_del_pais,Cuba
El palacio de las blanquisimas mofetas,el_autor_es_del_pais,Cuba
Un Plebiscito a Fidel Castro,el_autor_es_del_pais,Cuba
Rêves et réalités / Sueños y realidades,el_autor_es_del_pais,Cuba
El reino de este mundo,el_autor_es_del_pais,Cuba
Los pasos perdidos,el_autor_es_del_pais,Cuba
El siglo de las luces,el_autor_es_del_pais,Cuba
Guerra del tiempo,el_autor_es_del_pais,Cuba
El acoso,el_autor_es_del_pais,Cuba
Concierto barroco,el_autor_es_del_pais,Cuba
El recurso del método,el_autor_es_del_pais,Cuba
La música en Cuba,el_autor_es_del_pais,Cuba
Letra y solfa,el_autor_es_del_pais,Cuba
Essays,el_autor_es_del_pais,Cuba
Acoso,el_autor_es_del_pais,Cuba
La ciudad de las columnas,el_autor_es_del_pais,Cuba
Tientos y diferencias,el_autor_es_del_pais,Cuba
La consagración de la primavera,el_autor_es_del_pais,Cuba
El arpa y la sombra,el_autor_es_del_pais,Cuba
Crónicas,el_autor_es_del_pais,Cuba
La consagracion de la primavera,el_autor_es_del_pais,Cuba
El Recurso Del Metodo,el_autor_es_del_pais,Cuba
El derecho de asilo,el_autor_es_del_pais,Cuba
Ecue-yamba-o,el_autor_es_del_pais,Cuba
El camino de Santiago,el_autor_es_del_pais,Cuba
Ese músico que llevo dentro,el_autor_es_del_pais,Cuba
Recurso del método,el_autor_es_del_pais,Cuba
La Harpe Et L'Ombre,el_autor_es_del_pais,Cuba
La musica en Cuba,el_autor_es_del_pais,Cuba
Visión de América,el_autor_es_del_pais,Cuba
El adjetivo y sus arrugas,el_autor_es_del_pais,Cuba
Viaje a la semilla,el_autor_es_del_pais,Cuba
Conferencias,el_autor_es_del_pais,Cuba
Razón de ser,el_autor_es_del_pais,Cuba
Viaje a la semilla y otros relatos,el_autor_es_del_pais,Cuba
Cro nicas,el_autor_es_del_pais,Cuba
Ecue-yamba-ó,el_autor_es_del_pais,Cuba
Guerra del tiempo y otros relatos,el_autor_es_del_pais,Cuba
Cuentos completos,el_autor_es_del_pais,Cuba
La novela latinoamericana en vísperas de un nuevo siglo y otros ensayos,el_autor_es_del_pais,Cuba
Relatos,el_autor_es_del_pais,Cuba
"Crónicas del regreso, 1940-1941",el_autor_es_del_pais,Cuba
Ecue-yamba-ó ; La rebambaramba ; Cinco poemas afrocubanos ; Historia de lunas ; Manita en el suelo ; El milagro de Anaquillé ; Correspondencia con García Caturla,el_autor_es_del_pais,Cuba
Entrevistas,el_autor_es_del_pais,Cuba
La aprendiz de bruja ; Concierto barroco ; El arpa y la sombra,el_autor_es_del_pais,Cuba
Palabras en el tiempo de Alejo Carpentier,el_autor_es_del_pais,Cuba
A puertas abiertas,el_autor_es_del_pais,Cuba
Los convidados de plata,el_autor_es_del_pais,Cuba
CONCIERTO BARROCO (Nueva Criminologia),el_autor_es_del_pais,Cuba
El amor a la ciudad,el_autor_es_del_pais,Cuba
Afirmación literaria americanista,el_autor_es_del_pais,Cuba
Literatura y conciencia política en América Latina,el_autor_es_del_pais,Cuba
"El periodista, un cronista de su tiempo",el_autor_es_del_pais,Cuba
Cuentos Latinoamericanos,el_autor_es_del_pais,Cuba
El reino de este mundo / Los pasos perdidos,el_autor_es_del_pais,Cuba
Guerra del tiempo y otros cuentos,el_autor_es_del_pais,Cuba
"Tientos, diferencias y otros ensayos",el_autor_es_del_pais,Cuba
Camino de Santiago,el_autor_es_del_pais,Cuba
"Cine, Decima Musa",el_autor_es_del_pais,Cuba
Cartas a Toutouche,el_autor_es_del_pais,Cuba
"Recurso del Metodo, El",el_autor_es_del_pais,Cuba
Selección de Ensayos,el_autor_es_del_pais,Cuba
Temas de la lira y del bongo,el_autor_es_del_pais,Cuba
"Tres relatos: El camino de Santiago, Viaje a la semilla, Semejante a la noche",el_autor_es_del_pais,Cuba
Visión de America,el_autor_es_del_pais,Cuba
Bajo el signo de La Cibeles,el_autor_es_del_pais,Cuba
Alejo Carpentier,el_autor_es_del_pais,Cuba
Amor por la ciudad,el_autor_es_del_pais,Cuba
Cajon de Cuentos,el_autor_es_del_pais,Cuba
Cartas de Carpentier,el_autor_es_del_pais,Cuba
"Concierto Barroco - Reino de Este Mundo, El",el_autor_es_del_pais,Cuba
Conferenicas,el_autor_es_del_pais,Cuba
Conversaciones con Alejo Carpentier,el_autor_es_del_pais,Cuba
Cuentos,el_autor_es_del_pais,Cuba
Écue-yamba-o,el_autor_es_del_pais,Cuba
Dos novelas,el_autor_es_del_pais,Cuba
Dos novelas: el reino de este mundo / el acoso,el_autor_es_del_pais,Cuba
Ecue-Yamba-O (Libro amigo ; 1502/634),el_autor_es_del_pais,Cuba
"Ecue-yamba-o / ""Praise be the Lord' (Biblioteca De Autor / Author Library)",el_autor_es_del_pais,Cuba
El acoso ; El Derecho de asilo,el_autor_es_del_pais,Cuba
El camino a Santiago y otros cuentos,el_autor_es_del_pais,Cuba
El Recurso Del Metodo / the Resource of the Method,el_autor_es_del_pais,Cuba
Encuentro con Alejo Carpentier,el_autor_es_del_pais,Cuba
La palabra y su sombra,el_autor_es_del_pais,Cuba
Literatura y conciencia politica en America Latina,el_autor_es_del_pais,Cuba
Los confines del hombre,el_autor_es_del_pais,Cuba
Materiales de la revista Casa de las Américas,el_autor_es_del_pais,Cuba
Novela Latinoamericana En Visperas de Un Nuevo Sig (La Creacion literaria),el_autor_es_del_pais,Cuba
Obras completas,el_autor_es_del_pais,Cuba
Obras Completas de Alejo Carpenter Volumen 3,el_autor_es_del_pais,Cuba
Obras Completas Vol. 3 Carpentier,el_autor_es_del_pais,Cuba
Écue-yamba-ó,el_autor_es_del_pais,Cuba
El Arpa Y La Sombra/The Harp and the Shadow (Biblioteca De Autor / Author Library),el_autor_es_del_pais,Cuba
El recurso del me todo: novela,el_autor_es_del_pais,Cuba
El reino de este mundo / Alejo Carpentier,el_autor_es_del_pais,Cuba
"Guerra del tiempo, El acoso y otros relatos",el_autor_es_del_pais,Cuba
Los pasos recobrados,el_autor_es_del_pais,Cuba
OBRAS COMPLETAS VI. EL RECURSO DEL MÉTODO,el_autor_es_del_pais,Cuba
La música en Cuba,el_autor_es_del_pais,Cuba
recurso del método,el_autor_es_del_pais,Cuba
consagración de la primavera,el_autor_es_del_pais,Cuba
El ocaso de Europa,el_autor_es_del_pais,Cuba
Crónicas caribeñas,el_autor_es_del_pais,Cuba
"El cine, décima musa",el_autor_es_del_pais,Cuba
Ensayos,el_autor_es_del_pais,Cuba
Lecturas de juventud,el_autor_es_del_pais,Cuba
Crónicas habaneras,el_autor_es_del_pais,Cuba
Ese músico que llevo dentro,el_autor_es_del_pais,Cuba
Cuentos cubanos,el_autor_es_del_pais,Cuba
Géneros de opinión,el_autor_es_del_pais,Cuba
Crónicas,el_autor_es_del_pais,Cuba
Écue-yamba-ó!,el_autor_es_del_pais,Cuba
Adiós Hemingway,el_autor_es_del_pais,Cuba
Personas decentes,el_autor_es_del_pais,Cuba
El hombre que amaba a los perros,el_autor_es_del_pais,Cuba
Pasado Perfecto,el_autor_es_del_pais,Cuba
Vientos de Cuaresma,el_autor_es_del_pais,Cuba
Pasado perfecto,el_autor_es_del_pais,Cuba
Máscaras,el_autor_es_del_pais,Cuba
Un camino de medio siglo,el_autor_es_del_pais,Cuba
La Neblina del Ayer,el_autor_es_del_pais,Cuba
La novela de mi vida,el_autor_es_del_pais,Cuba
Los rostros de la salsa,el_autor_es_del_pais,Cuba
La Puerta de Alcalá y otras cacerías,el_autor_es_del_pais,Cuba
"Modernidad, posmodernidad y novela policial",el_autor_es_del_pais,Cuba
Aquello estaba deseando ocurrir,el_autor_es_del_pais,Cuba
Máscaras,el_autor_es_del_pais,Cuba
Estrellas del beisbol,el_autor_es_del_pais,Cuba
Fiebre de caballos,el_autor_es_del_pais,Cuba
José María Heredia,el_autor_es_del_pais,Cuba
"Lo real maravilloso, creación y realidad",el_autor_es_del_pais,Cuba
Vientos de cuaresma,el_autor_es_del_pais,Cuba
El viaje más largo,el_autor_es_del_pais,Cuba
Paisaje de otoño,el_autor_es_del_pais,Cuba
Paisaje de otoño,el_autor_es_del_pais,Cuba
Adios Hemingway / Goodbye Hemingway,el_autor_es_del_pais,Cuba
Adiós Hemingway & La cola de la serpiente,el_autor_es_del_pais,Cuba
La cultura y la revolución cubana,el_autor_es_del_pais,Cuba
La neblina del ayer,el_autor_es_del_pais,Cuba
La Neblina Del Ayer / Yesterday's Fog,el_autor_es_del_pais,Cuba
LA Novela De Mi Vida/the Story of My Life,el_autor_es_del_pais,Cuba
Paisaje De Otono,el_autor_es_del_pais,Cuba
El viaje más largo,el_autor_es_del_pais,Cuba
Variaciones en negro,el_autor_es_del_pais,Cuba
La memoria y el olvido,el_autor_es_del_pais,Cuba
Antología personal,el_autor_es_del_pais,Cuba
El alma de las cosas,el_autor_es_del_pais,Cuba
El submarino amarillo,el_autor_es_del_pais,Cuba
Regreso a Ítaca,el_autor_es_del_pais,Cuba
Agua Por Todas Partes,el_autor_es_del_pais,Cuba
"Adiós, Hemingway",el_autor_es_del_pais,Cuba
Yo quisiera Paul Auster,el_autor_es_del_pais,Cuba
El alma en el terreno,el_autor_es_del_pais,Cuba
Según pasan los años,el_autor_es_del_pais,Cuba
Como Polvo en el Viento,el_autor_es_del_pais,Cuba
El cazador,el_autor_es_del_pais,Cuba
Como Polvo en el Viento / Like Dust in the Wind,el_autor_es_del_pais,Cuba
Regreso a Ítaca (Edición de la Película Retour à Ithaque) / Return to Ithaca (Movie Tie-In),el_autor_es_del_pais,Cuba
Jose Maria Heredia,el_autor_es_del_pais,Cuba
Según pasan los an̂os,el_autor_es_del_pais,Cuba
Con la espada y con la pluma,el_autor_es_del_pais,Cuba
Los rostros de Padura,el_autor_es_del_pais,Cuba
Paradiso,el_autor_es_del_pais,Cuba
La expresión americana,el_autor_es_del_pais,Cuba
Poesía completa,el_autor_es_del_pais,Cuba
Tratados en La Habana,el_autor_es_del_pais,Cuba
Refutación de los espejos,el_autor_es_del_pais,Cuba
Juego de las decapitaciones,el_autor_es_del_pais,Cuba
Esferaimagen,el_autor_es_del_pais,Cuba
Sucesiva o Las Coordenadas Habaneras,el_autor_es_del_pais,Cuba
Lezama-Michavila,el_autor_es_del_pais,Cuba
Lezama en César,el_autor_es_del_pais,Cuba
Lezama disperso,el_autor_es_del_pais,Cuba
La expresión americana y otros ensayos,el_autor_es_del_pais,Cuba
Como Ias Cartas Nellegan,el_autor_es_del_pais,Cuba
Correspondencia entre José Lezama Lima y María Zambrano y entre María Zambrano y María Luisa Bautista,el_autor_es_del_pais,Cuba
Noche insular,el_autor_es_del_pais,Cuba
Así hablaba Lezama Lima,el_autor_es_del_pais,Cuba
Para leer debajo de un sicomoro,el_autor_es_del_pais,Cuba
Correspondencia,el_autor_es_del_pais,Cuba
Revelaciones de mi fiel Habana,el_autor_es_del_pais,Cuba
La posibilidad infinita,el_autor_es_del_pais,Cuba
Imago,el_autor_es_del_pais,Cuba
Enemigo rumor,el_autor_es_del_pais,Cuba
Recopilación de textos sobre José Lezama Lima,el_autor_es_del_pais,Cuba
Carta a Ileana,el_autor_es_del_pais,Cuba
Escritos de estética,el_autor_es_del_pais,Cuba
Antología de la poesía cubana,el_autor_es_del_pais,Cuba
Como las cartas no llegan--,el_autor_es_del_pais,Cuba
Aventuras sigilosas,el_autor_es_del_pais,Cuba
Poetas cubanos marginados,el_autor_es_del_pais,Cuba
La Materia Artizada,el_autor_es_del_pais,Cuba
Poemas,el_autor_es_del_pais,Cuba
Imagen y posibilidad,el_autor_es_del_pais,Cuba
Jose Lezama Lima,el_autor_es_del_pais,Cuba
Ensayos latinoamericanos ,el_autor_es_del_pais,Cuba
Presencias y figuras,el_autor_es_del_pais,Cuba
Cartas,el_autor_es_del_pais,Cuba
Lezama Lima,el_autor_es_del_pais,Cuba
El Pabellon Del Vacio,el_autor_es_del_pais,Cuba
Glorieta santiaguera para José Lezama Lima,el_autor_es_del_pais,Cuba
El pabellón del vacío,el_autor_es_del_pais,Cuba
Consejos del ciclón,el_autor_es_del_pais,Cuba
Fragmentos a su imán,el_autor_es_del_pais,Cuba
Oppiano Licario,el_autor_es_del_pais,Cuba
Cuentos,el_autor_es_del_pais,Cuba
Confluencias,el_autor_es_del_pais,Cuba
Muerte de Narciso,el_autor_es_del_pais,Cuba
La cantidad hechizada,el_autor_es_del_pais,Cuba
Introducción a los vasos órficos,el_autor_es_del_pais,Cuba
Diarios,el_autor_es_del_pais,Cuba
Nadie parecía,el_autor_es_del_pais,Cuba
"El asmático insigne, monstruo de Trocadero",el_autor_es_del_pais,Cuba
Vuelvan Crepúsculos y Flautas,el_autor_es_del_pais,Cuba
"Diez poetas cubanos, 1937-1947",el_autor_es_del_pais,Cuba
Relatos,el_autor_es_del_pais,Cuba
Asedio a Lezama Lima,el_autor_es_del_pais,Cuba
El espacio gnóstico americano,el_autor_es_del_pais,Cuba
Poesía,el_autor_es_del_pais,Cuba
La Habana,el_autor_es_del_pais,Cuba
La Habana caleidoscópica,el_autor_es_del_pais,Cuba
Alicia Alonso,el_autor_es_del_pais,Cuba
Analecta del reloj,el_autor_es_del_pais,Cuba
Dador,el_autor_es_del_pais,Cuba
Órbita de Lezama Lima,el_autor_es_del_pais,Cuba
El reino de la imagen,el_autor_es_del_pais,Cuba
Obras completas,el_autor_es_del_pais,Cuba
Posible imagen de José Lezama Lima,el_autor_es_del_pais,Cuba
Cartas a Eloísa y otra correspondencia,el_autor_es_del_pais,Cuba
Las eras imaginarias,el_autor_es_del_pais,Cuba
[Antología mayor de] Lezama Lima,el_autor_es_del_pais,Cuba
Antología para un sistema poético del mundo de José Lezama Lima,el_autor_es_del_pais,Cuba
Archivo de José Lezama Lima,el_autor_es_del_pais,Cuba
Cangrejos y golondrinas,el_autor_es_del_pais,Cuba
Combinatorias hispánicas,el_autor_es_del_pais,Cuba
El coche musical,el_autor_es_del_pais,Cuba
Fascinación de la memoria,el_autor_es_del_pais,Cuba
Fragmentos irradiadores,el_autor_es_del_pais,Cuba
La dignidad de la poesía,el_autor_es_del_pais,Cuba
La expressión americana,el_autor_es_del_pais,Cuba
La fijeza,el_autor_es_del_pais,Cuba
La materia artizada,el_autor_es_del_pais,Cuba
La visualidad infinita,el_autor_es_del_pais,Cuba
Los enigmas permanentes,el_autor_es_del_pais,Cuba
Martí en Lezama,el_autor_es_del_pais,Cuba
Poesía y prosa,el_autor_es_del_pais,Cuba
Coloquio Internacional sobre la Obra de José Lezama Lima,el_autor_es_del_pais,Cuba
Coloquio Internacional sobre la Obra de José Lezama Lima,el_autor_es_del_pais,Cuba
Memorias de una cubanita que nació con el siglo,el_autor_es_del_pais,Cuba
"Che, comandante del alba",el_autor_es_del_pais,Cuba
Por el ojo de la cerradura,el_autor_es_del_pais,Cuba
4 conspiraciones,el_autor_es_del_pais,Cuba
Amables figuras del pasado,el_autor_es_del_pais,Cuba
De la maravillosa historia de nuestra tierra,el_autor_es_del_pais,Cuba
"Hace muchos años, una joven viajera--",el_autor_es_del_pais,Cuba
Memorias de una cubanita que nació con el siglo,el_autor_es_del_pais,Cuba
Dos niños en la Cuba colonial,el_autor_es_del_pais,Cuba
El remolino y otros relatos,el_autor_es_del_pais,Cuba
Episodios de la epopeya,el_autor_es_del_pais,Cuba
Fortalezas de La Habana colonial,el_autor_es_del_pais,Cuba
Lento desarrollo de la Cuba colonial,el_autor_es_del_pais,Cuba
Oratoria cubana,el_autor_es_del_pais,Cuba
Relatos heroicos,el_autor_es_del_pais,Cuba
Apuntes,el_autor_es_del_pais,Cuba
Costumbres de Antaño,el_autor_es_del_pais,Cuba
Crónicas de viaje,el_autor_es_del_pais,Cuba
Locura de amor,el_autor_es_del_pais,Cuba
Memorias de una cubanita que nacio  con el siglo,el_autor_es_del_pais,Cuba
Costumbres de antanõ,el_autor_es_del_pais,Cuba
"Hace muchos años, una joven viajera",el_autor_es_del_pais,Cuba
"Domingo Mendez Capote, el hombre civil del 95",el_autor_es_del_pais,Cuba
Memorias de una Cubanita Que Nacion Con el Siglo,el_autor_es_del_pais,Cuba
Cesto de llamas,el_autor_es_del_pais,Cuba
Tres narradores agonizantes,el_autor_es_del_pais,Cuba
"José Martí, con el remo de proa",el_autor_es_del_pais,Cuba
De Cuba en el mundo,el_autor_es_del_pais,Cuba
De raiz y memoria,el_autor_es_del_pais,Cuba
Ideología y práctica en José Martí,el_autor_es_del_pais,Cuba
Libro de Laura y Claudia,el_autor_es_del_pais,Cuba
Precisa recordar,el_autor_es_del_pais,Cuba
Textículos,el_autor_es_del_pais,Cuba
Tres nadarrores agonizantes,el_autor_es_del_pais,Cuba
Más que lenguaje,el_autor_es_del_pais,Cuba
Playa Girón,el_autor_es_del_pais,Cuba
Detalles en el órgano,el_autor_es_del_pais,Cuba
Flora cubana,el_autor_es_del_pais,Cuba
Ser o no ser con José Martí,el_autor_es_del_pais,Cuba
Ensayos sencillos con José Martí,el_autor_es_del_pais,Cuba
