Obra,Relación,Editorial
México social y político,fue_publicado_por,"Dirección General de Prensa, Memoria, Bibliotecas y Publicaciones"
La emigración gallega al Reino Unido,fue_publicado_por,Caixagalicia
Yo Soy Muy Importante,fue_publicado_por,Independently Published
Calle vieja y calle nueva,fue_publicado_por,"Departamento del Distrito Federal, Secretaría General de Desarrollo Social, Comité Interno de Ediciones Gubernamentales"
Posdata,fue_publicado_por,Siglo Veintinuno Editores
Alfonso Reyes Digital (Varias / No Definida),fue_publicado_por,Fondo De Cultura Economica USA
Una Biblioteca Para Juana,fue_publicado_por,Tandem Library
De paso,fue_publicado_por,Ediciones Roca
La sombra del Caudillo,fue_publicado_por,Porrúa
La poesía cubana en 1936,fue_publicado_por,Institución Hispanocubana de Cultura
Los cánticos,fue_publicado_por,"Editorial ""Cvltvra"""
Ser escritor en Panamá,fue_publicado_por,Fundación Pro-Biblioteca Nacional
Circular dirigida a los gobernadores de los estados,fue_publicado_por,Impr. de V. García Torres
Evaristo,fue_publicado_por,Universidad Autónoma de Yucatán
Medios de participación ciudadana,fue_publicado_por,Universidad de Autónoma de Chihuahua
Otro invierno,fue_publicado_por,Pre-Textos
Hotel de Insectos,fue_publicado_por,CreateSpace Independent Publishing Platform
Desolación,fue_publicado_por,Editorial A. Bello
Isla en el tacto,fue_publicado_por,U[nión] N[acional de] E[scritores y] A[rtistas de] C[uba
¡ Fuera el invasor!,fue_publicado_por,Marcial Pons Ediciones de Historia
Qué relajo!,fue_publicado_por,Ediciones de la Banda Oriental
Retóricas de post-guerra,fue_publicado_por,"Centro Editorial ""José de Pineda I barra,"" Ministerio de Educación Pública"
Las voces de la memoria,fue_publicado_por,Editorial O. de León Palacios
El Salvador,fue_publicado_por,Enciclopedia popular
Pensamiento y poesía en la vida española,fue_publicado_por,La Casa de España en México
Islas Mexicanas,fue_publicado_por,Secretaría de Gobernación México
Concilio de Locos,fue_publicado_por,Independently Published
Obra y apuntes,fue_publicado_por,Ediciones de la Secretaría de Estado de Cultura
Hay jueces en Berlín,fue_publicado_por,Red Iberoamericana de jueces
La República Romana,fue_publicado_por,R. Sopena
Máximo Gómez,fue_publicado_por,Publicaciones América
Els viatges d'Ali Bei,fue_publicado_por,P. Didot
Caperucita en la zona roja,fue_publicado_por,UCA Editoros
Las ontologías de Michel Foucault,fue_publicado_por,Fundación de Investigaciones Marxistas
Literatura dominicana,fue_publicado_por,Editorial de la Cruz Aybar
La estética del soldadito,fue_publicado_por,Editora Universidad-USAD
La fábula de lo real,fue_publicado_por,Gobierno del Estado de Campeche
"Modernidad, vanguardia y revolución en la poesía mexicana, 1919-1930",fue_publicado_por,El Colegio de México
17 del taller,fue_publicado_por,Instituto de Cultura Puertorriqueña
Olvidanzas (1906-1907),fue_publicado_por,Aguilar
Martha Chapa,fue_publicado_por,[s.n.]
Cartas de Querétaro,fue_publicado_por,Instituto Municipal de Cultura
Una interpretación de la historia costarricense,fue_publicado_por,Editorial Juricentro
Celso Piña,fue_publicado_por,Oficio
Un mundo de sombras camina a mi lado,fue_publicado_por,Colofón
Revolutionary poems,fue_publicado_por,Savacou Pub.
Aproximaciones a una historia intelectual revistas y asociaciones literarias mexicanas del siglo XIX,fue_publicado_por,Universidad Nacional Autónoma de México
Amada infancia perdida,fue_publicado_por,Editorial Perseo
Lapso,fue_publicado_por,Pre-Textos
Lecturas para mujeres,fue_publicado_por,Editorial Porrúa
Erotismo al rojo blanco,fue_publicado_por,Editorial Agata
Cielo verde,fue_publicado_por,Mística Pelliza
"Literatura de los ""niños de la guerra"" del exilio español en México",fue_publicado_por,Pagès Editors
El general en su laberinto,fue_publicado_por,Odeon
Futbolistas,fue_publicado_por,Ediciones B
"Julio Camba, escritor novecentista",fue_publicado_por,[s.n.]
Espejos (crónica sentimental),fue_publicado_por,La Secta de los Perros
Trayectoria política de Puerto Rico,fue_publicado_por,Ediciones Nuevas de Puerto Rico
Antología de la poesía cósmica cubana,fue_publicado_por,Frente de Afirmación Hispanista
In the Time of the Butterflies,fue_publicado_por,Rocco
. . . Prosas,fue_publicado_por,Universidad nacional autónoma
Peones,fue_publicado_por,Ediciones Runa Comunicaciones
Paisajes y leyendas,fue_publicado_por,Antigua Librería Robredo
Vocablos indígenas de Baja California Sur,fue_publicado_por,Instituto Sudcaliforniano de Cultura
Flor de fango,fue_publicado_por,distribuye Tomotex
Cómo se cuenta un cuento,fue_publicado_por,Ollero y Ramos
La divina aventura,fue_publicado_por,Editorial Jus
En las extrañas islas de la noche,fue_publicado_por,Ediciones Unión
Justos por pecadores,fue_publicado_por,Marcha editores
Marti  por Marti,fue_publicado_por,Letras Cubanas
Todas las islas la isla,fue_publicado_por,Iberoamericana
Colores Con Brisa,fue_publicado_por,Fondo de Cultura Economica USA
La unificación conceptual de los derechos humanos,fue_publicado_por,Editorial Porrúa
!Viva Mexico!,fue_publicado_por,B. Costa-Amic
La migración laboral mexicana a Estados Unidos de América,fue_publicado_por,Secretaría de Relaciones Exteriores
El Vaso De Miel (Alfaguara Infantil),fue_publicado_por,Alfaguara
Génesis del psicoanálisis literario,fue_publicado_por,Frente de Afirmación Hispanista
Los movimientos sociales,fue_publicado_por,Anthropos
Los Perros Del Fin Del Mundo,fue_publicado_por,Alfaguara
In the name of Salomé,fue_publicado_por,Algonquin Books of Chapel Hill
Los simuladores del talento en las luchas por la personalidad y la vida,fue_publicado_por,F. Lajouane & cia.
Poetas en la España leal,fue_publicado_por,Ediciones Españolas
Textos de/sobre José Luis González,fue_publicado_por,"Centro de Investigaciones Lingüístico-Literarias de la Universidad Veracruzana, Instituto de Investigaciones Humanísticas"
Justo Sierra Méndez,fue_publicado_por,Universidad Autónoma de Campeche
La Hamaca de la Vaca,fue_publicado_por,Santillana USA Publishing Company
Briefe an einen jungen Dichter,fue_publicado_por,Seuil
Antología poética,fue_publicado_por,Editorial Coqui
David Vela,fue_publicado_por,Tip. Nacional
El arca,fue_publicado_por,Editorial Iberoamericana
Antología,fue_publicado_por,Editora Nacional
El Caribe literario,fue_publicado_por,Editorial Arte y Literatura
José Trigo,fue_publicado_por,Argos Vergara
Andanzas de Hernan Cortes y otros excesos,fue_publicado_por,Biblioteca Nueva
Miguel Marmol (Biblioteca Roque Dalton),fue_publicado_por,Casa de las Américas
Mi mamá me ama,fue_publicado_por,Seix Barral
El reino de este mundo,fue_publicado_por,Akal
Yo no vengo a decir un discurso,fue_publicado_por,Mondadori
En esto creo (In This I Believe),fue_publicado_por,Editorial Seix Barral
Pedro Henríquez Ureña,fue_publicado_por,Siglo XXI
Miguel Marmol (Biblioteca Roque Dalton),fue_publicado_por,Curbstone Press
Rosario,fue_publicado_por,M.A. Porrua
Diccionario biobibliográfico de escritores contemporáneos de México,fue_publicado_por,Instituto Nacional de Bellas Artes
"Cinco presencias, y un relato",fue_publicado_por,"Universidad Autónoma de Nuevo León, Facultad de Filosofía y Letras, Secretaría de Servicios a la Comunidad"
Playa nudista,fue_publicado_por,Editorial Argos Vergara
Poeta en Nueva York,fue_publicado_por,Espasa-Calpe
La miseria de la razón política,fue_publicado_por,[publisher not identified]
Paraíplos,fue_publicado_por,Ediciones Arlequín
El príncipe de Viana,fue_publicado_por,Impr. de J. Repullés
Tecolotlenses ilustres,fue_publicado_por,G. Agraz García de Alba
La administración pública del futuro,fue_publicado_por,Editorial Universidad de Guadalajara
Tata Lobo,fue_publicado_por,Fondo de Cultura Económica
Mexicanismos en el Diccionario de la lengua española,fue_publicado_por,"Instituto Cultural Cabañas [y] Secretaría General, Unidad Editorial, Gobierno del Estado de Jalisco"
Los Cuentos Del Doctor,fue_publicado_por,Independently Published
"O'Leary, edecán del Libertador",fue_publicado_por,Ediciones EDIME
Una utopía inconclusa,fue_publicado_por,Instituto Tecnológico de Santo Domingo
El amor y el tiempo,fue_publicado_por,Editorial Letras Cubanas
El llano en llamas,fue_publicado_por,Editorial Rm Rio Panuko
En torno a Galileo,fue_publicado_por,Biblioteca Nueva
Der Schatz der Sierra Madre,fue_publicado_por,Appleton-Century-Crofts
Desarmar el silencio,fue_publicado_por,Colectivo Libertad
Aires de las colinas,fue_publicado_por,Editorial Sudamericana
"Literatura clásica, estética y cine contemporáneo",fue_publicado_por,Servicio de Publicaciones de la Universidad Autónoma de Madrid
Cicatrices en la memoria,fue_publicado_por,Editorial Capitán San Luis
Il Combattimento Spirituale,fue_publicado_por,Printed for James M'Henry
Ladera este,fue_publicado_por,Joaquin Mortiz Editorial
Sermons pour la Pâque,fue_publicado_por,Institut d'études augustiniennes
Deletreo del mundo,fue_publicado_por,"Benemérita Universidad Autónoma de Puebla, Dirección de Fomento Editorial"
Huitzil uan tuxtli =,fue_publicado_por,Fondo de Cultura Económica
El diablo se llama Trotsky,fue_publicado_por,Grijalbo
La corteza del árbol sin nombre,fue_publicado_por,Fundación Fernando Ortiz Crespo
Colombia y su cafe,fue_publicado_por,Editorial Colina
Relato de un náufrago,fue_publicado_por,Editorial Oveja Negra
La llave del abismo,fue_publicado_por,Plaza & Janés
Nostalgias de un triste habitador de ciudad,fue_publicado_por,Ediciones Mecenas
Unidad y diversidad de la literatura latinoamericana,fue_publicado_por,[Editorial J. Mortiz]
Dependencia y liberación en la cultura latinoamericana,fue_publicado_por,Editorial Joaquin Mortíz
"María Ladvenant y Quirante, primera dama de los teatros de la corte",fue_publicado_por,Publicaciones de la Asociación de Directores de Escena de España
Crónica literaria,fue_publicado_por,Cal y Arena
El gallo y la veleta,fue_publicado_por,Cielonaranja
Ojos de perro azul,fue_publicado_por,Grasset
Los gemelos,fue_publicado_por,Editorial Cultural
Zona de desastre,fue_publicado_por,Ediciones Océano
Pablo Morillo,fue_publicado_por,Centro Cultural y Educativo Español (C.C.E.E.) Reyes Católicos
Es Otoño y Te Recuerdo Hoy,fue_publicado_por,"Lulu Press, Inc."
Guatemala,fue_publicado_por,Instituto de Investigaciones Sociales Universidad Nacional Auto noma de Me xico
Que no terminen los cuentos-- del bicho meque,fue_publicado_por,[Place of publication unknown]
Libro de Laura y Claudia,fue_publicado_por,Benchomo
Bailar contigo el último cuplé,fue_publicado_por,Lectorum
Obras completas de Alfonso Reyes,fue_publicado_por,Fondo de cultura económica]
60 años de política monetaria 1947-2007,fue_publicado_por,Banco Central de la República Dominicana
El zaratán,fue_publicado_por,Ediciones de la Fundación Juan Ramón Jiménez
Fire in the blood,fue_publicado_por,Ediciones B
El precio de la derrota,fue_publicado_por,Plaza & Janés
"Amado Nervo, sus mejores poemas",fue_publicado_por,Editorial Nascimento
Arcángeles,fue_publicado_por,Traficantes de Sueños
La vida inútil de Pito Pérez,fue_publicado_por,Editorial Porrúa
Imitation of Christ,fue_publicado_por,Printed by J. Roberts ...
Nudo,fue_publicado_por,Mortiz
Skywriting,fue_publicado_por,Editorial Atlántida
La hojarasca,fue_publicado_por,Sudamericana
Tres novelas,fue_publicado_por,"Ministerio de Cultura, Departamento Editorial"
Poesía de pie,fue_publicado_por,Ediciones De Andrea
Crónicas de la República y la Guerra Civil,fue_publicado_por,Espuela de Plata
Huellas en el tiempo,fue_publicado_por,Fondo Editorial Casa de las Américas
Notas de prensa,fue_publicado_por,Mondadori
Las ideas en Cuba,fue_publicado_por,Editorial Tropico
"La novela en Puerto Rico, apuntes para su historia",fue_publicado_por,"Junta Editora, Univ. de Puerto Rico"
Africa,fue_publicado_por,[The Author]
Obra de Alfonso Rumazo González,fue_publicado_por,Presidencia de la República Bolivariana de Venezuela
Cartas a Clementina Otero,fue_publicado_por,"Dirección de Difusión Cultural, Departamento Editorial, Universidad Autónoma Metropolitana"
Poemas solariegos,fue_publicado_por,Biblioteca argentina de buenas ediciones literarias
Relación de lo que sucedió en Europa al dr. Servando Teresa De Mier,fue_publicado_por,Bulzoni
Tasco,fue_publicado_por,"Editorial ""Cultura"""
Das Totenschiff,fue_publicado_por,Lawrence Hill Books
El Museo Nacional de Arquitectura,fue_publicado_por,INBA
El Intelectual y la sociedad,fue_publicado_por,Siglo Veintiuno Editores
Cuentos,fue_publicado_por,Kapelusz
Huerto Agnóstico,fue_publicado_por,"Creative Media Partners, LLC"
La novia de Corinto,fue_publicado_por,Celeste Ediciones
Fuita i martiri de Sant Andreu Milà,fue_publicado_por,Ediciones Destino
Geschichten vom lieben Gott,fue_publicado_por,Montesinos
"Programa ""Puno-Tambopata"", proyecto de plan de trabajo para el año 1958",fue_publicado_por,"Instituto Indigenista Peruano, Ministerio de Trabajo y Asuntos Indígenas"
El Detalle/The Detail (Literatura),fue_publicado_por,Mondadori
El laberinto de la soledad,fue_publicado_por,Cátedra
Poesías líricas,fue_publicado_por,Editorial Porrúa
Crónica de una muerte anunciada,fue_publicado_por,France Loisirs
Cinelibre,fue_publicado_por,Ediciones Le Provincial
Antología poética,fue_publicado_por,Letras Cubanas
Los pasos perdidos,fue_publicado_por,Arca
Fragmentos a su imán,fue_publicado_por,Lumen
La feria,fue_publicado_por,J. Mortiz
Mannen på balkongen,fue_publicado_por,Sphere
Lucian Freud,fue_publicado_por,Hatje Cantz
En la década perdida,fue_publicado_por,Fundación Cultural Dominicana
Los Evangelios Para Sanar,fue_publicado_por,Siruela
Alemania y México,fue_publicado_por,Universidad Iberoamericana
Amor de los pupitres,fue_publicado_por,Editorial Gente Nueva
"Morir, matar, sobrevivir",fue_publicado_por,Crítica
La coartada perpetua,fue_publicado_por,Siglo XXI Editores
Fábula de ángeles,fue_publicado_por,Editorial Letras Cubanas
Estudios penales,fue_publicado_por,Universidad Autónoma de Coahuila
Amor breve,fue_publicado_por,Muchnik
EMI Entrega3,fue_publicado_por,Independently Published
Odas seculares,fue_publicado_por,Editorial Babel
Recuentro de Personas,fue_publicado_por,"Editorial Grijalbo, S.A. de C.V."
Dulce Maria Loynaz,fue_publicado_por,CreateSpace Independent Publishing Platform
Ley de tratados,fue_publicado_por,Secretaría de Relaciones Exteriores
Juárez,fue_publicado_por,"Editorial de Ciencias Sociales, Instituto Cubano del Libro"
La zona del silencio,fue_publicado_por,Alfaguara
Chiapas,fue_publicado_por,La Jornada Ediciones
De Jalisco las tapatías,fue_publicado_por,Cal y Arena
El laurel de San Lorenzo,fue_publicado_por,Fondo de Cultura Económica
Tres Novelas Ejemplares,fue_publicado_por,CreateSpace Independent Publishing Platform
Cielo de los Leones,fue_publicado_por,Editorial Seix Barral
Erotismo de hilo fino,fue_publicado_por,Universidad de Colima
El río reflexivo,fue_publicado_por,El Colegio de México
Deuda externa,fue_publicado_por,Ediciones Escuela Sindical
Jusep Torres Campalans,fue_publicado_por,Doubleday
La dramaturgia femenina y el corrido mexicano teatralizado,fue_publicado_por,Universidad Autónoma de Nuevo León
Posición de América,fue_publicado_por,CEESTEM
América Latina,fue_publicado_por,Universidad Nacional Autónoma de México
Generaciones,fue_publicado_por,LOM Ediciones
Estética y ética estética,fue_publicado_por,Aguilar
La genuina labor periodística de Enrique José Varona,fue_publicado_por,Editorial Librería Selecta
El barro,fue_publicado_por,Houghton Mifflin
Las buenas intenciones,fue_publicado_por,Limes
Ficción en cajitas,fue_publicado_por,Blurb
Fama y obras póstumas,fue_publicado_por,"Facultad de Filosofía y Letras, Universidad Nacional Autónoma de México"
Epigramas,fue_publicado_por,Trotta
Sol del alma,fue_publicado_por,Instituto Cubano del Libro
El Materialismo Histerico/hysteric Materialism,fue_publicado_por,Alfaguara
Das Totenschiff,fue_publicado_por,Collier
--y también digo mujer,fue_publicado_por,Ediciones Populares Feministas
The pampas and Andes,fue_publicado_por,Lee and Shepard
El azogue y la granada,fue_publicado_por,"Universidad Nacional Autónoma de México, Coordinación de Humanidades, Dirección General de Publicaciones"
Entrecruzamiento de la Historia y la Literatura,fue_publicado_por,"Lulu Press, Inc."
Dein Körper Neben Mir,fue_publicado_por,Iberoamericana Editorial Vervuert
America en la historia,fue_publicado_por,Revista de Occidente
Ojos de papel volando,fue_publicado_por,J. Mortiz
Ocho escritores latinoamericanos del siglo XX,fue_publicado_por,"Universidad Autónoma Metropolitana, Unidad Azcapotzalco, División de Ciencias Sociales y Humanidades"
Historias para Oscar Lewis,fue_publicado_por,B. Costa-Amic
"Pasionarias, Poesías. Con Un Prólogo Por Ignacio M. Altamirano",fue_publicado_por,"Creative Media Partners, LLC"
"El Dardo y la manzana, 1967-1997",fue_publicado_por,Ediciones Sin Nombre
Variación regional en la narrativa tradicional de México,fue_publicado_por,El Colegio de San Luis
La Pricesa Esta Triste,fue_publicado_por,Planeta Pub Corp
El cuaderno de Aníbal Egea,fue_publicado_por,Ediciones Brevedad
Los Rituales Del Caos (Los Libros del Consumidor),fue_publicado_por,Ediciones Era
Historia de la cultura en Me xico,fue_publicado_por,Editorial Cultura
Album De UN Heroe,fue_publicado_por,Editora Nacional
Espatolino,fue_publicado_por,"Linkgua Ediciones, S.L."
Guerra del tiempo,fue_publicado_por,Editorial Sandino
Clemente Palma,fue_publicado_por,Instituto de Estudios Peruanos
Placeres en imagen,fue_publicado_por,Ediciones Sin Nombre
José Vasconcelos,fue_publicado_por,FCE
Los ultimos romanos,fue_publicado_por,Matute y Gonzalez
Conversaciones con Sergio Pitol,fue_publicado_por,Instituto Literario de Veracruz
Composición social dominicana,fue_publicado_por,República Dominicana [Publicaciones Ahora!]
Hojas de Papel Volando,fue_publicado_por,"Editorial Planeta, S. A."
"La Provincia de Tegucigalpa bajo el gobierno de Mallol, 1817-1821",fue_publicado_por,EDUCA
Biblioteca hispanoamericana septentrional,fue_publicado_por,Universidad Nacional Autónoma de México
Poesía completa,fue_publicado_por,Premia Editora
Antología de la poesía oral-traumática y cósmica de Jose Angel Buesa,fue_publicado_por,"Frente de Afirmación Hispanista, A.C."
Con tres lados-- y más,fue_publicado_por,s.n.]
El gesticulador,fue_publicado_por,Prentice-Hall
"Oaxaca, escenarios del nuevo siglo",fue_publicado_por,"SIBEJ-CONACYT, Universidad Autónoma Benito Juárez de Oaxaca, IIS"
Tres tristes tigres,fue_publicado_por,Faber and Faber
Las manos de mamá,fue_publicado_por,SPAUACH
En jirones,fue_publicado_por,Editorial Posada
Textos culturales y literarios,fue_publicado_por,Editora Alfa & Omega
Joseph Cornell,fue_publicado_por,n. pub
Obras,fue_publicado_por,Gómez Fuentenebro
Enrique Olivares Santana,fue_publicado_por,"Cámara de Senadores, LIX Legislatura"
El público,fue_publicado_por,Catedra
Coplas de Juan Descalzo,fue_publicado_por,Editorial Letras Cubanas
Un hombre se ha puesto de pie,fue_publicado_por,"Editorial Universitaria, Universidad de Puerto Puerto Rico"
El Hombre equivocado,fue_publicado_por,Joaquín Mortiz
Las máscaras del sueño,fue_publicado_por,Ediciones de la Organización Nacional de Bibliotecas Ambulantes y Populares
Los hilos telegráficos en la revolución orozquista,fue_publicado_por,Instituto Chihuahuense de la Cultura
Puerto Rico,fue_publicado_por,Independently Published
El signo y el garabato,fue_publicado_por,Seix Barral
Fábulas de antes para contar siempre,fue_publicado_por,Ediciones Internacionales Universitarias
Textos y pretextos,fue_publicado_por,Universidad de Colima
En torno a su excelencia,fue_publicado_por,publisher not identified
Los Pantigoso,fue_publicado_por,Editorial Hozlo
"Luz y luna, las lunitas",fue_publicado_por,Ediciones Era
"Cuentos completos, 1968-2002",fue_publicado_por,J. Mortiz
Imitation of Christ,fue_publicado_por,Legare Street Press
Teoría del infierno y otros ensayos,fue_publicado_por,El Colegio Nacional
Traductores castellanos de Molière,fue_publicado_por,V. Suárez
Ensayos sobre pensamiento mexicano,fue_publicado_por,"MAPorrúa, librero-editor"
Diccionario de los Santos,fue_publicado_por,Llewellyn Espanol
Gabriel Orozco,fue_publicado_por,Consejo Nacional para la Cultura y las Artes
Introducción a la lengua y cultura latinas,fue_publicado_por,Academia Superior de Ciencias Pedagógicas de Santiago
Don Vicente Quadra,fue_publicado_por,Academia de Geografía e Historia de Nicaragua
Periplo santiagüero de Max Henríquez Ureña,fue_publicado_por,Ediciones Caserón
Martín Garatuza,fue_publicado_por,Consejo Nacional para la Cultura y las Artes
Carrera del Sapo y El Venado (Race of Toad and Deer),fue_publicado_por,Turtleback Books Distributed by Demco Media
Cien de las mejores poesías cubanas,fue_publicado_por,Mnemosyne Pub. Co.
Las cien mejores poesías cubanas,fue_publicado_por,Ediciones Cultura Hispánica
La renuncia del héroe Baltasar,fue_publicado_por,Editorial Cultural
De viaje por los países socialistas,fue_publicado_por,Ediciones Macondo
Placer en el Bien Ajeno,fue_publicado_por,CreateSpace Independent Publishing Platform
España en América,fue_publicado_por,Editorial Confluencia
Los pobres,fue_publicado_por,Ediciones Rialp
Mis memorias íntimas,fue_publicado_por,Ediciones Atlas
Del autoritarismo a la democracia,fue_publicado_por,"Universidad Nacional Autónoma de México, Facultad de Ciencias Políticas y Sociales"
En busqueda del tiempo del exilio,fue_publicado_por,Taller
Apariciones,fue_publicado_por,Fondo de Cultura Económica
100 plantas que se comen,fue_publicado_por,Editorial Posada
Viento negro,fue_publicado_por,"Ministerio de Educación, Dirección General de Publicaciones"
Antología de la poesía amorosa hondureña,fue_publicado_por,Editorial Poeta
El ordenamiento tributario y presupuestario local,fue_publicado_por,Tirant lo Blanch
Castilla y sus castillos,fue_publicado_por,Afrodisio Aguado
Poetas en la España leal,fue_publicado_por,Renacimiento
Rufino Tamayo,fue_publicado_por,Ediciones Poligrafa
Tendencias de la novela dominicana,fue_publicado_por,PUCMM
Ideología y política en la novela española del siglo XIX,fue_publicado_por,Ediciones Anaya
"Escritores cubanos emigrados en Hispanoamérica, 1868-1898",fue_publicado_por,"Academia de Ciencias de Cuba, Instituto de Literatura y Lingüística"
Sermons pour la Pâque,fue_publicado_por,Appresso Girolamo Scotto
Con las mismas manos,fue_publicado_por,Biblioteca Ayacucho
Los Municipios de Quintana Roo,fue_publicado_por,Secretaría de Gobernación
22 en clave de amor,fue_publicado_por,Ediciones Lulú
Cómo destruir el paraíso,fue_publicado_por,Océano
Lecciones de derecho mercantil,fue_publicado_por,Tecnos
Los pasos del cazador,fue_publicado_por,Editorial Lumen
El coloquio de las perras,fue_publicado_por,Editorial Cultural
Cartas a Elisabeth,fue_publicado_por,Hoja Casa Editorial
Aura o las violetas,fue_publicado_por,Editorial La Oveja Negra
Cátedra de Damas,fue_publicado_por,"Universidad de Guadalajara, Coordinación General Académica, Unidad para el Desarrollo de la Investigación y el Posgrado"
Mar de espuma,fue_publicado_por,Universal
