Obra,Relación,Fecha de Publicación
El Arpa Y La Sombra/The Harp and the Shadow (Biblioteca De Autor / Author Library),fue_publicado_en,2005-06-30 00:00:00
OBRAS COMPLETAS VI. EL RECURSO DEL MÉTODO,fue_publicado_en,1998-12-01 00:00:00
Adiós Hemingway,fue_publicado_en,2006-03-15 00:00:00
Pasado Perfecto,fue_publicado_en,2000-01-01 00:00:00
Vientos de Cuaresma,fue_publicado_en,2001-09-01 00:00:00
La Neblina del Ayer,fue_publicado_en,2005-06-30 00:00:00
Adios Hemingway / Goodbye Hemingway,fue_publicado_en,2006-01-02 00:00:00
La Neblina Del Ayer / Yesterday's Fog,fue_publicado_en,2005-06-30 00:00:00
LA Novela De Mi Vida/the Story of My Life,fue_publicado_en,2002-06-01 00:00:00
Paisaje De Otono,fue_publicado_en,1998-06-01 00:00:00
Jose Maria Heredia,fue_publicado_en,2003-01-01 00:00:00
La expresión americana,fue_publicado_en,2001-09-01 00:00:00
Poesía completa,fue_publicado_en,2001-01-01 00:00:00
Juego de las decapitaciones,fue_publicado_en,1999-02-05 00:00:00
Esferaimagen,fue_publicado_en,2002-01-01 00:00:00
Como Ias Cartas Nellegan,fue_publicado_en,2000-04-01 00:00:00
Imago,fue_publicado_en,2005-01-01 00:00:00
La Materia Artizada,fue_publicado_en,2005-11-01 00:00:00
Jose Lezama Lima,fue_publicado_en,2001-01-01 00:00:00
El Pabellon Del Vacio,fue_publicado_en,2002-11-01 00:00:00
Oppiano Licario,fue_publicado_en,1997-06-30 00:00:00
Cuentos,fue_publicado_en,1999-09-01 00:00:00
Muerte de Narciso,fue_publicado_en,1995-01-01 00:00:00
Introducción a los vasos órficos,fue_publicado_en,1992-11-19 00:00:00
Relatos,fue_publicado_en,1999-07-01 00:00:00
Poesía,fue_publicado_en,2000-01-01 00:00:00
La Habana caleidoscópica,fue_publicado_en,1999-03-03 00:00:00
Dador,fue_publicado_en,1992-11-19 00:00:00
In the cow's backyard,fue_publicado_en,1995-12-01 00:00:00
Dear Peter Rabbit,fue_publicado_en,1997-02-01 00:00:00
Hagamos Camimos,fue_publicado_en,1985-01-01 00:00:00
Daniel's mystery egg,fue_publicado_en,2003-07-01 00:00:00
The golden cage,fue_publicado_en,1995-12-01 00:00:00
Gathering the sun,fue_publicado_en,2001-10-09 00:00:00
Moneda de oro,fue_publicado_en,1999-10-01 00:00:00
No fui yo--,fue_publicado_en,1999-07-01 00:00:00
Amigos,fue_publicado_en,1988-06-01 00:00:00
El Canto del Mosquito/Song of the Teeny-Tiny Mosquito,fue_publicado_en,1989-06-01 00:00:00
Me Llamo Maria Isabel/My Name Is Maria Isabel,fue_publicado_en,1999-10-01 00:00:00
LA Pinata Vacia / The Empty Pinata (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Mi Mama Siembra Fresas,fue_publicado_en,1997-06-01 00:00:00
Pavo Para La Cena de Gracias?,fue_publicado_en,2000-12-01 00:00:00
Hagamos Caminos,fue_publicado_en,1985-06-01 00:00:00
Me Encantan Los Saturdays Y Los Domingos /i Love Saturdays Y Domingos,fue_publicado_en,2004-11-30 00:00:00
Quien Cuida Al Cocodrilo,fue_publicado_en,1997-01-01 00:00:00
Quien Nacera Aqui,fue_publicado_en,1989-06-01 00:00:00
Me Gustaria Tener,fue_publicado_en,1989-06-01 00:00:00
Celebra el Dia de San Patricio con Samantha y Lola,fue_publicado_en,2006-06-30 00:00:00
Mrs. Sato's hens,fue_publicado_en,1995-11-01 00:00:00
Strange Visitors,fue_publicado_en,1995-12-01 00:00:00
"Una Extrana Visita/Strange Visitors (Ada, Alma Flor. Libros Para Contar.) (Ada, Alma Flor. Libros Para Contar.)",fue_publicado_en,1999-07-01 00:00:00
Como Nacio El Arco Iris / How the Rainbow Came to Be (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Cuaderno De Actividades,fue_publicado_en,2000-05-01 00:00:00
Despues De La Tormenta / After the Storm (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
El Canto Del Mosquito,fue_publicado_en,1988-06-01 00:00:00
El Papalote / The Kite (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
El Susto De Los Fantasmas / What Are Ghosts Afraid Of? (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
The Empty Pinata (Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Home Connection,fue_publicado_en,2000-05-01 00:00:00
I don't want to melt,fue_publicado_en,2000-05-01 00:00:00
LA Sorpresa De Mama Coneja,fue_publicado_en,1995-12-01 00:00:00
Las Tres Princesas,fue_publicado_en,2003-05-01 00:00:00
Mas Poderoso Que Yo,fue_publicado_en,1997-06-01 00:00:00
"Pavo Por La Cena De Gracias? No, Gracias! / Turkey for Thanksgiving Dinner? No Thanks! (Cuentos Para Todo El Ano / Stories the Year 'round)",fue_publicado_en,1999-07-01 00:00:00
Querido Pedrin,fue_publicado_en,1997-03-01 00:00:00
Rosa Alada (Cuentos Para Todo el Ano (Little Books)),fue_publicado_en,2000-12-01 00:00:00
Student Activity Book,fue_publicado_en,2000-05-01 00:00:00
A Surprise for Mother Rabbit (Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Teacher's Guide,fue_publicado_en,2000-05-01 00:00:00
Turkey for Thanksgiving Dinner,fue_publicado_en,2000-12-01 00:00:00
Una Extrana Visita / Strange Visitors,fue_publicado_en,1996-03-01 00:00:00
Una Extrana Visita / Strange Visitors (Libros Para Contar (Little Books)),fue_publicado_en,1999-07-01 00:00:00
No Quiero Derretirme! / I Don't Want ot Melt! (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
El Susto De Los Fantasmas (Cuentos Para Todo El Ano),fue_publicado_en,1995-12-01 00:00:00
Extra! Extra!/ Extra! Extra!,fue_publicado_en,2007-08-30 00:00:00
How Happy I Would Be! (Stories for the Telling (Little Books)),fue_publicado_en,1999-07-01 00:00:00
La Hamaca de la Vaca,fue_publicado_en,2000-01-01 00:00:00
Abecedario De Los Animales (Album Espasa),fue_publicado_en,1990-01-01 00:00:00
"Atentamente, Ricitos De Oro/ Yours Truly, Goldilocks",fue_publicado_en,2007-08-01 00:00:00
Caballete (Puertas al Sol),fue_publicado_en,1999-11-15 00:00:00
"Caminos de José Martí, Frida Kahlo, César Chávez",fue_publicado_en,1999-11-15 00:00:00
Cuentame Un Cuento,fue_publicado_en,2004-11-01 00:00:00
El Conejo Y La Tortuga,fue_publicado_en,1989-12-31 00:00:00
Abecedario de Los Animales (Animal Alphabet) (Album Espasa),fue_publicado_en,1998-06-01 00:00:00
Sonrisas,fue_publicado_en,1999-11-01 00:00:00
Strange Visitors (Stories for the Telling (Audio)) (Stories for the Telling),fue_publicado_en,1999-07-01 00:00:00
Super Classroom Starter Kit,fue_publicado_en,2000-05-01 00:00:00
A Surprise for Mother Rabbit (Stories the Year Round (Audio)) (Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Turkey for Thanksgiving Dinner No Thanks!/Pavo Para LA Cena De Gracias     No Gracias (Stories the Year Round (Audio)) (Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Turkey for Thanksgiving Dinner? No Thanks! (Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Uncle Nacho's Hat / El Sombrero Del Tio Nacho,fue_publicado_en,1993-03-30 00:00:00
Voces (Puertas Al Sol / Gateways to the Sun),fue_publicado_en,1999-11-01 00:00:00
What Are Ghosts Afraid of (Stories the Year Round (Audio)) (Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Who's Hatching Here (Stories for the Telling (Audio)) (Stories for the Telling),fue_publicado_en,1999-07-01 00:00:00
Who's Hatching Here? (Stories for the Telling (Little Books)),fue_publicado_en,1999-07-01 00:00:00
LA Pinata Vacia (Cuentos Para Todo El Ano),fue_publicado_en,1995-12-01 00:00:00
LA Pinata Vacia (Cuentos Para Todo el Ano (Audio)) (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
La Pinata Vacia (Cuentos Para Todo el Ano (Big Books)),fue_publicado_en,2000-12-01 00:00:00
La Pinata Vacia (Cuentos Para Todo el Ano (Little Books)),fue_publicado_en,1999-12-01 00:00:00
La Sorpresa De Mama Coneja / A Surprise for Mother Rabbit (Cuentos Para Todo El Ano / Stories the Year 'round),fue_publicado_en,1999-07-01 00:00:00
Le Hamaca De La Vaca,fue_publicado_en,2000-12-01 00:00:00
Pablo Neruda y su presencia en Santo Domingo,fue_publicado_en,2004-05-31 00:00:00
Zig Zag,fue_publicado_en,2006-05-30 00:00:00
La caverna de las ideas,fue_publicado_en,2001-07-12 00:00:00
Clara y la penumbra,fue_publicado_en,2002-06-01 00:00:00
Dama Numero Trece / The Number Thirteen Lady (Best Seller),fue_publicado_en,2004-05-30 00:00:00
La ventana pintada,fue_publicado_en,2004-06-30 00:00:00
El Detalle/The Detail (Literatura),fue_publicado_en,2005-02-28 00:00:00
Geografia Mundial,fue_publicado_en,2004-03-01 00:00:00
La Caja de Marfil (Best Seller,fue_publicado_en,2006-08-01 00:00:00
La Dama Numero Treceu,fue_publicado_en,2003-08-01 00:00:00
La Ventana Pintada (El Libro De Bolsillo),fue_publicado_en,2005-06-30 00:00:00
La Ventana Pintada / The Painted Window (Algaida Literaria),fue_publicado_en,2005-06-30 00:00:00
Silencio De Blanca,fue_publicado_en,2002-06-01 00:00:00
Sistema Economico Mundial,fue_publicado_en,2006-02-01 00:00:00
Fábula de ángeles,fue_publicado_en,1995-01-01 00:00:00
El impuro amor de las ciudades,fue_publicado_en,2004-06-30 00:00:00
Introduccion Al Estudio Literat/Hispanoamericana,fue_publicado_en,1993-05-01 00:00:00
Alejo Carpentier Un Siglo Entre Luces (R),fue_publicado_en,1999-12-31 00:00:00
Simple Coincidencia / Simple Coincidence (Lecturas Graduadas/ Graded Readings),fue_publicado_en,2001-06-20 00:00:00
Cartografía poética,fue_publicado_en,2004-10-04 00:00:00
Marti Conspirador,fue_publicado_en,1986-06-01 00:00:00
In Situ (Coleccion Bonsai),fue_publicado_en,2004-01-01 00:00:00
La Garza Sin Sombras (Poesia),fue_publicado_en,2006-08-01 00:00:00
Y del Esparto la invariabilidad (Antologia 1983-2004),fue_publicado_en,2005-01-01 00:00:00
Make It True Meets Medusario,fue_publicado_en,2019-05-10 00:00:00
Medusario,fue_publicado_en,1996-06-01 00:00:00
El Caribe Universal,fue_publicado_en,2005-12-15 00:00:00
Ensayos. Antología,fue_publicado_en,2007-01-01 00:00:00
Jose Marti,fue_publicado_en,1999-01-01 00:00:00
La pobreza en Corrientes,fue_publicado_en,2005-01-01 00:00:00
Silvio,fue_publicado_en,2002-01-01 00:00:00
Skywriting,fue_publicado_en,1996-06-01 00:00:00
Manos Que Bailan,fue_publicado_en,2021-05-04 00:00:00
Domingos,fue_publicado_en,1998-10-01 00:00:00
El monte,fue_publicado_en,1995-08-08 00:00:00
Anago (Colección Del Chichereku En El Exilio),fue_publicado_en,1996-01-01 00:00:00
Cuentos negros de Cuba,fue_publicado_en,1995-01-01 00:00:00
Reglas de Congo/ Palo Monte Mayombe (Colección Del Chichereku En El Exilio),fue_publicado_en,2005-06-21 00:00:00
AYAPÁ,fue_publicado_en,2006-06-26 00:00:00
LA Medicina Popular De Cuba,fue_publicado_en,1996-09-01 00:00:00
Cuentos Negros De Cuba (Coleccion Del Chichereku),fue_publicado_en,1993-03-01 00:00:00
Cuentos Para Adultos Ninos Y Retrasados Mentales (Colección Chichereku),fue_publicado_en,1996-09-01 00:00:00
LA Lengua Sagrada De Los Nanigos,fue_publicado_en,1988-03-01 00:00:00
Otan Iyebiye,fue_publicado_en,1986-12-01 00:00:00
Escritoras Cubanas/ Cuban Writers,fue_publicado_en,2003-06-30 00:00:00
Prosas,fue_publicado_en,2007-12-01 00:00:00
LA Tristeza Infinita,fue_publicado_en,2002-11-01 00:00:00
Poemas de Julian del Casal (Extasis),fue_publicado_en,2007-03-17 00:00:00
Antología lírica,fue_publicado_en,2002-01-01 00:00:00
Mi Correspondencia Con Lezama Lima,fue_publicado_en,2000-06-30 00:00:00
Coordenadas Del Cine Cubano 1,fue_publicado_en,2001-12-01 00:00:00
Cine Cubano/Cuban Movie,fue_publicado_en,2002-01-01 00:00:00
La Fiesta De Los Tiburones / Feast of the Sharks,fue_publicado_en,2001-10-01 00:00:00
Fe De Vida,fue_publicado_en,1997-11-01 00:00:00
Carta De Egipto,fue_publicado_en,2000-01-01 00:00:00
La Palabra En El Aire,fue_publicado_en,2000-01-01 00:00:00
Nueve poetas cubanos del siglo XX,fue_publicado_en,2000-10-01 00:00:00
Rescate Del Tiempo,fue_publicado_en,2000-01-01 00:00:00
La fábula de José,fue_publicado_en,2000-04-30 00:00:00
Caracol Beach,fue_publicado_en,2001-11-13 00:00:00
Informe Contra Mi Mismo,fue_publicado_en,2004-11-01 00:00:00
La Eternidad Por Fin Comienza Un Lunes/eternity Finally Begins on Monday,fue_publicado_en,2001-10-31 00:00:00
Breve Historia Del Mundo,fue_publicado_en,2004-06-30 00:00:00
Del Otro Lado De Los Sueños (Infantil),fue_publicado_en,2002-11-01 00:00:00
Dos Cubalibres Nadie Quiere Mas a Cuba Que Yo,fue_publicado_en,2005-02-01 00:00:00
La Fabula de Jose,fue_publicado_en,2001-03-01 00:00:00
Cuban counterpoint,fue_publicado_en,1995-12-01 00:00:00
La africanía de la musica folklórica de Cuba,fue_publicado_en,1998-11-01 00:00:00
Los negros curros,fue_publicado_en,2004-06-30 00:00:00
"El huracán, su mitología y sus símbolos",fue_publicado_en,1999-12-31 00:00:00
Los negros esclavos,fue_publicado_en,2004-06-30 00:00:00
Los negros brujos,fue_publicado_en,1998-11-01 00:00:00
El Achere y Los Chekere (Instrumentos de la Musica Afrocubana),fue_publicado_en,1997-07-01 00:00:00
La Marimbula (Instrumentos de la Musica Afrocubana),fue_publicado_en,1997-07-01 00:00:00
Las Maracas (Instrumentos de la Musica Afrocubana),fue_publicado_en,1997-07-01 00:00:00
Los Brujos Negros (Pensamiento cubano),fue_publicado_en,2004-06-30 00:00:00
Vivir sin estres,fue_publicado_en,2008-06-01 00:00:00
Coral peregrino,fue_publicado_en,1993-06-01 00:00:00
Cirugia Estetica del Esqueleto Facial,fue_publicado_en,2006-07-01 00:00:00
Los niños se despiden,fue_publicado_en,2001-01-01 00:00:00
Los Ninos Se Despiden (Tierra Firme),fue_publicado_en,2002-06-28 00:00:00
Odontologia,fue_publicado_en,2006-08-01 00:00:00
Sistema Nervioso,fue_publicado_en,2005-08-01 00:00:00
Atlas Sistema Cardiovascular,fue_publicado_en,2005-02-01 00:00:00
Infectologia,fue_publicado_en,2002-11-01 00:00:00
Insuficiencia Cardiaca y Diabetes,fue_publicado_en,2004-01-01 00:00:00
Miniatlas Sistema Musculoesqueletico,fue_publicado_en,2003-10-01 00:00:00
P.R. Vademecum Indice Farmacologico Desarrollado,fue_publicado_en,2003-03-01 00:00:00
Pediatria,fue_publicado_en,2002-11-01 00:00:00
Infecciones Bacterianas (Miniatlas),fue_publicado_en,2005-10-01 00:00:00
Psoriasis y Otras Dematosis Frecuentes (Miniatlas),fue_publicado_en,2005-10-01 00:00:00
Afecciones del Aparato Locomotor,fue_publicado_en,2004-01-01 00:00:00
Alergia,fue_publicado_en,2004-01-01 00:00:00
Anatomia - 2 Tomos,fue_publicado_en,2006-08-01 00:00:00
Asma Bronquial,fue_publicado_en,2005-08-01 00:00:00
Atlas de Arte Anatomico,fue_publicado_en,2004-03-01 00:00:00
Atlas Sistema Respiratorio,fue_publicado_en,2003-10-01 00:00:00
Colesterol y Aterosclerosis,fue_publicado_en,2004-01-01 00:00:00
El Dolor En Pediatria,fue_publicado_en,2006-08-01 00:00:00
El Segundo Rostro,fue_publicado_en,2005-07-01 00:00:00
Enfermedades de La Tercera Edad,fue_publicado_en,2006-08-01 00:00:00
Epilepsia y Alzheimer,fue_publicado_en,2006-08-01 00:00:00
Farmacologia,fue_publicado_en,2002-11-01 00:00:00
Higado y Vias Biliares,fue_publicado_en,2005-08-01 00:00:00
Hipertension Arterial (Miniatlas),fue_publicado_en,2005-02-01 00:00:00
Interacciones Medicamentosas,fue_publicado_en,2002-11-01 00:00:00
La Piel,fue_publicado_en,2005-08-01 00:00:00
Osteoporosis,fue_publicado_en,2006-08-01 00:00:00
Parkinson,fue_publicado_en,2005-08-01 00:00:00
Productos Farmaceuticos de Venta En La Argentina,fue_publicado_en,2003-06-01 00:00:00
PR Vademecum 2006 - 2 Tomos + 1 CD 13b* Edicion,fue_publicado_en,2006-01-01 00:00:00
Sexualidad,fue_publicado_en,2005-02-01 00:00:00
Vertigo,fue_publicado_en,2005-02-01 00:00:00
La escuela exigida,fue_publicado_en,1999-02-01 00:00:00
Todo Caliban,fue_publicado_en,2000-01-01 00:00:00
"Felices Los Normales Poesas Escogidas, 1949-1999 (Intemporales)",fue_publicado_en,2002-06-01 00:00:00
En esta nuestra tierra,fue_publicado_en,2003-01-01 00:00:00
Cicatrices en la memoria,fue_publicado_en,2004-06-30 00:00:00
Casa de Las Americas,fue_publicado_en,2004-05-01 00:00:00
"Cosas del Corazon, Las",fue_publicado_en,1998-01-01 00:00:00
Pensamiento de Nuestra America (Coleccion Campus Virtual de Clacso),fue_publicado_en,2006-03-01 00:00:00
Por el mar de las Antillas anda un barco de papel,fue_publicado_en,1996-08-01 00:00:00
Poemas de amor y Música de cámara,fue_publicado_en,1997-01-01 00:00:00
The Great Zoo and Other Poems,fue_publicado_en,1973-01-01 00:00:00
"Prosa De Prisa, 1929-1985",fue_publicado_en,2002-01-01 00:00:00
Summa Poetica,fue_publicado_en,2005-06-01 00:00:00
Man-making Words,fue_publicado_en,1972-12-01 00:00:00
La Paloma De Vuelo Popular,fue_publicado_en,2006-04-02 00:00:00
"Paloma de Vuelo Popular, La",fue_publicado_en,1995-04-01 00:00:00
Poemas,fue_publicado_en,2002-02-01 00:00:00
Poemas De Amor,fue_publicado_en,2001-01-01 00:00:00
Poemas De Amor/ Love Poems,fue_publicado_en,2002-11-01 00:00:00
"Son Entero, El - Cantos Para Soldados y Sones Para Turistas",fue_publicado_en,2006-08-01 00:00:00
Songoro Cosongo,fue_publicado_en,1993-02-01 00:00:00
Songoro cosongo y otros poemas / Songoro cosongo and other Poems,fue_publicado_en,2002-01-01 00:00:00
Todas Las Flores De Abril,fue_publicado_en,1997-01-01 00:00:00
"Son Entero, El",fue_publicado_en,1998-09-01 00:00:00
My Last Name,fue_publicado_en,2004-04-01 00:00:00
My last name and other poems,fue_publicado_en,2004-04-01 00:00:00
Nicolas Guillen (Cuadernillos de Poesia),fue_publicado_en,2003-09-01 00:00:00
Secretos De Un Patio Cubano,fue_publicado_en,2004-12-31 00:00:00
Tres tristes tigres,fue_publicado_en,1983-06-01 00:00:00
Vista del amanecer en el trópico,fue_publicado_en,1981-10-01 00:00:00
Holy Smoke,fue_publicado_en,1988-03-01 00:00:00
Habana para un infante difunto,fue_publicado_en,1986-04-01 00:00:00
Así en la paz como en la guerra,fue_publicado_en,1998-04-23 00:00:00
Delito por bailar el chachachá,fue_publicado_en,2000-09-01 00:00:00
Mea Cuba,fue_publicado_en,1999-01-15 00:00:00
Exorcismos de esti(l)o,fue_publicado_en,2002-07-01 00:00:00
Las mejores historias sobre gatos,fue_publicado_en,1999-08-01 00:00:00
Todo está hecho con espejos,fue_publicado_en,1999-10-30 00:00:00
Arcadia todas las noches,fue_publicado_en,1995-01-01 00:00:00
Tierra marcada,fue_publicado_en,2006-03-30 00:00:00
Huellas,fue_publicado_en,1982-05-01 00:00:00
Sor Juana Ines De La Cruz,fue_publicado_en,1999-11-01 00:00:00
El candelabro de los siete brazos,fue_publicado_en,2006-06-30 00:00:00
Eliseo Diego,fue_publicado_en,2004-01-01 00:00:00
Indiscreciones de un perro gringo/ The Indiscretions of Clinton's Dog,fue_publicado_en,2007-05-01 00:00:00
LA Guaracha Del Macho Camacho / Macho Camacho's Beat (Coleccion Narrativa / Narrative Collection),fue_publicado_en,1983-06-01 00:00:00
La guaracha del Macho Camacho / Macho Camacho's Beat,fue_publicado_en,2005-06-30 00:00:00
La Importanica de Ilamarse Daniel Santos,fue_publicado_en,2000-01-01 00:00:00
No Llores Por Nosotros Puerto Rico (Rama Series of Great Latin American Essay),fue_publicado_en,1990-06-01 00:00:00
Cultivo de Camarones Peneidos,fue_publicado_en,2000-10-01 00:00:00
Ecologia de Los Sistemas Acuicolas,fue_publicado_en,1999-06-01 00:00:00
Rafael Lozano-Hemmer,fue_publicado_en,2007-12-15 00:00:00
Los Poetas Cantan a Nicolas Guillen (Arca Colección),fue_publicado_en,2003-01-01 00:00:00
Rafael Catala: del Circulo Cuadrado a la Cienciapoesia,fue_publicado_en,1994-08-01 00:00:00
El arte narrativo de Hilda Perera,fue_publicado_en,1998-11-01 00:00:00
Libro de Joveno,fue_publicado_en,2003-01-01 00:00:00
Son de la loma,fue_publicado_en,2001-01-01 00:00:00
Entrenamiento Fisico-Deportivo y Alimentacion,fue_publicado_en,1998-09-01 00:00:00
Isla Sin Fin,fue_publicado_en,1999-03-01 00:00:00
Ensayo cubano del siglo XX,fue_publicado_en,2002-08-30 00:00:00
Tumbas sin sosiego,fue_publicado_en,2006-06-15 00:00:00
Un Banquete Canonico (Lengua y Estudios Literarios),fue_publicado_en,2001-03-01 00:00:00
Nutricion y Dietetica Para Tecnologos de Alimentos,fue_publicado_en,2001-03-01 00:00:00
La transición invisible,fue_publicado_en,2004-07-01 00:00:00
La Habana elegante,fue_publicado_en,2004-01-01 00:00:00
La Pasion Del Obstaculo - Poemas Y Cartas De Juana Borrero,fue_publicado_en,2005-11-30 00:00:00
Leonardo da Vinci,fue_publicado_en,2001-01-01 00:00:00
3ds Max 5 (Manuales Imprescindibles),fue_publicado_en,2005-09-30 00:00:00
3ds Max 7 (Manuales Imprescindibles / Essenatial Manuals),fue_publicado_en,2004-06-30 00:00:00
3D Studio Max 2.5 - Manual Imprescindible,fue_publicado_en,1999-09-01 00:00:00
3D Studio Max 3 - Manual Imprescindible (Manuales Imprescindibles),fue_publicado_en,2000-05-01 00:00:00
Netscape 6 - Manual Imprescindible Con CD ROM,fue_publicado_en,2002-02-01 00:00:00
Otras Maneras De Contar / Other Ways to Tell a Tale,fue_publicado_en,2005-01-01 00:00:00
Antología Z Vol. 6,fue_publicado_en,2012-06-01 00:00:00
Nicolas Guillen Para Ninos / Nicolas Guillen for Children (Alba Y Mayo- Poesia),fue_publicado_en,1997-01-01 00:00:00
Saltarin Cantaran,fue_publicado_en,2002-01-01 00:00:00
